analysis	analysis_title	pipeline_version	analysis_datasets	file	file_format	file_format_type	output_type	biological_replicates	technical_replicates	file_dataset	derived_from	href
ENCAN611JRE	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR531UVE	ENCFF047CTS	bed	narrowPeak	peaks	1	1_1	ENCSR531UVE	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF047CTS/@@download/ENCFF047CTS.bed.gz
ENCAN611JRE	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR531UVE	ENCFF293GJB	bed	narrowPeak	peaks	1	1_1	ENCSR531UVE	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF293GJB/@@download/ENCFF293GJB.bed.gz
ENCAN611JRE	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR531UVE	ENCFF147OQP	bigBed	narrowPeak	peaks	1	1_1	ENCSR531UVE	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF147OQP/@@download/ENCFF147OQP.bigBed
ENCAN611JRE	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR531UVE	ENCFF627GLJ	bigWig		read-depth normalized signal	1	1_1	ENCSR531UVE	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF627GLJ/@@download/ENCFF627GLJ.bigWig
ENCAN611JRE	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR531UVE	ENCFF436LIX	bigBed	bed3+	FDR cut rate	1	1_1	ENCSR531UVE	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF436LIX/@@download/ENCFF436LIX.bigBed
ENCAN611JRE	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR531UVE	ENCFF886KAX	bigBed	narrowPeak	peaks	1	1_1	ENCSR531UVE	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF886KAX/@@download/ENCFF886KAX.bigBed
ENCAN611JRE	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR531UVE	ENCFF323DEX	bed	bed3+	footprints	1	1_1	ENCSR531UVE	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF323DEX/@@download/ENCFF323DEX.bed.gz
ENCAN611JRE	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR531UVE	ENCFF300YHK	bam		alignments	1	1_1	ENCSR531UVE	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF300YHK/@@download/ENCFF300YHK.bam
ENCAN611JRE	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR531UVE	ENCFF549XHL	starch		peaks	1	1_1	ENCSR531UVE	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF549XHL/@@download/ENCFF549XHL.starch
ENCAN611JRE	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR531UVE	ENCFF209DHK	bigBed	bed3+	footprints	1	1_1	ENCSR531UVE	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF209DHK/@@download/ENCFF209DHK.bigBed
ENCAN611JRE	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR531UVE	ENCFF645DUN	bed	bed3+	FDR cut rate	1	1_1	ENCSR531UVE	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF645DUN/@@download/ENCFF645DUN.bed.gz
ENCAN611JRE	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR531UVE	ENCFF904GAD	bam		unfiltered alignments	1	1_1	ENCSR531UVE	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF904GAD/@@download/ENCFF904GAD.bam
