analysis	experiment	read_depth_sum	replicate_metrics	signal_file	biological_replicates	href
ENCAN344TWW	ENCSR694DOX	84549926	1	ENCFF130TYS	1	/files/ENCFF130TYS/@@download/ENCFF130TYS.bigWig
ENCAN082HCH	ENCSR659JPP	88837942	1	ENCFF851FKA	1	/files/ENCFF851FKA/@@download/ENCFF851FKA.bigWig
ENCAN445MLE	ENCSR339TVH	83340024	1	ENCFF576ZEH	1	/files/ENCFF576ZEH/@@download/ENCFF576ZEH.bigWig
ENCAN171VCK	ENCSR649MJI	87133288	1	ENCFF539NFV	1	/files/ENCFF539NFV/@@download/ENCFF539NFV.bigWig
ENCAN650LCY	ENCSR763XBU	89688954	1	ENCFF013AMD	1	/files/ENCFF013AMD/@@download/ENCFF013AMD.bigWig
ENCAN571KFE	ENCSR646JBR	89660794	1	ENCFF860TZJ	1	/files/ENCFF860TZJ/@@download/ENCFF860TZJ.bigWig
ENCAN303BFR	ENCSR000EQK	82810043	1	ENCFF308FQH	1	/files/ENCFF308FQH/@@download/ENCFF308FQH.bigWig
ENCAN204MPS	ENCSR000EPK	76326299	1	ENCFF389PZY	2	/files/ENCFF389PZY/@@download/ENCFF389PZY.bigWig
ENCAN272RCW	ENCSR796SJV	79390571	1	ENCFF988XLP	1	/files/ENCFF988XLP/@@download/ENCFF988XLP.bigWig
ENCAN450CRC	ENCSR122VUW	86838783	2	ENCFF861NNR	1	/files/ENCFF861NNR/@@download/ENCFF861NNR.bigWig
ENCAN450CRC	ENCSR122VUW	86838783	2	ENCFF789FRC	2	/files/ENCFF789FRC/@@download/ENCFF789FRC.bigWig
ENCAN261KXH	ENCSR434OBM	82010714	1	ENCFF226ROM	1	/files/ENCFF226ROM/@@download/ENCFF226ROM.bigWig
ENCAN511VYT	ENCSR033STL	88142740	1	ENCFF619PMY	1	/files/ENCFF619PMY/@@download/ENCFF619PMY.bigWig
ENCAN273LMB	ENCSR517NHP	82513740	1	ENCFF681LTR	1	/files/ENCFF681LTR/@@download/ENCFF681LTR.bigWig
ENCAN093DOE	ENCSR385AMY	77622158	1	ENCFF641EOS	1	/files/ENCFF641EOS/@@download/ENCFF641EOS.bigWig
ENCAN257HGN	ENCSR457JOG	81701162	1	ENCFF635EBG	1	/files/ENCFF635EBG/@@download/ENCFF635EBG.bigWig
ENCAN719VIJ	ENCSR455GUW	83201100	1	ENCFF717OQE	1	/files/ENCFF717OQE/@@download/ENCFF717OQE.bigWig
ENCAN728DXS	ENCSR164PQJ	82430344	1	ENCFF563TJP	1	/files/ENCFF563TJP/@@download/ENCFF563TJP.bigWig
ENCAN001QCQ	ENCSR163GMC	82385210	1	ENCFF831JZM	1	/files/ENCFF831JZM/@@download/ENCFF831JZM.bigWig
ENCAN712YGD	ENCSR058ELM	79041522	1	ENCFF771ULB	1	/files/ENCFF771ULB/@@download/ENCFF771ULB.bigWig
ENCAN709LZL	ENCSR935EVZ	88030893	1	ENCFF799EDE	1	/files/ENCFF799EDE/@@download/ENCFF799EDE.bigWig
ENCAN131EWS	ENCSR422IIZ	82032010	1	ENCFF707HLC	1	/files/ENCFF707HLC/@@download/ENCFF707HLC.bigWig
ENCAN346QLW	ENCSR497NLU	81673586	1	ENCFF829JMH	1	/files/ENCFF829JMH/@@download/ENCFF829JMH.bigWig
ENCAN578MOX	ENCSR541PUY	79899966	1	ENCFF565PXG	1	/files/ENCFF565PXG/@@download/ENCFF565PXG.bigWig
ENCAN981QZM	ENCSR597URK	78558518	1	ENCFF186BOY	1	/files/ENCFF186BOY/@@download/ENCFF186BOY.bigWig
ENCAN688XVP	ENCSR740DJQ	82509208	1	ENCFF414WEG	1	/files/ENCFF414WEG/@@download/ENCFF414WEG.bigWig
ENCAN071CDF	ENCSR420HOT	76608288	1	ENCFF907ITJ	1	/files/ENCFF907ITJ/@@download/ENCFF907ITJ.bigWig
ENCAN870ZML	ENCSR296TFH	78670480	1	ENCFF907EIG	1	/files/ENCFF907EIG/@@download/ENCFF907EIG.bigWig
ENCAN611JRE	ENCSR531UVE	78570568	1	ENCFF627GLJ	1	/files/ENCFF627GLJ/@@download/ENCFF627GLJ.bigWig
ENCAN907ZIN	ENCSR634YVQ	83681250	1	ENCFF299RIU	1	/files/ENCFF299RIU/@@download/ENCFF299RIU.bigWig
