analysis	analysis_title	pipeline_version	analysis_datasets	file	file_format	file_format_type	output_type	biological_replicates	technical_replicates	file_dataset	derived_from	href
ENCAN981QZM	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR597URK	ENCFF051GHB	bam		alignments	1	1_1	ENCSR597URK	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF051GHB/@@download/ENCFF051GHB.bam
ENCAN981QZM	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR597URK	ENCFF596GFW	bigBed	bed3+	footprints	1	1_1	ENCSR597URK	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF596GFW/@@download/ENCFF596GFW.bigBed
ENCAN981QZM	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR597URK	ENCFF411TDH	bigBed	bed3+	FDR cut rate	1	1_1	ENCSR597URK	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF411TDH/@@download/ENCFF411TDH.bigBed
ENCAN981QZM	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR597URK	ENCFF445VWR	bed	narrowPeak	peaks	1	1_1	ENCSR597URK	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF445VWR/@@download/ENCFF445VWR.bed.gz
ENCAN981QZM	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR597URK	ENCFF646SRW	bigBed	narrowPeak	peaks	1	1_1	ENCSR597URK	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF646SRW/@@download/ENCFF646SRW.bigBed
ENCAN981QZM	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR597URK	ENCFF322TEM	bigBed	narrowPeak	peaks	1	1_1	ENCSR597URK	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF322TEM/@@download/ENCFF322TEM.bigBed
ENCAN981QZM	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR597URK	ENCFF186BOY	bigWig		read-depth normalized signal	1	1_1	ENCSR597URK	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF186BOY/@@download/ENCFF186BOY.bigWig
ENCAN981QZM	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR597URK	ENCFF567KYW	bed	bed3+	footprints	1	1_1	ENCSR597URK	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF567KYW/@@download/ENCFF567KYW.bed.gz
ENCAN981QZM	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR597URK	ENCFF220PYP	bed	bed3+	FDR cut rate	1	1_1	ENCSR597URK	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF220PYP/@@download/ENCFF220PYP.bed.gz
ENCAN981QZM	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR597URK	ENCFF561HFN	bed	narrowPeak	peaks	1	1_1	ENCSR597URK	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF561HFN/@@download/ENCFF561HFN.bed.gz
ENCAN981QZM	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR597URK	ENCFF063FBN	starch		peaks	1	1_1	ENCSR597URK	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF063FBN/@@download/ENCFF063FBN.starch
ENCAN981QZM	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR597URK	ENCFF506GXM	bam		unfiltered alignments	1	1_1	ENCSR597URK	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF506GXM/@@download/ENCFF506GXM.bam
