analysis	analysis_title	pipeline_version	analysis_datasets	file	file_format	file_format_type	output_type	biological_replicates	technical_replicates	file_dataset	derived_from	href
ENCAN346QLW	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR497NLU	ENCFF829JMH	bigWig		read-depth normalized signal	1	1_1	ENCSR497NLU	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF829JMH/@@download/ENCFF829JMH.bigWig
ENCAN346QLW	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR497NLU	ENCFF883VMV	bigBed	bed3+	footprints	1	1_1	ENCSR497NLU	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF883VMV/@@download/ENCFF883VMV.bigBed
ENCAN346QLW	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR497NLU	ENCFF710HMA	bigBed	narrowPeak	peaks	1	1_1	ENCSR497NLU	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF710HMA/@@download/ENCFF710HMA.bigBed
ENCAN346QLW	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR497NLU	ENCFF672UOS	starch		peaks	1	1_1	ENCSR497NLU	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF672UOS/@@download/ENCFF672UOS.starch
ENCAN346QLW	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR497NLU	ENCFF609NLZ	bed	bed3+	FDR cut rate	1	1_1	ENCSR497NLU	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF609NLZ/@@download/ENCFF609NLZ.bed.gz
ENCAN346QLW	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR497NLU	ENCFF407PIT	bam		alignments	1	1_1	ENCSR497NLU	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF407PIT/@@download/ENCFF407PIT.bam
ENCAN346QLW	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR497NLU	ENCFF249IQF	bigBed	narrowPeak	peaks	1	1_1	ENCSR497NLU	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF249IQF/@@download/ENCFF249IQF.bigBed
ENCAN346QLW	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR497NLU	ENCFF724MFN	bigBed	bed3+	FDR cut rate	1	1_1	ENCSR497NLU	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF724MFN/@@download/ENCFF724MFN.bigBed
ENCAN346QLW	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR497NLU	ENCFF177RAQ	bed	narrowPeak	peaks	1	1_1	ENCSR497NLU	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF177RAQ/@@download/ENCFF177RAQ.bed.gz
ENCAN346QLW	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR497NLU	ENCFF360PST	bed	bed3+	footprints	1	1_1	ENCSR497NLU	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF360PST/@@download/ENCFF360PST.bed.gz
ENCAN346QLW	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR497NLU	ENCFF706FLY	bam		unfiltered alignments	1	1_1	ENCSR497NLU	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF706FLY/@@download/ENCFF706FLY.bam
ENCAN346QLW	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR497NLU	ENCFF265ZRC	bed	narrowPeak	peaks	1	1_1	ENCSR497NLU	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF265ZRC/@@download/ENCFF265ZRC.bed.gz
