rank	analysis	experiment	read_depth_sum	n_replicates	absolute_delta	target_to_metric_ratio
1	ENCAN204MPS	ENCSR000EPK	76326299	1	50399	0.999339690
2	ENCAN750VNN	ENCSR000EQL	76217668	2	58232	1.000764022
3	ENCAN071CDF	ENCSR420HOT	76608288	1	332388	0.995661201
4	ENCAN093DOE	ENCSR385AMY	77622158	1	1346258	0.982656267
5	ENCAN981QZM	ENCSR597URK	78558518	1	2282618	0.970943724
6	ENCAN611JRE	ENCSR531UVE	78570568	1	2294668	0.970794815
7	ENCAN870ZML	ENCSR296TFH	78670480	1	2394580	0.969561899
8	ENCAN364MSW	ENCSR000EQE	73827151	2	2448749	1.033168678
9	ENCAN712YGD	ENCSR058ELM	79041522	1	2765622	0.965010517
10	ENCAN723HWA	ENCSR173BJC	73373814	1	2902086	1.039552067
11	ENCAN735GZD	ENCSR518JGY	73183307	1	3092593	1.042258175
12	ENCAN272RCW	ENCSR796SJV	79390571	1	3114671	0.960767747
13	ENCAN356PLU	ENCSR141NSQ	72749908	1	3525992	1.048467305
14	ENCAN578MOX	ENCSR541PUY	79899966	1	3624066	0.954642459
15	ENCAN806QUT	ENCSR129TSG	72424176	1	3851724	1.053182849
16	ENCAN273DBM	ENCSR278FVO	72210025	1	4065875	1.056306240
17	ENCAN392XKO	ENCSR625WLB	71727020	1	4548880	1.063419336
18	ENCAN856QMD	ENCSR000ENK	71268729	2	5007171	1.070257616
19	ENCAN381TNG	ENCSR237BOF	70918044	1	5357856	1.075549969
20	ENCAN346QLW	ENCSR497NLU	81673586	1	5397686	0.933911485
21	ENCAN257HGN	ENCSR457JOG	81701162	1	5425262	0.933596269
22	ENCAN261KXH	ENCSR434OBM	82010714	1	5734814	0.930072381
23	ENCAN131EWS	ENCSR422IIZ	82032010	1	5756110	0.929830928
24	ENCAN786OZK	ENCSR445XYW	70380674	1	5895226	1.083762000
25	ENCAN652VIQ	ENCSR298SDT	70180000	1	6095900	1.086860929
26	ENCAN001QCQ	ENCSR163GMC	82385210	1	6109310	0.925844578
27	ENCAN728DXS	ENCSR164PQJ	82430344	1	6154444	0.925337640
28	ENCAN788CQH	ENCSR000EMW	70099273	2	6176627	1.088112569
29	ENCAN688XVP	ENCSR740DJQ	82509208	1	6233308	0.924453183
30	ENCAN273LMB	ENCSR517NHP	82513740	1	6237840	0.924402409
31	ENCAN937EBB	ENCSR937NLH	69780220	1	6495680	1.093087697
32	ENCAN303BFR	ENCSR000EQK	82810043	1	6534143	0.921094800
33	ENCAN719VIJ	ENCSR455GUW	83201100	1	6925200	0.916765524
34	ENCAN959AZV	ENCSR946BPA	69312902	1	6962998	1.100457459
35	ENCAN085CUX	ENCSR546FUC	69290532	1	6985368	1.100812734
36	ENCAN445MLE	ENCSR339TVH	83340024	1	7064124	0.915237317
37	ENCAN149BHW	ENCSR000EMV	69009584	1	7266316	1.105294302
38	ENCAN907ZIN	ENCSR634YVQ	83681250	1	7405350	0.911505266
39	ENCAN188MKT	ENCSR698VDM	68583116	1	7692784	1.112167315
40	ENCAN388XHY	ENCSR140KPO	68478190	1	7797710	1.113871438
41	ENCAN934UBM	ENCSR000ENC	68347058	2	7928842	1.116008534
42	ENCAN350QRX	ENCSR000FJH	68075524	2	8200376	1.120459976
43	ENCAN344TWW	ENCSR694DOX	84549926	1	8274026	0.902140352
44	ENCAN465SRC	ENCSR932OSG	67940424	1	8335476	1.122688019
45	ENCAN949SMT	ENCSR198UKY	67783342	1	8492558	1.125289750
46	ENCAN862TMM	ENCSR000ENE	67740171	2	8535729	1.126006901
47	ENCAN476LBE	ENCSR283MZJ	67327780	1	8948120	1.132903833
48	ENCAN597FEX	ENCSR346GIP	67017496	1	9258404	1.138149059
49	ENCAN974JER	ENCSR290NGL	66924692	1	9351208	1.139727322
50	ENCAN565KFK	ENCSR000EOA	66908100	2	9367800	1.140009954
51	ENCAN397UIM	ENCSR874CAK	66888168	1	9387732	1.140349665
52	ENCAN125HSH	ENCSR251UPG	66873124	1	9402776	1.140606202
53	ENCAN777XIT	ENCSR396ZIN	66358910	1	9916990	1.149444739
54	ENCAN176FUB	ENCSR453RFW	66340276	1	9935624	1.149767601
55	ENCAN152YLI	ENCSR000EOC	65993913	2	10281987	1.155802051
56	ENCAN450CRC	ENCSR122VUW	86838783	2	10562883	0.878362148
57	ENCAN914TAZ	ENCSR000EPU	65427516	2	10848384	1.165807670
58	ENCAN171VCK	ENCSR649MJI	87133288	1	10857388	0.875393340
59	ENCAN388UAQ	ENCSR507XBY	65007342	1	11268558	1.173342851
60	ENCAN223CGQ	ENCSR332HAD	64998230	1	11277670	1.173507340
61	ENCAN933SKK	ENCSR540VTN	64951096	1	11324804	1.174358936
62	ENCAN939IUX	ENCSR542GKI	64685974	1	11589926	1.179172165
63	ENCAN966ACB	ENCSR813CKU	64564868	1	11711032	1.181383969
64	ENCAN709LZL	ENCSR935EVZ	88030893	1	11754993	0.866467412
65	ENCAN511VYT	ENCSR033STL	88142740	1	11866840	0.865367925
66	ENCAN292FWP	ENCSR000EPF	63967685	2	12308215	1.192413013
67	ENCAN082HCH	ENCSR659JPP	88837942	1	12562042	0.858595981
68	ENCAN383IBZ	ENCSR398CXD	63457414	1	12818486	1.202001393
69	ENCAN653APY	ENCSR869JYO	63333662	1	12942238	1.204350066
70	ENCAN571KFE	ENCSR646JBR	89660794	1	13384894	0.850716312
71	ENCAN650LCY	ENCSR763XBU	89688954	1	13413054	0.850449209
72	ENCAN141NKF	ENCSR930YSB	62808551	1	13467349	1.214419037
73	ENCAN902TGV	ENCSR197ZNW	62775662	1	13500238	1.215055287
74	ENCAN038UGH	ENCSR965JHW	62355394	1	13920506	1.223244616
75	ENCAN785NEY	ENCSR000EMH	62299447	2	13976453	1.224343131
76	ENCAN067TYJ	ENCSR116WWW	62157363	1	14118537	1.227141827
77	ENCAN166OCD	ENCSR724CND	61755280	1	14520620	1.235131636
78	ENCAN708HKW	ENCSR000ENU	61621578	2	14654322	1.237811534
79	ENCAN882ZEV	ENCSR154NOT	61513680	1	14762220	1.239982716
80	ENCAN250YRN	ENCSR683YLO	61266330	1	15009570	1.244988887
81	ENCAN876HJD	ENCSR000EMP	61219824	2	15056076	1.245934650
82	ENCAN277OIJ	ENCSR218FJD	61203108	1	15072792	1.246274944
