rank	exact_values	tested_values	total_milli_error	total_reads	quantum
1	381	381	0	76275939	0.0131102941912
2	381	381	0	76275938	0.0131102943631
3	381	381	0	76275937	0.013110294535
4	381	381	0	76275936	0.0131102947068
5	381	381	0	76275935	0.0131102948787
6	381	381	0	76275934	0.0131102950506
7	381	381	0	76275933	0.0131102952225
8	381	381	0	76275932	0.0131102953944
9	381	381	0	76275931	0.0131102955662
10	381	381	0	76275930	0.0131102957381
11	381	381	0	76275929	0.01311029591
12	381	381	0	76275928	0.0131102960819
13	381	381	0	76275927	0.0131102962538
14	381	381	0	76275926	0.0131102964256
15	381	381	0	76275925	0.0131102965975
16	381	381	0	76275924	0.0131102967694
17	381	381	0	76275923	0.0131102969413
18	381	381	0	76275922	0.0131102971132
19	381	381	0	76275921	0.013110297285
20	381	381	0	76275920	0.0131102974569
21	381	381	0	76275919	0.0131102976288
22	381	381	0	76275918	0.0131102978007
23	381	381	0	76275917	0.0131102979726
24	381	381	0	76275916	0.0131102981444
25	381	381	0	76275915	0.0131102983163
26	381	381	0	76275914	0.0131102984882
27	381	381	0	76275913	0.0131102986601
28	381	381	0	76275912	0.013110298832
29	381	381	0	76275911	0.0131102990038
30	381	381	0	76275910	0.0131102991757
31	381	381	0	76275909	0.0131102993476
32	381	381	0	76275908	0.0131102995195
33	381	381	0	76275907	0.0131102996914
34	381	381	0	76275906	0.0131102998632
35	381	381	0	76275905	0.0131103000351
36	381	381	0	76275904	0.013110300207
37	381	381	0	76275903	0.0131103003789
38	381	381	0	76275902	0.0131103005508
39	381	381	0	76275901	0.0131103007226
40	381	381	0	76275900	0.0131103008945
41	381	381	0	76275899	0.0131103010664
42	381	381	0	76275898	0.0131103012383
43	381	381	0	76275897	0.0131103014102
44	381	381	0	76275896	0.013110301582
45	381	381	0	76275895	0.0131103017539
46	381	381	0	76275894	0.0131103019258
47	381	381	0	76275893	0.0131103020977
48	381	381	0	76275892	0.0131103022696
49	381	381	0	76275891	0.0131103024414
50	381	381	0	76275890	0.0131103026133
51	381	381	0	76275889	0.0131103027852
52	381	381	0	76275888	0.0131103029571
53	381	381	0	76275887	0.013110303129
54	381	381	0	76275886	0.0131103033008
55	381	381	0	76275885	0.0131103034727
56	381	381	0	76275884	0.0131103036446
57	381	381	0	76275883	0.0131103038165
58	381	381	0	76275882	0.0131103039884
59	381	381	0	76275881	0.0131103041602
60	381	381	0	76275880	0.0131103043321
61	381	381	0	76275879	0.013110304504
62	381	381	0	76275878	0.0131103046759
63	381	381	0	76275877	0.0131103048478
64	381	381	0	76275876	0.0131103050196
65	381	381	0	76275875	0.0131103051915
66	381	381	0	76275874	0.0131103053634
67	381	381	0	76275873	0.0131103055353
68	381	381	0	76275872	0.0131103057072
69	381	381	0	76275871	0.013110305879
70	381	381	0	76275870	0.0131103060509
71	381	381	0	76275869	0.0131103062228
72	381	381	0	76275868	0.0131103063947
73	381	381	0	76275867	0.0131103065666
74	381	381	0	76275866	0.0131103067384
75	381	381	0	76275865	0.0131103069103
76	381	381	0	76275864	0.0131103070822
77	381	381	0	76275863	0.0131103072541
78	381	381	0	76275862	0.013110307426
79	381	381	0	76275861	0.0131103075978
80	381	381	0	76275860	0.0131103077697
81	381	381	0	76275859	0.0131103079416
82	381	381	0	76275858	0.0131103081135
83	381	381	0	76275857	0.0131103082854
84	381	381	0	76275856	0.0131103084572
85	381	381	0	76275855	0.0131103086291
86	381	381	0	76275854	0.013110308801
87	381	381	0	76275853	0.0131103089729
88	381	381	0	76275852	0.0131103091448
89	381	381	0	76275851	0.0131103093166
90	381	381	0	76275850	0.0131103094885
91	381	381	0	76275849	0.0131103096604
92	381	381	0	76275848	0.0131103098323
93	381	381	0	76275847	0.0131103100042
94	381	381	0	76275846	0.013110310176
95	381	381	0	76275845	0.0131103103479
96	381	381	0	76275844	0.0131103105198
97	381	381	0	76275843	0.0131103106917
98	381	381	0	76275842	0.0131103108636
99	381	381	0	76275841	0.0131103110354
100	381	381	0	76275840	0.0131103112073
