rank	matching_values	tested_values	mean_abs_error	quantum	implied_read_count
1	381	381	0.000250057825	0.0065551471	152551877.898
2	381	381	0.00025005795	0.0131102941	76275939.531
3	378	381	0.000250049762	0.0131103448	76275644.558
4	378	381	0.000250049762	0.0065551724	152551289.116
5	375	381	0.000250212995	0.0131103896	76275383.914
6	375	381	0.000250212995	0.0065551948	152550767.828
7	375	381	0.000250274006	0.0131102362	76276276.395
8	375	381	0.000250274006	0.0065551181	152552552.791
9	375	381	0.000250274845	0.0043700787	228828830.932
10	373	381	0.000250564918	0.0131102041	76276463.156
11	372	381	0.00025051889	0.0131104294	76275152.361
12	372	381	0.00025051889	0.0065552147	152550304.722
13	372	381	0.000251011941	0.0043700565	228829993.388
14	372	381	0.000251011941	0.0131101695	76276664.463
15	372	381	0.000251013635	0.0065550847	152553330.089
16	371	381	0.000250945893	0.0131104651	76274944.662
17	371	381	0.000250947407	0.0065552326	152549888.161
18	368	381	0.000251474817	0.0131104972	76274757.909
19	368	381	0.000251474817	0.0065552486	152549515.819
20	368	381	0.000251678654	0.0131101322	76276881.480
21	367	381	0.00025209248	0.0131105263	76274588.611
22	367	381	0.000252094954	0.0065552632	152549176.057
23	366	381	0.000252545161	0.0065550459	152554233.068
24	366	381	0.000252545161	0.0043700306	228831349.602
25	366	381	0.000252547511	0.0131100917	76277117.116
26	364	381	0.000252760813	0.0131105528	76274434.439
27	364	381	0.000252760813	0.0065552764	152548868.878
28	363	381	0.000253393801	0.0131105769	76274294.230
29	362	381	0.000253690306	0.0131100478	76277372.536
30	360	381	0.000254001125	0.0131105991	76274165.076
31	360	381	0.000255091864	0.01311	76277650.648
32	360	381	0.000255091864	0.006555	152555301.297
33	360	381	0.000255091864	0.0032775	305110602.593
34	360	381	0.000255091864	0.00437	228832951.945
35	359	381	0.000254582482	0.0131106195	76274046.394
36	356	381	0.000255140514	0.0131106383	76273937.021
37	355	381	0.000255678452	0.0131106557	76273835.793
38	354	381	0.000256848383	0.0131099476	76277955.527
39	354	381	0.000256848383	0.0065549738	152555911.055
40	350	381	0.000259002575	0.0043699634	228834868.503
41	350	381	0.000259002575	0.0065549451	152556579.002
42	350	381	0.000259006518	0.0131098901	76278290.083
43	350	381	0.000259010892	0.0032774725	305113162.658
44	346	381	0.000261875014	0.0131098266	76278659.551
45	346	381	0.000261875014	0.0065549133	152557319.103
46	343	381	0.000265507841	0.0043699187	228837209.260
47	343	381	0.000265507841	0.0131097561	76279069.753
48	343	381	0.000265513543	0.006554878	152558140.670
49	343	381	0.000265513543	0.003277439	305116281.340
50	336	381	0.000268472089	0.0131097046	76279369.407
