rank	analysis	experiment	read_depth_sum	signal_file	biological_replicates	pearson_raw	pearson_log1p	signal_mode
1	ENCAN071CDF	ENCSR420HOT	76608288	ENCFF907ITJ	1	0.885159289978	0.921057578932	individual
2	ENCAN611JRE	ENCSR531UVE	78570568	ENCFF627GLJ	1	0.914544296979	0.899897020981	individual
3	ENCAN171VCK	ENCSR649MJI	87133288	ENCFF539NFV	1	0.764454576014	0.893758336441	individual
4	ENCAN650LCY	ENCSR763XBU	89688954	ENCFF013AMD	1	0.721692696765	0.882456324178	individual
5	ENCAN344TWW	ENCSR694DOX	84549926	ENCFF130TYS	1	0.779192070663	0.879256106546	individual
6	ENCAN571KFE	ENCSR646JBR	89660794	ENCFF860TZJ	1	0.79961501491	0.877159790973	individual
7	ENCAN445MLE	ENCSR339TVH	83340024	ENCFF576ZEH	1	0.788571096664	0.870320823401	individual
8	ENCAN578MOX	ENCSR541PUY	79899966	ENCFF565PXG	1	0.953850938417	0.866740639594	individual
9	ENCAN728DXS	ENCSR164PQJ	82430344	ENCFF563TJP	1	0.895710190748	0.858964690907	individual
10	ENCAN131EWS	ENCSR422IIZ	82032010	ENCFF707HLC	1	0.705787454613	0.857929180978	individual
11	ENCAN719VIJ	ENCSR455GUW	83201100	ENCFF717OQE	1	0.727882692971	0.854330415621	individual
12	ENCAN001QCQ	ENCSR163GMC	82385210	ENCFF831JZM	1	0.798892449061	0.840119899859	individual
13	ENCAN303BFR	ENCSR000EQK	82810043	ENCFF308FQH	1	0.68979932683	0.834498503153	individual
14	ENCAN257HGN	ENCSR457JOG	81701162	ENCFF635EBG	1	0.917333584569	0.816813132461	individual
15	ENCAN981QZM	ENCSR597URK	78558518	ENCFF186BOY	1	0.989081871194	0.810458736096	individual
16	ENCAN082HCH	ENCSR659JPP	88837942	ENCFF851FKA	1	0.864860343131	0.796284324708	individual
17	ENCAN688XVP	ENCSR740DJQ	82509208	ENCFF414WEG	1	0.968434214827	0.779797598266	individual
18	ENCAN346QLW	ENCSR497NLU	81673586	ENCFF829JMH	1	0.981508252244	0.772831958793	individual
19	ENCAN272RCW	ENCSR796SJV	79390571	ENCFF988XLP	1	0.733948285671	0.752117145992	individual
20	ENCAN450CRC	ENCSR122VUW	86838783	ENCFF789FRC	2	0.760665741295	0.738113764855	individual
21	ENCAN712YGD	ENCSR058ELM	79041522	ENCFF771ULB	1	0.944344135253	0.730176676435	individual
22	ENCAN907ZIN	ENCSR634YVQ	83681250	ENCFF299RIU	1	0.747630623824	0.725256799582	individual
23	ENCAN450CRC	ENCSR122VUW	86838783	ENCFF861NNR,ENCFF789FRC	all	0.789099480363	0.722726667145	replicate_mean
24	ENCAN450CRC	ENCSR122VUW	86838783	ENCFF861NNR	1	0.801709665106	0.704024693349	individual
25	ENCAN870ZML	ENCSR296TFH	78670480	ENCFF907EIG	1	0.950836404255	0.69935605621	individual
26	ENCAN093DOE	ENCSR385AMY	77622158	ENCFF641EOS	1	0.723631919435	0.699194756496	individual
27	ENCAN511VYT	ENCSR033STL	88142740	ENCFF619PMY	1	0.705988871556	0.695639161893	individual
28	ENCAN709LZL	ENCSR935EVZ	88030893	ENCFF799EDE	1	0.786024979283	0.686160273321	individual
29	ENCAN273LMB	ENCSR517NHP	82513740	ENCFF681LTR	1	0.665094406094	0.683719319765	individual
30	ENCAN204MPS	ENCSR000EPK	76326299	ENCFF389PZY	2	0.752204855195	0.678853434264	individual
31	ENCAN261KXH	ENCSR434OBM	82010714	ENCFF226ROM	1	0.548401797725	0.609468489367	individual
