analysis	analysis_title	pipeline_version	analysis_datasets	file	file_format	file_format_type	output_type	biological_replicates	technical_replicates	file_dataset	derived_from	href
ENCAN750VNN	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR000EQL	ENCFF639GFQ	bam		unfiltered alignments	1	1_1	ENCSR000EQL	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF639GFQ/@@download/ENCFF639GFQ.bam
ENCAN750VNN	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR000EQL	ENCFF643TRD	bam		unfiltered alignments	2	2_1	ENCSR000EQL	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF643TRD/@@download/ENCFF643TRD.bam
ENCAN750VNN	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR000EQL	ENCFF505BXT	bam		alignments	1	1_1	ENCSR000EQL	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF505BXT/@@download/ENCFF505BXT.bam
ENCAN750VNN	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR000EQL	ENCFF816ZVF	bam		alignments	2	2_1	ENCSR000EQL	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF816ZVF/@@download/ENCFF816ZVF.bam
ENCAN750VNN	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR000EQL	ENCFF743ECE	starch		peaks	1	1_1	ENCSR000EQL	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF743ECE/@@download/ENCFF743ECE.starch
ENCAN750VNN	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR000EQL	ENCFF652EEH	starch		peaks	2	2_1	ENCSR000EQL	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF652EEH/@@download/ENCFF652EEH.starch
ENCAN750VNN	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR000EQL	ENCFF682QHO	bed	bed3+	FDR cut rate	1	1_1	ENCSR000EQL	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF682QHO/@@download/ENCFF682QHO.bed.gz
ENCAN750VNN	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR000EQL	ENCFF261CTY	bed	bed3+	FDR cut rate	2	2_1	ENCSR000EQL	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF261CTY/@@download/ENCFF261CTY.bed.gz
ENCAN750VNN	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR000EQL	ENCFF406MCR	bed	bed3+	footprints	1	1_1	ENCSR000EQL	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF406MCR/@@download/ENCFF406MCR.bed.gz
ENCAN750VNN	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR000EQL	ENCFF780NGZ	bed	bed3+	footprints	2	2_1	ENCSR000EQL	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF780NGZ/@@download/ENCFF780NGZ.bed.gz
ENCAN750VNN	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR000EQL	ENCFF450BSW	bigBed	bed3+	footprints	1	1_1	ENCSR000EQL	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF450BSW/@@download/ENCFF450BSW.bigBed
ENCAN750VNN	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR000EQL	ENCFF021MQO	bigBed	bed3+	footprints	2	2_1	ENCSR000EQL	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF021MQO/@@download/ENCFF021MQO.bigBed
ENCAN750VNN	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR000EQL	ENCFF510GZG	bigWig		read-depth normalized signal	1	1_1	ENCSR000EQL	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF510GZG/@@download/ENCFF510GZG.bigWig
ENCAN750VNN	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR000EQL	ENCFF667GPM	bigWig		read-depth normalized signal	2	2_1	ENCSR000EQL	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF667GPM/@@download/ENCFF667GPM.bigWig
ENCAN750VNN	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR000EQL	ENCFF377FVU	bigBed	bed3+	FDR cut rate	1	1_1	ENCSR000EQL	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF377FVU/@@download/ENCFF377FVU.bigBed
ENCAN750VNN	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR000EQL	ENCFF765UYM	bigBed	bed3+	FDR cut rate	2	2_1	ENCSR000EQL	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF765UYM/@@download/ENCFF765UYM.bigBed
ENCAN750VNN	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR000EQL	ENCFF382VDY	bed	narrowPeak	peaks	1	1_1	ENCSR000EQL	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF382VDY/@@download/ENCFF382VDY.bed.gz
ENCAN750VNN	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR000EQL	ENCFF678ODZ	bed	narrowPeak	peaks	2	2_1	ENCSR000EQL	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF678ODZ/@@download/ENCFF678ODZ.bed.gz
ENCAN750VNN	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR000EQL	ENCFF713PCV	bed	narrowPeak	peaks	1	1_1	ENCSR000EQL	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF713PCV/@@download/ENCFF713PCV.bed.gz
ENCAN750VNN	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR000EQL	ENCFF742TFP	bed	narrowPeak	peaks	2	2_1	ENCSR000EQL	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF742TFP/@@download/ENCFF742TFP.bed.gz
ENCAN750VNN	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR000EQL	ENCFF339AFX	bigBed	narrowPeak	peaks	1	1_1	ENCSR000EQL	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF339AFX/@@download/ENCFF339AFX.bigBed
ENCAN750VNN	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR000EQL	ENCFF154FOK	bigBed	narrowPeak	peaks	2	2_1	ENCSR000EQL	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF154FOK/@@download/ENCFF154FOK.bigBed
ENCAN750VNN	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR000EQL	ENCFF590WDR	bigBed	narrowPeak	peaks	1	1_1	ENCSR000EQL	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF590WDR/@@download/ENCFF590WDR.bigBed
ENCAN750VNN	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR000EQL	ENCFF992LWO	bigBed	narrowPeak	peaks	2	2_1	ENCSR000EQL	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF992LWO/@@download/ENCFF992LWO.bigBed
ENCAN204MPS	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR000EPK	ENCFF975UDE	bam		unfiltered alignments	2	2_1	ENCSR000EPK	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF975UDE/@@download/ENCFF975UDE.bam
ENCAN204MPS	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR000EPK	ENCFF254VNR	bam		alignments	2	2_1	ENCSR000EPK	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF254VNR/@@download/ENCFF254VNR.bam
ENCAN204MPS	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR000EPK	ENCFF546XJZ	starch		peaks	2	2_1	ENCSR000EPK	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF546XJZ/@@download/ENCFF546XJZ.starch
ENCAN204MPS	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR000EPK	ENCFF627CFM	bed	bed3+	FDR cut rate	2	2_1	ENCSR000EPK	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF627CFM/@@download/ENCFF627CFM.bed.gz
ENCAN204MPS	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR000EPK	ENCFF410CBB	bed	bed3+	footprints	2	2_1	ENCSR000EPK	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF410CBB/@@download/ENCFF410CBB.bed.gz
ENCAN204MPS	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR000EPK	ENCFF134HTP	bigBed	bed3+	footprints	2	2_1	ENCSR000EPK	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF134HTP/@@download/ENCFF134HTP.bigBed
ENCAN204MPS	ENCODE4 v3.0.0-alpha.2 GRCh38	3.0.0-alpha.2	ENCSR000EPK	ENCFF389PZY	bigWig		read-depth normalized signal	2	2_1	ENCSR000EPK	<generator object <genexpr> at 0x15368d1c44a0>	/files/ENCFF389PZY/@@download/ENCFF389PZY.bigWig
