analysis	experiment	biological_replicates	read_depth	quality	analysis_read_depth_sum	n_depth_metrics
ENCAN465DWN	ENCSR432QFU	1	139134748	pass	139134748	1
ENCAN344TWW	ENCSR694DOX	1	84549926	pass	84549926	1
ENCAN339RFP	ENCSR587SZC	1	132521882	pass	132521882	1
ENCAN959NHC	ENCSR629TMA	1	243722708	pass	243722708	1
ENCAN082HCH	ENCSR659JPP	1	88837942	pass	88837942	1
ENCAN352YSO	ENCSR590EFT	1	141537686	pass	141537686	1
ENCAN558FJW	ENCSR059NIN	1	158914572	pass	158914572	1
ENCAN281YCW	ENCSR200BNM	1	217761476	pass	217761476	1
ENCAN406TQR	ENCSR173YSO	1	151211086	pass	151211086	1
ENCAN801QYO	ENCSR024BXN	1	130926200	pass	130926200	1
ENCAN823LNX	ENCSR134IUJ	1	131057836	pass	131057836	1
ENCAN552WQI	ENCSR022UVL	1	157123662	pass	157123662	1
ENCAN396YYB	ENCSR122NRV	1	201522948	pass	201522948	1
ENCAN511SON	ENCSR221ROM	1	97917822	pass	97917822	1
ENCAN707XWI	ENCSR329FHR	1	151406800	pass	151406800	1
ENCAN990JUZ	ENCSR258POP	1	157501196	pass	157501196	1
ENCAN293AOQ	ENCSR796YOJ	1	150060310	pass	150060310	1
ENCAN197OKD	ENCSR722HJG	1	95695078	pass	95695078	1
ENCAN407CWT	ENCSR846VGZ	1	160065404	pass	160065404	1
ENCAN138TWG	ENCSR717BBR	1	193788160	pass	193788160	1
ENCAN926RXK	ENCSR880CUB	1	234735412	pass	234735412	1
ENCAN565KEY	ENCSR085XKS	1	192461352	pass	192461352	1
ENCAN978IVV	ENCSR101HFF	1	221438602	pass	221438602	1
ENCAN330ADW	ENCSR677XGD	1	131979868	pass	131979868	1
ENCAN964EMS	ENCSR209ECO	1	124131594	pass	124131594	1
ENCAN787ICO	ENCSR671YPX	1	166975040	pass	166975040	1
ENCAN330ZFT	ENCSR650TZF	1	110040836	pass	110040836	1
ENCAN139EUH	ENCSR234VLI	1	159033926	pass	159033926	1
ENCAN345ULD	ENCSR305WAA	1	130408922	pass	130408922	1
ENCAN139FXV	ENCSR334MDJ	1	193490242	pass	193490242	1
ENCAN189RTE	ENCSR419KXU	1	143426910	pass	143426910	1
ENCAN445MLE	ENCSR339TVH	1	83340024	pass	83340024	1
ENCAN967XWK	ENCSR428ZCP	1	161043276	pass	161043276	1
ENCAN009VIW	ENCSR721DFB	1	182127826	pass	182127826	1
ENCAN234UHM	ENCSR742HBK	1	324129012	pass	324129012	1
ENCAN538QUE	ENCSR856XGY	1	184507946	pass	184507946	1
ENCAN822EQM	ENCSR879XUH	1	131768856	pass	131768856	1
ENCAN171VCK	ENCSR649MJI	1	87133288	pass	87133288	1
ENCAN650LCY	ENCSR763XBU	1	89688954	pass	89688954	1
ENCAN373KPK	ENCSR916MHX	1	123733106	pass	123733106	1
ENCAN140LYA	ENCSR904LMG	1	154994622	pass	154994622	1
ENCAN854NRP	ENCSR784GVR	1	120905654	pass	120905654	1
ENCAN314EMN	ENCSR839RAJ	1	102864166	pass	102864166	1
ENCAN571KFE	ENCSR646JBR	1	89660794	pass	89660794	1
ENCAN155QBE	ENCSR356QCD	1	20300900	warning	20300900	1
ENCAN699YHE	ENCSR584LUZ	1	273489430	pass	273489430	1
ENCAN134UVY	ENCSR217TAW	1	402431086	pass	554015036	2
ENCAN134UVY	ENCSR217TAW	2	151583950	pass	554015036	2
ENCAN957UWC	ENCSR016THC	1	27567783	warning	27567783	1
ENCAN198UYB	ENCSR662HMO	1	396907658	pass	668197486	2
ENCAN198UYB	ENCSR662HMO	2	271289828	pass	668197486	2
ENCAN529MLM	ENCSR354FBA	1	19441139	not_compliant	19441139	1
ENCAN692SBA	ENCSR328UMC	1	30271894	warning	30271894	1
ENCAN563WTW	ENCSR158YXM	1	144876878	pass	515789256	2
ENCAN563WTW	ENCSR158YXM	2	370912378	pass	515789256	2
ENCAN017FSR	ENCSR842VTJ	1	23012719	warning	23012719	1
ENCAN080WEJ	ENCSR489NAM	1	303757764	pass	549189304	2
ENCAN080WEJ	ENCSR489NAM	2	245431540	pass	549189304	2
ENCAN152KCF	ENCSR859CZM	1	456987142	pass	456987142	1
ENCAN767SHB	ENCSR420NOA	1	288898926	pass	469173754	3
ENCAN767SHB	ENCSR420NOA	2	121125828	pass	469173754	3
ENCAN767SHB	ENCSR420NOA	3	59149000	pass	469173754	3
ENCAN971KGO	ENCSR608AHQ	1	30431116	warning	30431116	1
ENCAN923YGA	ENCSR082JCE	1	26118018	warning	26118018	1
ENCAN329KWQ	ENCSR000FEK	1	286628367	pass	324192774	2
ENCAN329KWQ	ENCSR000FEK	2	37564407	warning	324192774	2
ENCAN913OJU	ENCSR000FDI	1	27299906	warning	398223934	2
ENCAN913OJU	ENCSR000FDI	2	370924028	pass	398223934	2
ENCAN897NIH	ENCSR254AGA	1	19749506	not_compliant	19749506	1
ENCAN367JDM	ENCSR533VAF	1	33560921	warning	33560921	1
ENCAN864AOZ	ENCSR941DTJ	1	29697189	warning	29697189	1
ENCAN577KQP	ENCSR964MZQ	1	351131982	pass	611904056	2
ENCAN577KQP	ENCSR964MZQ	2	260772074	pass	611904056	2
ENCAN255OUX	ENCSR698CUE	1	25598938	warning	25598938	1
ENCAN397VHR	ENCSR949JYS	1	35280985	warning	35280985	1
ENCAN033EFR	ENCSR499PZA	1	28043677	warning	28043677	1
ENCAN142OJU	ENCSR856QJX	1	32314013	warning	32314013	1
ENCAN801BNY	ENCSR000FFJ	1	60983854	pass	470087412	2
ENCAN801BNY	ENCSR000FFJ	2	409103558	pass	470087412	2
ENCAN999MRG	ENCSR887BNC	1	27757731	warning	27757731	1
ENCAN389ZKY	ENCSR622CAH	1	25732125	warning	25732125	1
ENCAN412XYP	ENCSR753QKD	1	29593878	warning	29593878	1
ENCAN760WXH	ENCSR265TEK	1	168139604	pass	402802870	2
ENCAN760WXH	ENCSR265TEK	2	234663266	pass	402802870	2
ENCAN280CPL	ENCSR438TWI	1	31153211	warning	31153211	1
ENCAN931XDG	ENCSR247IUJ	1	25637560	warning	25637560	1
ENCAN520FIG	ENCSR514QHN	1	33787724	warning	33787724	1
ENCAN674BSW	ENCSR278FHC	1	25806247	warning	25806247	1
ENCAN244DBJ	ENCSR718AAB	1	28319908	warning	28319908	1
ENCAN213UGJ	ENCSR868XPR	1	29056603	warning	29056603	1
ENCAN680NAD	ENCSR309FOO	1	24776785	warning	24776785	1
ENCAN461HSA	ENCSR620QNS	1	236198516	pass	479412302	2
ENCAN461HSA	ENCSR620QNS	2	243213786	pass	479412302	2
ENCAN457ETN	ENCSR337IRF	1	332670422	pass	644905580	2
ENCAN457ETN	ENCSR337IRF	2	312235158	pass	644905580	2
ENCAN244KMH	ENCSR262QJC	1	24316994	warning	24316994	1
ENCAN170VJM	ENCSR752EPH	1	332718825	pass	332718825	1
