donor	n_cells	median_cell_sum	isg_mean	isg_frac	inflammatory_myeloid_mean	inflammatory_myeloid_frac	hla2_mean	hla2_frac	plasmablast_mean	plasmablast_frac	platelet_mean	platelet_frac	nk_mean	nk_frac	tcell_mean	tcell_frac	bcell_mean	bcell_frac	myeloid_mean	myeloid_frac	IFIT1_mean	IFIT2_mean	IFIT3_mean	ISG15_mean	MX1_mean	OAS1_mean	OAS2_mean	OAS3_mean	IFI6_mean	IFI27_mean	IFI44_mean	IFI44L_mean	RSAD2_mean	BST2_mean	XAF1_mean	STAT1_mean	IRF7_mean	IFIH1_mean	GBP1_mean	S100A8_mean	S100A9_mean	S100A12_mean	FCN1_mean	VCAN_mean	CTSD_mean	CTSS_mean	CTSB_mean	LGALS3_mean	TYMP_mean	NAMPT_mean	BCL2A1_mean	TNFAIP3_mean	IL1B_mean	NFKBIA_mean	HLA-DRA_mean	HLA-DPB1_mean	HLA-DPA1_mean	CD74_mean	HLA-DRB1_mean	MZB1_mean	XBP1_mean	JCHAIN_mean	IGKC_mean	PPBP_mean	PF4_mean	NKG7_mean	GNLY_mean	CD3D_mean	CD3E_mean	MS4A1_mean	CD79A_mean	LYZ_mean	LST1_mean	FCGR3A_mean	CCR7_mean	LTB_mean	MALAT1_mean
donor1	11264	2933	0.1504981	0.1053099	1.380279	0.2518821	8.801456	0.5497337	0.8179155	0.1227362	0.0567294	0.009854403	5.916548	0.4299538	2.411355	0.6481268	0.3494318	0.07066761	3.214222	0.28307	0.02183949	0.05166903	0.03790838	0.2480469	0.1561612	0.1324574	0.1003196	0.03062855	0.2604759	0.1209162	0.04261364	0.03746449	0.0123402	0.6930043	0.1693004	0.2096946	0.3460582	0.04323509	0.1453303	9.716619	3.55957	0.6613991	1.46875	0.667081	0.1590021	1.68892	0.4428267	0.6736506	0.5118075	0.1258878	0.1780895	0.1507457	0.02716619	0.672674	6.792702	4.492987	4.343572	22.89489	5.483132	0.471147	0.2042791	1.805575	0.7906605	0.0982777	0.01518111	6.516246	5.31685	1.815075	3.007635	0.2905717	0.4082919	10.22035	1.552202	0.6620206	0.4223189	1.81756	52.9193
donor2	10595	2909	0.1953553	0.1256203	6.13351	0.4211987	5.40404	0.5182067	2.08858	0.1220151	0.2523832	0.04936291	4.116376	0.2572912	1.688155	0.4047664	0.2569136	0.05710241	5.229589	0.3423077	0.02076451	0.03728174	0.05077867	0.3886739	0.2734309	0.1870694	0.1188296	0.06050024	0.4339783	0.198773	0.10958	0.09249646	0.01208117	0.8205757	0.1801793	0.2696555	0.2618216	0.03935819	0.1559226	54.31005	19.13148	3.48589	3.311468	2.051156	0.7531855	2.658329	0.7972629	1.232751	0.6841907	0.3268523	0.2116092	0.3696083	0.03529967	2.643511	4.053705	1.671921	2.392072	15.63388	3.268617	1.357338	0.2562529	4.811798	1.928929	0.4412459	0.06352053	3.081642	5.151109	1.107504	2.268806	0.1638509	0.3499764	18.11298	2.234922	0.3791411	0.1913167	1.638226	51.60217
donor3	11327	3486	1.996943	0.4462463	13.2393	0.5138519	9.297413	0.6388452	1.26492	0.1214134	0.09547983	0.02652953	5.128719	0.3131014	1.634987	0.392381	0.1924164	0.04361261	6.390306	0.3999514	0.3121745	0.267679	0.6932109	2.268738	1.56458	1.185574	0.4657897	0.2914276	4.456696	17.73109	0.4839763	1.369383	0.2330714	2.232718	1.196875	0.9699832	1.286837	0.1678291	0.76428	126.7639	32.82228	7.514346	7.668226	2.729761	0.7628675	5.771784	1.414938	1.980136	3.518672	0.9895824	1.403549	0.4258851	0.1112386	4.712369	6.146376	2.275095	4.448398	27.34131	6.275889	0.9967335	0.2847179	3.13225	0.6459786	0.1501722	0.0407875	5.162973	5.094465	1.022777	2.247197	0.1284541	0.2563786	20.88532	3.432418	0.9502958	0.2931933	2.197404	63.93573
donor4	17134	4229	0.4865365	0.2190474	21.95846	0.4575425	5.963103	0.5637913	5.860161	0.2044619	0.2006537	0.02068986	9.396813	0.4478814	2.251868	0.4116669	0.8875919	0.1319598	6.203047	0.3549084	0.05643749	0.1175441	0.1178942	0.8692074	0.4700012	0.5939069	0.2786857	0.1062215	1.020486	1.285981	0.2088246	0.1823275	0.02766429	2.209525	0.4097117	0.3860161	0.4666161	0.05264387	0.3844987	205.44	77.34802	21.24104	4.5649	5.147018	1.409595	4.773491	2.086086	2.119062	0.2817206	0.7764095	1.548792	0.631668	0.09985993	1.909245	3.958037	1.33594	2.346562	18.64007	3.534901	4.220731	0.3571262	14.3639	4.498891	0.3582935	0.04301389	7.60272	11.19091	1.449282	3.054453	0.7600677	1.015116	19.99848	3.328528	1.160558	0.3246177	0.5025096	70.55434
donor5	11067	3291	0.1713059	0.1178753	2.042384	0.2571007	6.05136	0.4593115	0.6663504	0.1384973	0.06609741	0.01436704	6.227388	0.3387549	2.135357	0.5471221	0.4688262	0.07567543	4.279231	0.3089591	0.0383121	0.0667751	0.05421523	0.2829132	0.1971627	0.2071022	0.1247854	0.03930604	0.2505647	0.02078251	0.05051053	0.04725761	0.0124695	0.7882895	0.1867715	0.3399295	0.3099304	0.02990874	0.2078251	14.99702	6.61724	1.261498	1.497696	0.9769585	0.2166802	2.53411	0.4887503	0.843318	0.138791	0.1438511	0.2780338	0.1836993	0.03668564	0.4214331	4.579651	2.160477	3.063974	18.10418	2.348514	0.3671275	0.1156592	1.732177	0.4504382	0.1159302	0.01626457	4.959158	7.495618	1.385832	2.884883	0.3995663	0.5380862	13.18099	2.05801	1.157586	0.7203397	0.6383844	57.24532
donor6	6663	4202	0.1964581	0.1171197	11.58559	0.301836	5.878793	0.4684376	5.421169	0.1828381	0.3265046	0.01440792	4.038571	0.2986643	2.692631	0.5342939	0.658262	0.1377758	3.021499	0.291873	0.01650908	0.02611436	0.03857121	0.09365151	0.2032118	0.2398319	0.136425	0.04457452	0.3538946	0.3613988	0.07098904	0.03631998	0.007804292	1.050278	0.2135675	0.3012157	0.2754015	0.0223623	0.2405823	119.1418	34.28336	9.479964	2.021012	1.901096	0.6771724	2.030467	1.001351	1.050578	0.1562359	0.2943119	0.3956176	0.1380759	0.03211766	1.180699	3.989644	0.9597779	2.946721	19.37641	2.121417	3.221222	0.2830557	15.46315	2.717244	0.5878733	0.06513582	3.914153	4.16299	1.855621	3.529641	0.4585022	0.8580219	8.707339	2.074291	0.6747711	0.6295963	0.5955275	57.42608
donor7	8490	3709	0.309522	0.1745521	13.20514	0.4374872	5.382073	0.5277032	1.901914	0.1385159	0.4432862	0.03162544	5.208893	0.3437574	2.330742	0.4391637	0.385159	0.06048292	5.035306	0.3199941	0.02202591	0.04322733	0.05700824	0.5433451	0.4793875	0.2870436	0.178563	0.07738516	0.7831567	0.6047114	0.1819788	0.1497055	0.01672556	1.07927	0.3095406	0.4075383	0.3237927	0.03191991	0.3045936	123.7649	42.51154	12.88905	4.570907	2.994817	1.055124	2.885866	1.194464	1.481625	0.1825677	0.5977621	0.4515901	0.6513545	0.0459364	2.799529	3.456066	1.335925	2.448528	16.78799	2.881861	1.328386	0.1652532	4.918963	1.195053	0.7760895	0.1104829	5.500707	4.917079	1.512956	3.148528	0.3256773	0.4446408	17.47833	2.046172	0.4196702	0.1970554	0.554417	48.88469
donor8	7888	3713	0.5052378	0.20316	5.113827	0.3314909	6.680908	0.5565162	3.190511	0.1431922	0.07162779	0.012107	6.475913	0.341785	3.311422	0.6322896	0.3204234	0.06662018	2.868788	0.2798238	0.03080629	0.2763692	0.1279158	0.6096602	0.5212982	0.2489858	0.1787525	0.08810852	0.7281947	3.238971	0.1506085	0.1721602	0.0231998	1.14034	0.3525609	0.7501268	0.2988083	0.03055274	0.6320994	42.67723	16.53106	3.216405	3.303879	1.121831	0.4288793	2.757733	0.7744675	1.130578	0.3315162	0.6374239	0.6729209	0.6228448	0.08024848	2.420385	4.978195	1.943966	3.442571	19.0682	3.971602	1.770157	0.1539047	8.563641	2.274341	0.1242394	0.01901623	6.803372	6.148453	2.016608	4.606237	0.2354209	0.405426	8.360801	2.271298	0.5238337	0.3192191	0.7860041	61.67787
donor9	7837	3524	0.1773839	0.1245912	5.285654	0.4107439	3.472962	0.4668878	1.982232	0.1329909	0.317277	0.06909532	2.370869	0.2765089	2.166709	0.4561695	0.2004594	0.04178895	3.598475	0.3540258	0.01122879	0.03649356	0.03687636	0.3320148	0.2360597	0.2771469	0.1458466	0.04504275	0.3114712	0.09978308	0.09034069	0.04989154	0.009825188	0.7376547	0.2284037	0.327166	0.1647314	0.03585556	0.1944622	42.48348	18.07222	2.725788	3.127855	2.714559	0.9142529	3.658798	0.8366722	1.249075	0.2438433	0.5010846	0.327166	0.4504275	0.01913998	1.960444	2.503892	0.996172	1.515248	10.11088	2.238612	1.254689	0.1791502	4.964272	1.530815	0.5516141	0.0829399	2.546383	2.195355	1.493429	2.83999	0.1598826	0.2410361	10.07975	2.745311	1.172132	0.3967079	0.6673472	75.94922
donor10	14101	3627	0.2283601	0.1358358	5.215488	0.3135806	6.754386	0.576413	5.696369	0.1845259	0.04698248	0.008651869	11.30633	0.4375931	3.196263	0.5763066	0.8956102	0.1381462	2.314995	0.2966102	0.02411177	0.04907453	0.04992554	0.1450961	0.3457202	0.2941635	0.2194171	0.05538614	0.4554996	0.1710517	0.08013616	0.06446351	0.01517623	1.002837	0.2872846	0.4646479	0.2086377	0.03893341	0.3672789	43.17658	20.79136	3.417063	2.244522	1.969506	0.5040777	2.243458	0.712219	0.9226296	0.1438196	0.314304	0.2787036	0.370612	0.03169988	1.111765	4.351464	2.323594	2.636763	20.99404	3.466066	3.255017	0.315935	13.64783	5.566697	0.0848876	0.00907737	9.101908	13.51074	2.593362	3.799163	0.7016524	1.089568	6.648819	1.235019	0.9500035	0.42614	0.5873342	79.74463
