donor	n_cells	median_cell_sum	isg_mean	isg_frac	inflammatory_myeloid_mean	inflammatory_myeloid_frac	hla2_mean	hla2_frac	plasmablast_mean	plasmablast_frac	platelet_mean	platelet_frac	nk_mean	nk_frac	tcell_mean	tcell_frac	bcell_mean	bcell_frac	myeloid_mean	myeloid_frac
donor1	11264	2933	0.1504981	0.1053099	1.380279	0.2518821	8.801456	0.5497337	0.8179155	0.1227362	0.0567294	0.009854403	5.916548	0.4299538	2.411355	0.6481268	0.3494318	0.07066761	3.214222	0.28307
donor2	10595	2909	0.1953553	0.1256203	6.13351	0.4211987	5.40404	0.5182067	2.08858	0.1220151	0.2523832	0.04936291	4.116376	0.2572912	1.688155	0.4047664	0.2569136	0.05710241	5.229589	0.3423077
donor3	11327	3486	1.996943	0.4462463	13.2393	0.5138519	9.297413	0.6388452	1.26492	0.1214134	0.09547983	0.02652953	5.128719	0.3131014	1.634987	0.392381	0.1924164	0.04361261	6.390306	0.3999514
donor4	17134	4229	0.4865365	0.2190474	21.95846	0.4575425	5.963103	0.5637913	5.860161	0.2044619	0.2006537	0.02068986	9.396813	0.4478814	2.251868	0.4116669	0.8875919	0.1319598	6.203047	0.3549084
donor5	11067	3291	0.1713059	0.1178753	2.042384	0.2571007	6.05136	0.4593115	0.6663504	0.1384973	0.06609741	0.01436704	6.227388	0.3387549	2.135357	0.5471221	0.4688262	0.07567543	4.279231	0.3089591
donor6	6663	4202	0.1964581	0.1171197	11.58559	0.301836	5.878793	0.4684376	5.421169	0.1828381	0.3265046	0.01440792	4.038571	0.2986643	2.692631	0.5342939	0.658262	0.1377758	3.021499	0.291873
donor7	8490	3709	0.309522	0.1745521	13.20514	0.4374872	5.382073	0.5277032	1.901914	0.1385159	0.4432862	0.03162544	5.208893	0.3437574	2.330742	0.4391637	0.385159	0.06048292	5.035306	0.3199941
donor8	7888	3713	0.5052378	0.20316	5.113827	0.3314909	6.680908	0.5565162	3.190511	0.1431922	0.07162779	0.012107	6.475913	0.341785	3.311422	0.6322896	0.3204234	0.06662018	2.868788	0.2798238
donor9	7837	3524	0.1773839	0.1245912	5.285654	0.4107439	3.472962	0.4668878	1.982232	0.1329909	0.317277	0.06909532	2.370869	0.2765089	2.166709	0.4561695	0.2004594	0.04178895	3.598475	0.3540258
donor10	14101	3627	0.2283601	0.1358358	5.215488	0.3135806	6.754386	0.576413	5.696369	0.1845259	0.04698248	0.008651869	11.30633	0.4375931	3.196263	0.5763066	0.8956102	0.1381462	2.314995	0.2966102
donor11	5942	3384	0.1685858	0.1215433	0.7690116	0.2033995	4.976843	0.5257152	0.6764978	0.144522	0.02431841	0.007489061	11.46979	0.5270111	2.796786	0.6911814	0.5272635	0.1059408	1.227743	0.2699849
donor12	8704	3231	0.1718508	0.1199509	1.221025	0.2179611	4.827183	0.470795	0.6616785	0.1032858	0.00993796	0.003044577	8.673196	0.4373277	2.357077	0.5842716	0.3923483	0.06830193	2.066607	0.2703642
donor13	5756	3407.5	0.6179273	0.2471654	11.44698	0.4634353	7.164211	0.6296734	3.419302	0.1276928	0.01763377	0.008078527	5.099635	0.3237491	1.851112	0.3689194	0.9381515	0.09763725	3.460997	0.3498958
donor14	15886	3450	2.58717	0.4915616	12.53042	0.4094926	7.681531	0.6297998	1.702993	0.1508404	0.06590709	0.01435226	6.583281	0.455401	2.428837	0.5150132	0.6689853	0.1074531	7.076718	0.3373725
donor15	5857	3449	0.4478222	0.1826784	7.439964	0.3390359	5.839064	0.4960901	3.7395	0.1385522	0.01886631	0.005036708	2.571709	0.2152979	2.531159	0.5566843	0.7508964	0.1565648	5.04358	0.3021598
donor16	6108	3995.5	0.2540499	0.1557319	6.424678	0.4054137	5.202489	0.5074329	2.724214	0.1744434	0.07833988	0.0103962	9.503193	0.357482	2.367551	0.4191225	0.4835462	0.07023576	4.602366	0.3528978
donor17	8626	3798	0.2775391	0.1735512	1.437321	0.2745575	6.748064	0.4779968	0.8706527	0.1627058	0.04857408	0.00701368	4.845583	0.3052979	2.848365	0.6461859	0.6289706	0.08978669	2.801443	0.3322224
