gene	covid_minus_healthy_logcpm
RNASE1	2.25208
IFI27	2.196294
RNASE2	1.936218
LYPD2	-1.879809
CLU	1.848982
GSTM1	1.798677
S100A8	1.784555
HP	1.764214
S100A9	1.753301
S100A12	1.748473
C1QC	1.647341
FCGR1A	1.638146
MYOM2	-1.62257
SOCS3	1.616302
ADM	1.570524
ENSG00000277856	1.567743
ID1	1.554939
MCEMP1	1.547905
C1QB	1.529779
DYSF	1.466191
RRM2	1.455472
MT1G	1.428672
USP9Y	-1.420082
CD14	1.393375
TNNT1	1.386797
UBE2C	1.369391
AREG	1.358252
HLA-DQA2	-1.339208
FCER1A	-1.323221
EREG	1.323138
BIRC5	1.308834
DDX3Y	-1.303032
H3C2	1.291172
CCNA2	1.289498
AQP9	1.284508
TMT1B	1.284408
STAB1	1.281695
LAIR2	-1.278885
FAM20A	1.272805
MKI67	1.271555
ASGR2	1.261581
XIST	1.249634
MGST1	1.240353
VMO1	-1.239391
G0S2	1.239249
CD163	1.215564
TK1	1.214427
PLBD1	1.211499
ZFY	-1.206906
PLK1	1.206107
FPR1	1.198856
UTY	-1.198194
H3C3	1.194099
FCGR1BP	1.192356
HBEGF	1.190743
CTSD	1.190736
APOBEC3A	1.18671
KDM5D	-1.185448
TOP2A	1.184248
CCL4L2	-1.183253
CDC45	1.179838
CDC20	1.17544
NFIL3	1.170155
CXCL8	1.166415
VCAN	1.150015
CAVIN3	1.147117
GINS2	1.144279
PKMYT1	1.141742
ANPEP	1.141345
CCNB2	1.140843
EIF1AY	-1.140195
DLGAP5	1.133999
CDCA5	1.129313
CLSPN	1.126412
ID3	-1.126372
TPX2	1.122919
LUCAT1	1.112221
CDK1	1.110311
ENSG00000257764	1.10909
DGKK	-1.098556
CYP1B1	1.095501
TCN2	1.089679
ACSL1	1.078739
CRISPLD2	1.06794
MEG3	-1.065504
TRIB1	1.060224
GTSE1	1.058434
ENSG00000283155	1.05338
CDCA2	1.050554
PLEKHF1	-1.050096
SHCBP1	1.048715
TYMS	1.047868
TMEM204	-1.044103
SPC25	1.041642
CKAP4	1.040082
CKB	-1.038679
SGK1	1.036899
SIGLEC1	1.034742
HMMR	1.031727
UHRF1	1.024777
