gene_id	log2_fold_change	p_value	fdr
YML123C	-1.92578374317474	3.04692107189998e-14	7.69652262761936e-11
snR54	-1.40394758362271	7.43080188966570e-11	9.38510278664778e-08
YPL019C	-1.39264343423815	3.04233463424642e-09	2.56164576203548e-06
YDL229W	-0.934391588123611	1.29628684664836e-07	8.1860514365844e-05
YLR249W	-0.512037546794644	2.64809212737119e-07	0.000133781614274792
YJL012C	-1.33893320872865	1.59152994513709e-06	0.000670034106902714
YER164W	-7.14371407633115	8.15252437666168e-06	0.00294189665363534
YGL009C	-0.849189310283728	1.77457457865963e-05	0.00560321923211777
YBL098W	1.9861903595692	2.36754670429855e-05	0.00664491441673126
YOR375C	-1.28840475622632	2.80244565992073e-05	0.00707897773695976
YJR009C	-0.609244549616935	4.38590453372431e-05	0.0100716316838069
YJR148W	1.64642454947447	0.000128511064822004	0.0270515791450319
YBR093C	-2.12503508782861	0.000151290320768427	0.0293968730970035
YKL081W	-0.555710001946126	0.00115931314725374	0.209173214997353
YGR155W	-0.600679586669496	0.0029862247561482	0.488993894342192
YHR179W	-0.861038860053166	0.00329093278060858	0.488993894342192
YNL134C	-0.950148314883122	0.00312806799912391	0.488993894342192
YGL055W	0.732648883516935	0.00414882749274882	0.582218791482418
YDR481C	-1.10220830590585	0.00577442106714169	0.754015942245703
YJL034W	-0.616968324964099	0.00597003913100319	0.754015942245703
LSR1	0.0901693687327604	0.822863966230537	0.998611322435051
RME2	-1.1812502790392	0.204715101857668	0.998611322435051
SCR1	0.224251272643429	0.682269219204097	0.998611322435051
YAL001C	0.148363530184021	0.804263263496295	0.998611322435051
YAL002W	0.612356143425451	0.473764995391731	0.998611322435051
YAL003W	-0.356138521233107	0.0524943115146961	0.998611322435051
YAL005C	0.320365326319272	0.223412286673029	0.998611322435051
YAL007C	0.229556408931578	0.7181305158167	0.998611322435051
YAL012W	-0.308377225741723	0.255267528948147	0.998611322435051
YAL016W	-0.153198043111785	0.601112596546251	0.998611322435051
YAL017W	0.308742789264551	0.685738105350779	0.998611322435051
YAL019W	1.14543193642176	0.150701189088802	0.998611322435051
YAL021C	0.0067470333612649	0.992998401304757	0.998611322435051
YAL023C	-0.295244405740758	0.420839111561486	0.998611322435051
YAL025C	-0.203922346085201	0.783642271357078	0.998611322435051
YAL026C	0.187353126830039	0.699927484808776	0.998611322435051
YAL029C	0.571679905316355	0.206922332310681	0.998611322435051
YAL035W	-0.444211447544359	0.0834611481310381	0.998611322435051
YAL036C	0.327540942717378	0.561544416918602	0.998611322435051
YAL038W	-0.216749662029614	0.0203959166866594	0.998611322435051
YAL041W	-0.0196161741527792	0.977591084446102	0.998611322435051
YAL042W	-0.216577777577495	0.620439251268028	0.998611322435051
YAL043C	0.76212318280164	0.401004039536161	0.998611322435051
YAL044C	0.386006283036747	0.448868564117823	0.998611322435051
YAL053W	-0.903605375139784	0.205445186534862	0.998611322435051
YAL056W	-0.242799733935203	0.670928595876152	0.998611322435051
YAL058W	-0.152733919551662	0.845711048708733	0.998611322435051
YAL059W	0.116862988242631	0.867931932147632	0.998611322435051
YAL060W	0.254214341021295	0.70863951473453	0.998611322435051
YAR002C-A	0.0922799320109808	0.826187473355126	0.998611322435051
YAR003W	-0.157876680736048	0.823836713257362	0.998611322435051
YAR007C	-0.0339028684248412	0.959267605040762	0.998611322435051
YAR014C	0.0462919682357015	0.939898060876699	0.998611322435051
YAR015W	-0.128677951928537	0.629707907407433	0.998611322435051
YAR042W	0.871830933466014	0.250051021498357	0.998611322435051
YBL001C	0.805422312904527	0.0674352224748448	0.998611322435051
YBL002W	-0.135403335972734	0.717814901608155	0.998611322435051
YBL003C	-0.0675948429690933	0.81151272009637	0.998611322435051
YBL004W	-0.181409757318605	0.643657218567577	0.998611322435051
YBL007C	-0.105519429203728	0.812101696827113	0.998611322435051
YBL009W	-0.745967515340467	0.409298768382711	0.998611322435051
YBL010C	-0.298454762517652	0.750697079530535	0.998611322435051
YBL011W	0.408539455656039	0.542533456596362	0.998611322435051
YBL015W	-0.258561507741842	0.702653053360655	0.998611322435051
YBL016W	-0.00975270369178143	0.989639121375374	0.998611322435051
YBL017C	-0.308446944324665	0.414984605809605	0.998611322435051
YBL020W	-1.72622081603263	0.0167325703928159	0.998611322435051
YBL022C	0.222113491196091	0.539220346578389	0.998611322435051
YBL023C	0.0530916686703563	0.917337500986362	0.998611322435051
YBL024W	-0.113591744985398	0.828099953629304	0.998611322435051
YBL027W	0.0428470425557313	0.834772388713488	0.998611322435051
YBL028C	-0.133739307772318	0.843337123751542	0.998611322435051
YBL030C	-0.329390973807273	0.271938250244393	0.998611322435051
YBL032W	0.495008591384597	0.323874509232103	0.998611322435051
YBL033C	-0.142433200581587	0.869580102834398	0.998611322435051
YBL035C	0.529223727549128	0.5192646918893	0.998611322435051
YBL036C	0.325762866810221	0.617741161172753	0.998611322435051
YBL037W	-0.561872253205908	0.49531617826064	0.998611322435051
YBL039C	0.178255018404739	0.628270328254526	0.998611322435051
YBL040C	-0.57981776733232	0.492515831127021	0.998611322435051
YBL041W	0.80372991100993	0.268236402601511	0.998611322435051
YBL042C	-0.169575918324414	0.729117268841436	0.998611322435051
YBL045C	-0.0187666383177855	0.970977362199234	0.998611322435051
YBL047C	-0.277521854062299	0.514120054423207	0.998611322435051
YBL050W	-0.353686317143273	0.493611948269859	0.998611322435051
YBL051C	0.0786711142728197	0.906697237508693	0.998611322435051
YBL052C	-0.130366146798777	0.818884612451365	0.998611322435051
YBL054W	-0.224255039645143	0.684132908882235	0.998611322435051
YBL055C	-0.240307654830797	0.739125495110363	0.998611322435051
YBL056W	-0.187913839610481	0.623889208799717	0.998611322435051
YBL058W	0.185691870340392	0.76301932018273	0.998611322435051
YBL061C	0.286551761398775	0.625276546815178	0.998611322435051
YBL064C	0.591829730302041	0.442476965712982	0.998611322435051
YBL067C	-0.491583249253085	0.473963105318577	0.998611322435051
YBL072C	-0.0241165789041499	0.894187737787309	0.998611322435051
YBL076C	0.0898192466800516	0.636138118609234	0.998611322435051
YBL079W	0.368788353271995	0.398932735492045	0.998611322435051
YBL082C	-0.493041258156532	0.511574603970475	0.998611322435051
YBL085W	0.0999429865217737	0.904047442209117	0.998611322435051
YBL087C	-0.188292860186166	0.39574154451867	0.998611322435051
YBL091C	0.231981865986741	0.707983673207788	0.998611322435051
YBL092W	0.241852224927908	0.248821660561489	0.998611322435051
YBL099W	-0.100492643377248	0.753426904214154	0.998611322435051
YBL102W	-0.227769460876564	0.724027573962855	0.998611322435051
YBL105C	-0.920295971166641	0.154459247712296	0.998611322435051
YBR001C	0.241547769642483	0.756443083913591	0.998611322435051
YBR003W	0.769640649027658	0.368391198042536	0.998611322435051
YBR009C	0.250900817133493	0.520112004689842	0.998611322435051
YBR010W	0.304741091768176	0.365159876535213	0.998611322435051
YBR011C	-0.015771117678903	0.959158159788774	0.998611322435051
YBR015C	-0.459793321626465	0.406251350732298	0.998611322435051
YBR017C	0.229294458038746	0.674583750817573	0.998611322435051
YBR023C	-0.231706938481977	0.644792662712305	0.998611322435051
YBR025C	0.100690412078586	0.735992256839106	0.998611322435051
YBR026C	-0.0209340165979955	0.97799488374958	0.998611322435051
YBR028C	-0.00903326333257144	0.99120124620291	0.998611322435051
YBR029C	-0.274943133777437	0.626023784935249	0.998611322435051
YBR031W	-0.394042241205977	0.104201264213382	0.998611322435051
YBR034C	-0.328745533107973	0.388812188147297	0.998611322435051
YBR035C	0.559498684806361	0.243689639086377	0.998611322435051
YBR036C	-0.114624026413342	0.811953333180362	0.998611322435051
YBR038W	0.0523202838999722	0.950314949002373	0.998611322435051
YBR039W	-0.287519779805858	0.590097871476372	0.998611322435051
YBR041W	-0.589516095017705	0.306688986681029	0.998611322435051
YBR042C	-0.446562551952189	0.513726964853266	0.998611322435051
YBR043C	0.302340924510382	0.662057057110864	0.998611322435051
YBR048W	-0.270407095303315	0.21122850211659	0.998611322435051
YBR049C	0.318298542604309	0.629179936728503	0.998611322435051
YBR052C	0.332717776048974	0.564131325216503	0.998611322435051
YBR053C	-0.431850486105057	0.433582858808081	0.998611322435051
YBR054W	0.835830936765457	0.255040760036257	0.998611322435051
YBR055C	-0.358889647500182	0.634687980602669	0.998611322435051
