                                 Started job on |	Aug 26 06:59:24
                             Started mapping on |	Aug 26 07:20:03
                                    Finished on |	Aug 26 07:20:51
       Mapping speed, Million of reads per hour |	15.07

                          Number of input reads |	200913
                      Average input read length |	107
                                    UNIQUE READS:
                   Uniquely mapped reads number |	175121
                        Uniquely mapped reads % |	87.16%
                          Average mapped length |	106.73
                       Number of splices: Total |	80716
            Number of splices: Annotated (sjdb) |	79888
                       Number of splices: GT/AG |	79925
                       Number of splices: GC/AG |	581
                       Number of splices: AT/AC |	70
               Number of splices: Non-canonical |	140
                      Mismatch rate per base, % |	0.38%
                         Deletion rate per base |	0.01%
                        Deletion average length |	1.54
                        Insertion rate per base |	0.01%
                       Insertion average length |	1.24
                             MULTI-MAPPING READS:
        Number of reads mapped to multiple loci |	20839
             % of reads mapped to multiple loci |	10.37%
        Number of reads mapped to too many loci |	57
             % of reads mapped to too many loci |	0.03%
                                  UNMAPPED READS:
  Number of reads unmapped: too many mismatches |	0
       % of reads unmapped: too many mismatches |	0.00%
            Number of reads unmapped: too short |	2913
                 % of reads unmapped: too short |	1.45%
                Number of reads unmapped: other |	16
                     % of reads unmapped: other |	0.01%
                                  CHIMERIC READS:
                       Number of chimeric reads |	2928
                            % of chimeric reads |	1.46%
