pathway_id	pathway_name	foreground_hits	pathway_genes_in_universe	foreground_genes_in_universe	universe_genes	p_value	adjusted_p_value	foreground_hit_genes
pau00970	Aminoacyl-tRNA biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	7	86	43	2048	0.00169426596109	0.0293941627344	PA14_08650,PA14_23570,PA14_23580,PA14_27600,PA14_27610,PA14_27620,PA14_65220
pau03010	Ribosome - Pseudomonas aeruginosa UCBPP-PA14	6	67	43	2048	0.00229705533466	0.0293941627344	PA14_17060,PA14_57580,PA14_57590,PA14_60400,PA14_60460,PA14_70190
pau00740	Riboflavin metabolism - Pseudomonas aeruginosa UCBPP-PA14	3	14	43	2048	0.00267219661222	0.0293941627344	PA14_11410,PA14_11420,PA14_19530
pau00190	Oxidative phosphorylation - Pseudomonas aeruginosa UCBPP-PA14	5	58	43	2048	0.006460158312	0.0458662853452	PA14_44340,PA14_44350,PA14_44360,PA14_57560,PA14_57570
pau00920	Sulfur metabolism - Pseudomonas aeruginosa UCBPP-PA14	5	59	43	2048	0.00694943717351	0.0458662853452	PA14_19530,PA14_19540,PA14_19560,PA14_19570,PA14_19580
pau04148	Efferocytosis - Pseudomonas aeruginosa UCBPP-PA14	1	2	43	2048	0.0415613931974	0.228587662585	PA14_57570
pau00760	Nicotinate and nicotinamide metabolism - Pseudomonas aeruginosa UCBPP-PA14	2	24	43	2048	0.0888271178202	0.366411861009	PA14_64950,PA14_64960
pau00785	Lipoic acid metabolism - Pseudomonas aeruginosa UCBPP-PA14	2	24	43	2048	0.0888271178202	0.366411861009	PA14_32985,PA14_33000
pau00260	Glycine, serine and threonine metabolism - Pseudomonas aeruginosa UCBPP-PA14	3	56	43	2048	0.110894999734	0.406614999023	PA14_32985,PA14_33000,PA14_47100
pau01200	Carbon metabolism - Pseudomonas aeruginosa UCBPP-PA14	5	129	43	2048	0.129800616447	0.40930205332	PA14_19190,PA14_32985,PA14_33000,PA14_47100,PA14_61770
pau00670	One carbon pool by folate - Pseudomonas aeruginosa UCBPP-PA14	2	31	43	2048	0.136665015606	0.40930205332	PA14_32985,PA14_33000
pau00620	Pyruvate metabolism - Pseudomonas aeruginosa UCBPP-PA14	3	64	43	2048	0.148837110298	0.40930205332	PA14_19190,PA14_63090,PA14_63100
pau02020	Two-component system - Pseudomonas aeruginosa UCBPP-PA14	8	265	43	2048	0.183284887381	0.432615003185	PA14_19190,PA14_43710,PA14_44340,PA14_44350,PA14_44360,PA14_57560,PA14_57570,PA14_61080
