pathway_id	pathway_name	foreground_hits	pathway_genes_in_universe	foreground_genes_in_universe	universe_genes	p_value	adjusted_p_value	foreground_hit_genes
pau00405	Phenazine biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	14	24	74	2048	2.69897899075e-15	1.18755075593e-13	PA14_09400,PA14_09410,PA14_09420,PA14_09440,PA14_09450,PA14_09470,PA14_09480,PA14_09490,PA14_39880,PA14_39890,PA14_39910,PA14_39925,PA14_39960,PA14_39970
pau02024	Quorum sensing - Pseudomonas aeruginosa UCBPP-PA14	24	111	74	2048	6.74004146125e-14	1.48280912147e-12	PA14_09410,PA14_09420,PA14_09440,PA14_09450,PA14_09460,PA14_09470,PA14_09480,PA14_09520,PA14_09530,PA14_16250,PA14_19100,PA14_19110,PA14_19130,PA14_20610,PA14_31290,PA14_39880,PA14_39890,PA14_39910,PA14_39925,PA14_39945,PA14_39960,PA14_39970,PA14_40260,PA14_49760
pau01310	Nitrogen cycle - Pseudomonas aeruginosa UCBPP-PA14	4	12	74	2048	0.000624392124651	0.00915775116154	PA14_06750,PA14_06810,PA14_06830,PA14_20200
pau01110	Biosynthesis of secondary metabolites - Pseudomonas aeruginosa UCBPP-PA14	28	444	74	2048	0.000932098892231	0.0102530878145	PA14_00640,PA14_06660,PA14_06680,PA14_06690,PA14_06700,PA14_06710,PA14_09150,PA14_09400,PA14_09410,PA14_09420,PA14_09440,PA14_09450,PA14_09460,PA14_09470,PA14_09480,PA14_09490,PA14_20940,PA14_35150,PA14_39880,PA14_39890,PA14_39910,PA14_39925,PA14_39945,PA14_39960,PA14_39970,PA14_40310,PA14_58030,PA14_61040
pau04146	Peroxisome - Pseudomonas aeruginosa UCBPP-PA14	3	14	74	2048	0.0123739496222	0.108890756676	PA14_09150,PA14_58000,PA14_61040
pau00910	Nitrogen metabolism - Pseudomonas aeruginosa UCBPP-PA14	4	34	74	2048	0.0320641179953	0.233933241168	PA14_06750,PA14_06810,PA14_06830,PA14_20200
pau00860	Porphyrin metabolism - Pseudomonas aeruginosa UCBPP-PA14	5	52	74	2048	0.037216652004	0.233933241168	PA14_06660,PA14_06680,PA14_06690,PA14_06700,PA14_06710
pau00643	Styrene degradation - Pseudomonas aeruginosa UCBPP-PA14	2	11	74	2048	0.0573702022079	0.315536112143	PA14_02760,PA14_02770
pau02020	Two-component system - Pseudomonas aeruginosa UCBPP-PA14	14	265	74	2048	0.0875463423633	0.390075891159	PA14_06740,PA14_10330,PA14_10500,PA14_19130,PA14_28970,PA14_55750,PA14_55850,PA14_55860,PA14_55880,PA14_55890,PA14_55900,PA14_55920,PA14_55930,PA14_55940
pau01100	Metabolic pathways - Pseudomonas aeruginosa UCBPP-PA14	44	1053	74	2048	0.0979625870732	0.390075891159	PA14_00640,PA14_01900,PA14_01910,PA14_02760,PA14_02770,PA14_06660,PA14_06680,PA14_06690,PA14_06700,PA14_06710,PA14_06740,PA14_06750,PA14_06810,PA14_06830,PA14_09150,PA14_09400,PA14_09410,PA14_09420,PA14_09440,PA14_09450,PA14_09460,PA14_09470,PA14_09480,PA14_09490,PA14_10500,PA14_19130,PA14_20200,PA14_20940,PA14_20950,PA14_34870,PA14_35150,PA14_39880,PA14_39890,PA14_39910,PA14_39925,PA14_39945,PA14_39960,PA14_39970,PA14_40310,PA14_52990,PA14_53070,PA14_53290,PA14_58030,PA14_61040
pau02025	Biofilm formation - Pseudomonas aeruginosa - Pseudomonas aeruginosa UCBPP-PA14	7	111	74	2048	0.102041484298	0.390075891159	PA14_19100,PA14_19110,PA14_19130,PA14_31290,PA14_43070,PA14_49760,PA14_69560
pau00400	Phenylalanine, tyrosine and tryptophan biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	3	32	74	2048	0.106384333953	0.390075891159	PA14_09460,PA14_39945,PA14_52990
pau00362	Benzoate degradation - Pseudomonas aeruginosa UCBPP-PA14	3	34	74	2048	0.122056538429	0.413114437761	PA14_01900,PA14_01910,PA14_02790
