pathway_id	pathway_name	foreground_hits	pathway_genes_in_universe	foreground_genes_in_universe	universe_genes	p_value	adjusted_p_value	foreground_hit_genes
pau00405	Phenazine biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	15	24	141	2048	1.37345742531e-12	1.88163667268e-10	PA14_09400,PA14_09410,PA14_09420,PA14_09440,PA14_09450,PA14_09470,PA14_09480,PA14_09490,PA14_30630,PA14_39880,PA14_39890,PA14_39910,PA14_39925,PA14_39960,PA14_39970
pau02024	Quorum sensing - Pseudomonas aeruginosa UCBPP-PA14	29	111	141	2048	4.64186693652e-11	3.17967885152e-09	PA14_09410,PA14_09420,PA14_09440,PA14_09450,PA14_09460,PA14_09470,PA14_09480,PA14_09520,PA14_09530,PA14_16250,PA14_19100,PA14_19110,PA14_19120,PA14_19130,PA14_20610,PA14_30630,PA14_31290,PA14_39880,PA14_39890,PA14_39910,PA14_39925,PA14_39945,PA14_39960,PA14_39970,PA14_40260,PA14_40290,PA14_45940,PA14_45960,PA14_49760
pau00500	Starch and sucrose metabolism - Pseudomonas aeruginosa UCBPP-PA14	10	16	141	2048	9.84643698616e-09	4.49653955701e-07	PA14_33450,PA14_36570,PA14_36580,PA14_36590,PA14_36605,PA14_36630,PA14_36710,PA14_36730,PA14_36740,PA14_36840
pau02025	Biofilm formation - Pseudomonas aeruginosa - Pseudomonas aeruginosa UCBPP-PA14	21	111	141	2048	1.04224418256e-05	0.000356968632526	PA14_03240,PA14_19100,PA14_19110,PA14_19120,PA14_19130,PA14_20780,PA14_30630,PA14_31290,PA14_42890,PA14_42900,PA14_42920,PA14_42980,PA14_42990,PA14_43030,PA14_43040,PA14_43070,PA14_44890,PA14_45940,PA14_45960,PA14_49760,PA14_69560
pau02030	Bacterial chemotaxis - Pseudomonas aeruginosa UCBPP-PA14	9	49	141	2048	0.00514289646852	0.122261617165	PA14_02180,PA14_02190,PA14_02200,PA14_02220,PA14_02230,PA14_02250,PA14_02260,PA14_39560,PA14_48030
pau02020	Two-component system - Pseudomonas aeruginosa UCBPP-PA14	29	265	141	2048	0.00566100408036	0.122261617165	PA14_01360,PA14_02180,PA14_02200,PA14_02220,PA14_02230,PA14_02250,PA14_02260,PA14_06740,PA14_10330,PA14_10500,PA14_11120,PA14_19130,PA14_20780,PA14_39560,PA14_48030,PA14_55780,PA14_55810,PA14_55820,PA14_55850,PA14_55860,PA14_55880,PA14_55890,PA14_55900,PA14_55920,PA14_55930,PA14_55940,PA14_61500,PA14_61510,PA14_61530
pau01310	Nitrogen cycle - Pseudomonas aeruginosa UCBPP-PA14	4	12	141	2048	0.00689790786713	0.122261617165	PA14_06750,PA14_06810,PA14_06830,PA14_20200
pau01110	Biosynthesis of secondary metabolites - Pseudomonas aeruginosa UCBPP-PA14	43	444	141	2048	0.00713936450597	0.122261617165	PA14_00640,PA14_01360,PA14_09150,PA14_09400,PA14_09410,PA14_09420,PA14_09440,PA14_09450,PA14_09460,PA14_09470,PA14_09480,PA14_09490,PA14_19140,PA14_19900,PA14_19910,PA14_19920,PA14_20940,PA14_30630,PA14_33450,PA14_36310,PA14_36320,PA14_36330,PA14_36570,PA14_36580,PA14_36590,PA14_36605,PA14_36630,PA14_36710,PA14_36730,PA14_36810,PA14_36840,PA14_39880,PA14_39890,PA14_39910,PA14_39925,PA14_39945,PA14_39960,PA14_39970,PA14_40040,PA14_40310,PA14_53260,PA14_58030,PA14_61040
pau04146	Peroxisome - Pseudomonas aeruginosa UCBPP-PA14	4	14	141	2048	0.0125183924655	0.190557751975	PA14_09150,PA14_36810,PA14_58000,PA14_61040
pau00460	Cyanoamino acid metabolism - Pseudomonas aeruginosa UCBPP-PA14	3	11	141	2048	0.0350074680547	0.47960231235	PA14_36310,PA14_36320,PA14_36330
