gene	parsimony_informative_sites	total_sites	percentage
1001705at2759.faa	0	454	0.0000
1003258at2759.faa	0	441	0.0000
100698at2759.faa	0	806	0.0000
1010730at2759.faa	0	578	0.0000
1014314at2759.faa	9	357	2.5210
1018517at2759.faa	8	293	2.7304
1019762at2759.faa	0	684	0.0000
1025450at2759.faa	0	417	0.0000
1030907at2759.faa	0	362	0.0000
1032689at2759.faa	0	312	0.0000
1038775at2759.faa	0	383	0.0000
1041560at2759.faa	0	457	0.0000
1049599at2759.faa	0	506	0.0000
1051021at2759.faa	0	503	0.0000
1053181at2759.faa	0	291	0.0000
1065019at2759.faa	0	411	0.0000
1076134at2759.faa	0	270	0.0000
1079130at2759.faa	0	417	0.0000
1079827at2759.faa	0	260	0.0000
1085752at2759.faa	0	457	0.0000
1087488at2759.faa	0	428	0.0000
1090038at2759.faa	0	289	0.0000
1094121at2759.faa	0	183	0.0000
1096688at2759.faa	0	483	0.0000
1106766at2759.faa	0	609	0.0000
1107630at2759.faa	0	339	0.0000
1108845at2759.faa	0	495	0.0000
1111142at2759.faa	0	531	0.0000
1112002at2759.faa	0	864	0.0000
1128607at2759.faa	0	337	0.0000
1129824at2759.faa	0	269	0.0000
1138059at2759.faa	0	285	0.0000
1157302at2759.faa	0	246	0.0000
1161199at2759.faa	0	309	0.0000
1173229at2759.faa	12	446	2.6906
1178688at2759.faa	0	239	0.0000
1182451at2759.faa	0	329	0.0000
1193442at2759.faa	12	460	2.6087
1194691at2759.faa	0	412	0.0000
1194797at2759.faa	0	853	0.0000
1197019at2759.faa	0	203	0.0000
1200489at2759.faa	0	210	0.0000
1217666at2759.faa	0	253	0.0000
1220881at2759.faa	0	332	0.0000
1222562at2759.faa	0	315	0.0000
1223488at2759.faa	0	197	0.0000
1228942at2759.faa	0	279	0.0000
1236198at2759.faa	0	147	0.0000
1247641at2759.faa	0	269	0.0000
1248958at2759.faa	0	986	0.0000
1249159at2759.faa	5	205	2.4390
1251252at2759.faa	0	267	0.0000
1257440at2759.faa	0	185	0.0000
1258856at2759.faa	0	892	0.0000
1259741at2759.faa	0	393	0.0000
1260807at2759.faa	0	466	0.0000
1264469at2759.faa	0	290	0.0000
1266231at2759.faa	0	236	0.0000
1269244at2759.faa	0	255	0.0000
1269649at2759.faa	12	291	4.1237
1275837at2759.faa	0	365	0.0000
1284731at2759.faa	0	270	0.0000
1287094at2759.faa	0	208	0.0000
1287401at2759.faa	0	279	0.0000
1291729at2759.faa	0	220	0.0000
