marker_panel	genes_present	genes_total
innate_inflammatory	S100A8,S100A9,S100A12,IL36G,DEFB4A,PI3,OASL,STAT1,TYMP,KYNU	10
epidermal_barrier	S100A7,S100A7A,SERPINB3,SERPINB4,SPRR1B,SPRR2A,SPRR2B,LCE3A,LCE3E,GJB2,GJB6	11
combined	21	21

rank	sample	innate_inflammatory_z	epidermal_barrier_z	combined_activation_z
1	Sample_4	0.95058174	0.95108408	0.95083291
2	Sample_9	0.95414036	0.86808121	0.91111079
3	Sample_1	0.87976366	0.93147186	0.90561776
4	Sample_8	0.84703676	0.83989391	0.84346533
5	Sample_6	0.80988482	0.85901013	0.83444748
6	Sample_5	-1.02776300	-1.04526258	-1.03651279
7	Sample_7	-1.05765029	-1.08686702	-1.07225866
8	Sample_3	-1.14819695	-1.18307809	-1.16563752
9	Sample_2	-1.20779711	-1.13433349	-1.17106530

gene	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9
DEFB4A	10.152400	0.000000	0.270654	9.015695	0.339608	7.646126	0.072878	8.082997	8.755630
GJB2	12.061608	6.092498	6.273351	12.088737	6.510202	11.664388	6.485417	11.297689	12.219690
GJB6	10.155808	5.763016	5.250773	9.969669	5.381860	9.748001	5.981282	9.934535	10.102704
IL36G	9.256486	2.957711	3.323487	9.156399	4.433877	8.818837	3.557900	8.923713	8.899804
KYNU	6.980539	1.799888	1.070772	7.089650	1.601617	6.595770	2.074634	6.706905	7.453879
LCE3A	6.244618	0.079166	0.185955	5.891291	0.339608	5.764759	0.000000	6.507420	5.620132
LCE3E	7.642906	1.234980	0.755185	7.201878	1.937748	7.091543	1.381941	7.685743	6.945910
OASL	5.136217	0.358439	0.755185	5.758724	1.043801	5.353806	0.390530	5.731234	5.885803
PI3	9.983847	0.839722	1.117258	10.981351	1.937748	9.801124	2.020391	10.231312	10.498705
S100A12	5.837651	0.000000	0.095971	5.796385	0.000000	4.910059	0.142250	4.989973	5.452695
S100A7	12.387317	2.706627	2.104898	12.846624	3.834979	13.024797	3.445751	12.681095	12.866839
S100A7A	10.640886	0.293524	0.567053	11.341000	0.528426	10.904816	0.332350	9.275165	10.297099
S100A8	13.428108	2.848964	3.569005	13.564928	3.995629	13.403524	4.097079	13.379516	13.743167
S100A9	13.866007	3.058832	3.610219	13.909685	4.398003	13.778739	4.222500	13.710856	14.152676
SERPINB3	11.194121	3.995303	3.455991	11.653263	4.547398	11.546186	4.169484	10.453824	11.415533
SERPINB4	11.707093	0.358439	0.695160	11.458407	0.980523	11.881544	0.650707	10.618430	12.065703
SPRR1B	9.071739	4.709167	4.345435	9.208352	4.224519	8.207760	4.330473	8.961664	8.581726
SPRR2A	10.577324	0.225550	0.567053	10.914213	1.043801	10.147249	0.142250	10.371669	9.935823
SPRR2B	8.731208	0.154214	0.185955	9.197348	0.914343	8.921110	0.911356	8.629037	8.363579
STAT1	8.535764	6.883200	6.755278	8.998407	6.821363	8.957667	6.965638	8.911010	8.827277
TYMP	7.443947	3.049033	3.642363	7.454079	3.654172	7.628598	3.589291	7.575844	8.136053
