rank	gene	cluster_0_mean_log2_tpm	cluster_1_mean_log2_tpm	cluster_0_minus_cluster_1	standardized_effect
1	PIK3C2G	5.13734911	6.76210805	-1.62475894	32.21586489
2	LCE5A	1.39526544	5.30887070	-3.91360526	29.62977256
3	BMP3	0.05269760	1.69623966	-1.64354206	29.53258929
4	RGMB	4.96982477	7.05371202	-2.08388725	29.17902068
5	PGM2	8.02690983	6.65655872	1.37035112	28.78773418
6	SPRR2A	10.38925567	0.49466330	9.89459238	28.50758318
7	SERPINB4	11.54623538	0.67120716	10.87502822	27.89561822
8	S100A8	13.50384872	3.62766930	9.87617942	27.39982925
9	S100A9	13.88359268	3.82238854	10.06120414	25.86139245
10	BCAR3	1.92780771	4.73620115	-2.80839344	25.74177200
11	SNTB1	1.78826074	6.08718583	-4.29892509	25.23152065
12	SPRR2B	8.76845633	0.54146684	8.22698949	25.00776114
13	LCE3A	6.00564413	0.15118244	5.85446169	23.71267998
14	G10909	0.18498447	0.84615173	-0.66116726	22.56326223
15	ERBB4	0.07818815	3.19558205	-3.11739390	21.45900427
16	GSTO2	4.68693747	5.67152617	-0.98458870	21.36914247
17	CHAC1	4.91433571	0.15901806	4.75531765	21.18433088
18	MAPRE3	2.94362312	4.44022203	-1.49659890	20.68683735
19	GJB2	11.86642249	6.34036701	5.52605548	20.57493622
20	HMOX2	6.24163782	4.81689075	1.42474707	20.33390618
21	S100A7A	10.49179325	0.43033812	10.06145513	20.11145352
22	S100A7	12.76133467	3.02306386	9.73827082	19.63250642
23	CLCA2	10.31923594	8.69101263	1.62822331	19.40884268
24	CHRM4	0.05674748	2.59535002	-2.53860255	19.29842757
25	BTC	0.98969058	6.64896459	-5.65927401	19.18553513
26	S100A12	5.39735257	0.05955537	5.33779720	19.12908264
27	GJB6	9.98214364	5.59423273	4.38791090	19.08435000
28	PI3	10.29926767	1.47877974	8.82048793	18.97371197
29	GHc-857G6.7	0.26346830	1.09205473	-0.82858642	18.62158265
30	ZNF138	3.65528226	5.00242219	-1.34713993	18.39971325
31	KCNJ1	0.18386390	1.13131886	-0.94745497	18.24870924
32	NPAS1	0.71489891	2.61207412	-1.89717521	17.84725586
33	RTN4RL1	2.06348082	4.22699862	-2.16351779	17.57048411
34	SERPINB3	11.25258518	4.04204419	7.21054099	17.55893950
35	OASL	5.57315691	0.63698873	4.93616818	17.52387590
36	SNHG14	3.03764545	4.73659801	-1.69895257	17.50550444
37	MAB21L1	0.06438327	1.33523543	-1.27085216	17.32266134
38	ADAMTS9-AS2	0.47903841	1.77484516	-1.29580675	17.10778605
39	GLRX3	6.93309974	5.84759101	1.08550873	16.94696531
40	PDZK1IP1	7.42908795	5.21740985	2.21167810	16.47180129
41	TYMP	7.64770423	3.48371490	4.16398933	16.44778782
42	HUNK	2.04345051	4.11388819	-2.07043768	16.40014171
43	LCE3E	7.31359605	1.32746354	5.98613251	16.39415476
44	G25746	0.58079786	6.58362319	-6.00282532	16.34430060
45	TTC21B	3.78106259	5.28451686	-1.50345427	16.13650339
46	SLC45A4	2.77750842	4.90813925	-2.13063083	16.04628566
47	PYGL	7.42851112	5.45450247	1.97400866	15.87384486
48	NFIX	5.82658105	7.70241993	-1.87583888	15.84164125
49	KYNU	6.96534865	1.63672770	5.32862095	15.83329640
50	LINC01091	0.69238862	3.14527767	-2.45288905	15.76029847
51	SFTPC	0.14312618	0.86231216	-0.71918598	15.63572291
52	CCDC109B	5.62520634	4.30009888	1.32510746	15.61588398
53	C5orf49	0.11929933	1.30218038	-1.18288105	15.49955865
54	WNK2	0.97987517	5.12862965	-4.14875448	15.47349789
55	STAT1	8.84602506	6.85636968	1.98965538	15.41252495
56	LEPR	3.03895839	5.58035880	-2.54140041	15.40486689
57	CADM3	0.58855487	3.19172562	-2.60317075	15.39999031
58	SPRR1B	8.80624836	4.40239838	4.40384999	15.26179591
59	RHCG	8.49421286	0.94720841	7.54700445	15.22815769
60	ADSSL1	1.36394030	2.90480262	-1.54086232	15.04201651
61	BOC	4.61722994	6.64701007	-2.02978013	15.03133615
62	CNTN4	0.30780171	2.07046430	-1.76266259	14.92207454
63	SMAD4	5.94095362	7.00538237	-1.06442875	14.90246991
64	SERINC3	7.72244637	8.32749801	-0.60505165	14.78678554
65	BGN	2.68532285	5.26058643	-2.57526358	14.73366463
