3533	Homo sapiens (taxid 9606)
1460	unclassified (taxid 0)
573	Human gammaherpesvirus 4 (taxid 10376)
116	other sequences (taxid 28384)
69	cellular organisms (taxid 131567)
48	Staphylococcus (taxid 1279)
34	root (taxid 1)
28	Ralstonia solanacearum (taxid 305)
26	Staphylococcus cohnii (taxid 29382)
20	Bacteria (taxid 2)
18	Proteus phage VB_PmiS-Isfahan (taxid 1969841)
15	Staphylococcus haemolyticus (taxid 1283)
4	Papiine gammaherpesvirus 1 (taxid 106332)
3	Lymphocryptovirus (taxid 10375)
1	Stenotrophomonas (taxid 40323)
1	Ralstonia solanacearum Rs-10-244 (taxid 1457195)
1	Ralstonia pickettii (taxid 329)
1	Pseudomonas (taxid 286)
1	Pseudolysobacter antarcticus (taxid 2511995)
1	Priestia megaterium (taxid 1404)
1	Pepper chlorotic spot virus (taxid 1414655)
1	Human herpesvirus 4 type 2 (taxid 12509)
1	Gordonia polyisoprenivorans VH2 (taxid 1112204)
1	Enterobacteriaceae (taxid 543)
1	Clostridium intestinale (taxid 36845)
1	Bradyrhizobium genosp. L (taxid 83637)
