	score_endoderm	score_endostyle_csg	score_muscular_somites	score_mesodermal_notochord	score_somite	score_tailbud	score_neural	score_tailbud_neural	score_epidermis	score_HyTh
endoderm	1.156528845449333	0.20188994407653815	-0.01811006863911946	0.1375647432837273	0.148826663535938	-0.12610504829007427	0.007510107499480556	0.12366122998689355	-0.2971451005840063	0.036391859858581344
endostyle_csg	1.134255914327031	0.8124678929646811	-0.007618751525878875	0.020415114103550125	0.04635313650719197	-0.13086998614011733	0.016151063558365264	0.09674189316598991	-0.29003672671497316	0.09152459759943077
epidermal_neural	-0.37124569102756694	-0.3382728370030721	-0.04272339344024656	0.055986562947033025	0.07457436105063686	0.22171496505992178	0.8740481387578314	0.6938759010716488	-0.2978092209737104	0.1701529365151076
epidermis	-0.38139672470517566	-0.2836818679173787	-0.20027851502100624	-0.16920236841051434	-0.37341441731703906	-0.19405821787487956	-0.06375540484671616	0.08303781609786187	1.2731698244137872	0.052265228572393296
mesodermal_notochord	-0.0869642165296593	-0.15013482888539637	0.09466198285420735	1.2506414519579738	0.1004545160403526	-0.07989198742040282	0.11335465354700824	0.18560699262117086	-0.3143205466425807	0.028539384147758695
muscular_somites	-0.3293136087717086	-0.17871022065480552	1.230858694712321	0.18901693367700123	1.0703215458040547	-0.13629147714389725	0.10110089621776164	0.06005596963982829	-0.3245276127841538	0.11469190275927815
neural	-0.3172375208550944	-0.2708200446764628	0.014211476643880228	0.02923429119163168	-0.010319961820330015	-0.10145674622669515	1.1783753375952428	0.3645308604993319	-0.23819910410352818	0.263211850212492
neural_like	-0.3247578989423994	-0.24018134832382204	-0.15080151081085202	-0.15662510940427943	-0.3497754959235514	-0.1659174282460542	0.37689065796597976	0.12020352614553353	0.638026922029959	0.3268208586512902
putative_neuro_endo	0.008774868257858226	-0.15904948393503826	-0.024233509699503553	0.15086781753823053	0.051031840355474034	0.01392763112329426	0.41891261759323517	0.08530831387168492	0.20968591981663143	0.14570988390799955
somite	-0.15841541677912518	-0.21217741648356117	0.20883147239685057	0.18903025003636637	1.0946261489600464	0.09460127497037962	0.08827129530701738	0.19720190951698702	-0.3928315037772769	0.03906272962216745
tailbud	-0.21889774273657858	-0.24800325870513915	-0.02397213617960614	0.1792498178791594	0.12019619188810649	0.7828393434894111	0.3965613370638522	0.354457315143786	-0.22901019858835936	0.054833504751648054
tailbud_neural	-0.0023327883739513444	-0.19430482546488448	-0.022585369745890316	0.013887610059617306	0.08308172417165038	-0.10622241327120097	0.2804387997078007	0.17113902844880757	0.6609438164789874	0.16255154315139692
