gene	log2_fold_change	p_value	fdr
MTATP6P1	1.62547950476967	3.74177988235406e-13	5.3470034518839515e-10
MTND1P23	-2.94972363375022	1.02023006913423e-08	7.2895438439640736e-06
CLTA	-0.622523425792931	1.79516277150342e-07	8.5509586682612902e-05
MS4A4E	0.843861111062675	4.49482772571539e-07	0.00016057772050118231
UFD1	-0.772316908395892	6.50149877780027e-07	0.00018581283506953174
CDKL5	0.878888894083894	8.66205529513358e-07	0.00020630128361243141
BLOC1S1	-0.647507397718708	1.67263234720646e-06	0.00029374972423130161
CBX3	-0.424869854303131	1.90825060635189e-06	0.00029374972423130161
DNAJC21	-0.628364456790748	2.05563138020505e-06	0.00029374972423130161
FOSB	1.1249329917925	1.75510914926339e-06	0.00029374972423130161
CFL1	-0.39092217566836	2.50315778418682e-06	0.00032518295214572417
SIRT2	0.553166091363944	3.10071875710325e-06	0.00036924392532504532
COX6A1	-0.473354874326222	6.68837333926861e-06	0.00073520657706268038
PFN1	-0.470958830324169	1.19605506010629e-05	0.001220830486351349
H1-2	-1.50534129791911	1.45176551068007e-05	0.0013079852986682822
TAF2	0.523301932753699	1.4645041832535e-05	0.0013079852986682822
TMEM212	0.554235391242503	3.38655889834551e-05	0.0028467015680798437
ACTG1	-0.606872130897018	3.72805302067443e-05	0.002959659870302089
MT-ND4L	0.839688507048293	4.38301028575646e-05	0.0031902991590295471
POMP	-0.557443527498607	4.46507929885171e-05	0.0031902991590295471
TRA2A	0.459449358908618	4.75947165449908e-05	0.0032387071401329456
TSGA10	0.602084887727512	5.75101669482317e-05	0.0037355467531374133
OPHN1	0.584260456847946	9.12485027169657e-05	0.0055731201353510377
TXNL1	-0.528208568626636	9.36003381724457e-05	0.0055731201353510377
MT-ND2	0.718157913664118	0.000115367667637171	0.0064444865372072025
PSMD13	-0.448252804962918	0.000117254478633581	0.0064444865372072025
MED12	0.475633900794503	0.000142780379075186	0.0067987309818513097
MT-ND3	0.812661963255103	0.000143414559606083	0.0067987309818513097
NDUFA13	-0.635851909942503	0.000147488215841421	0.0067987309818513097
SNX6	-0.424224762579318	0.000130373066520986	0.0067987309818513097
TNFAIP3	1.00861589493036	0.000134201128257007	0.0067987309818513097
GAPDH	-0.468065836379478	0.000177804688268756	0.0078519746304888324
ORC4	0.526365349691569	0.000186820949920658	0.0078519746304888324
PRELID1	-0.542152796931834	0.000182650654328835	0.0078519746304888324
ARIH1	0.50739857866454	0.000213412626504483	0.0080448672376354606
ARMC10-1	0.549386228373112	0.000204446482727882	0.0080448672376354606
KDM6B	0.824081366672409	0.000213929289734183	0.0080448672376354606
ZNHIT1	-0.652432842956894	0.00020352358122581	0.0080448672376354606
PRR11	0.545266490320028	0.000220597554653553	0.0080829206564083898
TSPYL1	0.469288953593758	0.000231344778518066	0.0082647922125579087
COX8A	-0.441207478629239	0.000238310928378105	0.008306007723227123
ATP5MF	-0.481103562410417	0.000262976318817157	0.0087393758044120324
NR4A2	1.01285296223777	0.000262539596692961	0.0087393758044120324
UBE2D2	-0.334185952261537	0.000307632225419406	0.0099910556846438906
P2RX7	0.655756947099393	0.000318327296694295	0.0101086601550255
JUNB	0.485409170213263	0.000361370717560789	0.011226059899877554
MAP3K11	0.528378005666339	0.000373036368848675	0.011341893001803332
HBA1	-1.71507328159249	0.000392492628787062	0.01168483263618149
CERCAM	0.619915173618137	0.000473874616781802	0.01275430862185987
FGFR1OP2	-0.502677587249048	0.000479795431769221	0.01275430862185987
MLH1	0.373974511099653	0.000476538716935174	0.01275430862185987
PSMB1	-0.365436046589024	0.000481968275423676	0.01275430862185987
