sample	n_cells	mean_umi	mean_genes	immune_mean_cpm	immune_positive_fraction	immune_two_marker_fraction	dc_core_mean_cpm	dc_core_positive_fraction	dc_core_two_marker_fraction	dc_apc_mean_cpm	dc_apc_positive_fraction	dc_apc_two_marker_fraction	myeloid_mean_cpm	myeloid_positive_fraction	myeloid_two_marker_fraction	lymphoid_mean_cpm	lymphoid_positive_fraction	lymphoid_two_marker_fraction	epithelial_mean_cpm	epithelial_positive_fraction	epithelial_two_marker_fraction	basal_core_mean_cpm	basal_core_positive_fraction	basal_core_two_marker_fraction	glandular_at2_mean_cpm	glandular_at2_positive_fraction	glandular_at2_two_marker_fraction	endothelial_mean_cpm	endothelial_positive_fraction	endothelial_two_marker_fraction	fibroblast_mean_cpm	fibroblast_positive_fraction	fibroblast_two_marker_fraction
Patient_001	1076	8336.860594795538	2055.710966542751	344.5136945370387	0.9972118959107806	0.9907063197026023	3.6251135086385102	0.5780669144981413	0.18401486988847585	221.10389079608518	0.9860594795539034	0.9479553903345725	132.19631164587042	0.9702602230483272	0.9061338289962825	627.2347289795546	1.0	0.9879182156133829	5.347638113297173	0.2295539033457249	0.07713754646840149	4.124590535736645	0.6496282527881041	0.05947955390334572	19.42031859567109	0.30111524163568776	0.10594795539033457	1.6567679495196848	0.5362453531598513	0.20446096654275092	11.363557404512786	0.4656133828996282	0.1421933085501859
Patient_002	3838	4508.511724856696	1354.3655549765504	206.599430819722	0.9997394476289734	0.9947889525794684	5.302252411203062	0.5161542470036478	0.12376237623762376	111.81408586249482	0.9786347055758208	0.885617509119333	47.93858786860481	0.8538301198540906	0.6005732152162585	879.0587103161595	1.0	0.9953100573215217	4.511889312136947	0.1662324127149557	0.06591974986972382	3.9481225412417116	0.40568004168837934	0.04559666492965086	30.862239071098834	0.5739968733715477	0.21521625846795206	0.618852114180602	0.18707660239708182	0.04768108389786347	2.6247214109957246	0.2691505992704534	0.034653465346534656
Patient_003	4672	4625.976455479452	1467.5164811643835	264.97276511504987	1.0	1.0	12.002095123399492	0.7358732876712328	0.18257705479452055	109.80034312663166	0.9933647260273972	0.9522688356164384	48.309206105763984	0.9375	0.7613441780821918	915.3638817994299	1.0	0.9991438356164384	2.8128134787373513	0.1742294520547945	0.045590753424657536	3.6999870236321355	0.397902397260274	0.056934931506849314	19.01197707047409	0.4788099315068493	0.1305650684931507	0.6577993598537786	0.20248287671232876	0.047303082191780824	0.8542691197257679	0.2016267123287671	0.02204623287671233
Patient_004	4060	3834.8014778325123	1138.443842364532	291.02660706524483	1.0	1.0	6.941617947909138	0.5140394088669951	0.11059113300492611	102.54465209087866	0.9802955665024631	0.9007389162561577	31.053548855948463	0.7899014778325123	0.4935960591133005	1155.9278804349244	1.0	0.9990147783251232	0.40197532878035946	0.040886699507389164	0.005665024630541872	1.5291791317274375	0.26108374384236455	0.009113300492610837	3.114988914672145	0.04901477832512315	0.006896551724137931	0.3857287691657984	0.12216748768472907	0.020689655172413793	0.41415029724258484	0.10541871921182266	0.005911330049261084
Patient_005	1454	10229.563273727648	2299.432599724897	559.1718457940552	1.0	1.0	7.041711658555685	0.7682255845942229	0.48762035763411277	456.60975924356364	0.9958734525447043	0.9773039889958735	144.03075028125483	0.982806052269601	0.9442916093535075	773.2739794196196	1.0	0.9993122420907841	0.48344562083849646	0.05845942228335626	0.015130674002751032	6.415155876632063	0.7723521320495186	0.012379642365887207	11.712907907172548	0.19669876203576342	0.03645116918844567	1.2090211935097213	0.5729023383768913	0.22145804676753783	1.854276205203062	0.48693259972489683	0.06946354883081156
Patient_006	3055	2692.2834697217677	995.6900163666121	195.59012363182876	1.0	0.9990180032733225	13.075836027597	0.648772504091653	0.08968903436988543	39.97905860480925	0.9132569558101473	0.6926350245499182	25.917614082461874	0.769885433715221	0.4981996726677578	1134.201847964652	0.9996726677577742	0.9993453355155483	0.20037514687855698	0.010147299509001636	0.003927986906710311	0.7792229442324046	0.13518821603927986	0.001309328968903437	4.242662287101648	0.04451718494271686	0.006546644844517185	0.25631821397185134	0.06546644844517185	0.0029459901800327334	0.6749851306812895	0.11980360065466449	0.003927986906710311
Patient_007	529	8316.198487712665	2004.0056710775048	282.0117226119748	1.0	0.998109640831758	10.61210937098901	0.722117202268431	0.34593572778827975	166.2689605710293	0.9924385633270322	0.9395085066162571	108.47493075694612	0.9603024574669187	0.8638941398865785	756.4817448249481	1.0	0.998109640831758	0.6546367153244288	0.05860113421550094	0.017013232514177693	6.964162863312067	0.5879017013232514	0.011342155009451797	16.060660059497664	0.0831758034026465	0.015122873345935728	0.907498726787306	0.4007561436672968	0.1285444234404537	1.3675662884581854	0.3818525519848771	0.022684310018903593
Patient_008	3995	4536.1386733416775	1366.1652065081353	261.17168228204105	1.0	0.9992490613266584	5.58554195680766	0.5289111389236546	0.1276595744680851	116.45041246194253	0.9799749687108886	0.8878598247809762	25.5047011742268	0.8190237797246558	0.5051314142678348	1079.3671296958514	1.0	0.9992490613266584	0.7807479543579824	0.057571964956195244	0.016770963704630788	1.4100424831859053	0.24080100125156445	0.0050062578222778474	3.3051008392431225	0.10012515644555695	0.02327909887359199	0.35920028908480717	0.11839799749687109	0.01877346683354193	0.7917999717727808	0.16245306633291615	0.016770963704630788
Patient_009	277	4722.830324909747	1385.057761732852	318.2475631103863	1.0	0.9927797833935018	6.141171360798034	0.49458483754512633	0.23465703971119134	232.6602170982998	0.9927797833935018	0.9675090252707581	234.64189684411826	0.9855595667870036	0.9566787003610109	685.8042803930987	1.0	0.9963898916967509	5.091118445441532	0.148014440433213	0.10469314079422383	3.2001602283317188	0.5740072202166066	0.039711191335740074	157.70062649940812	0.9783393501805054	0.6064981949458483	1.1652484262472207	0.33574007220216606	0.061371841155234655	5.165484058375986	0.6425992779783394	0.04693140794223827
Patient_010	1653	4516.274047186933	1373.5438596491229	220.84949260668918	1.0	1.0	11.440823762680797	0.6848154869933454	0.16636418632788869	87.29266572303854	0.9600725952813067	0.8160919540229885	31.71760364396583	0.8203266787658802	0.5317604355716878	991.5896987780598	1.0	0.9987900786448881	3.7492910422519823	0.2637628554143981	0.09376890502117362	3.8644092736701348	0.4240774349667272	0.10465819721718088	8.76274458408937	0.1705989110707804	0.04234724742891712	0.2689841480394301	0.10586811857229281	0.02117362371445856	0.5149054800109705	0.13006654567453116	0.007864488808227465
