group	file_id	file_name	metric	value	status
fungi	1108845at2759	1108845at2759.faa.mafft.clipkit.treefile	evolutionary_rate	0.5802	ok
fungi	160593at2759	160593at2759.faa.mafft.clipkit.treefile	evolutionary_rate	1.0213	ok
fungi	751335at2759	751335at2759.faa.mafft.clipkit.treefile	evolutionary_rate	1.2077	ok
fungi	1428854at2759	1428854at2759.faa.mafft.clipkit.treefile	evolutionary_rate	0.8842	ok
fungi	345441at2759	345441at2759.faa.mafft.clipkit.treefile	evolutionary_rate	0.5258	ok
fungi	1128607at2759	1128607at2759.faa.mafft.clipkit.treefile	evolutionary_rate	0.4438	ok
fungi	956854at2759	956854at2759.faa.mafft.clipkit.treefile	evolutionary_rate	0.7964	ok
fungi	543764at2759	543764at2759.faa.mafft.clipkit.treefile	evolutionary_rate	0.9385	ok
fungi	911863at2759	911863at2759.faa.mafft.clipkit.treefile	evolutionary_rate	0.9981	ok
fungi	777920at2759	777920at2759.faa.mafft.clipkit.treefile	evolutionary_rate	0.6123	ok
fungi	261328at2759	261328at2759.faa.mafft.clipkit.treefile	evolutionary_rate	0.8828	ok
fungi	1038775at2759	1038775at2759.faa.mafft.clipkit.treefile	evolutionary_rate	0.5568	ok
fungi	1233814at2759	1233814at2759.faa.mafft.clipkit.treefile	evolutionary_rate	0.6143	ok
fungi	1454155at2759	1454155at2759.faa.mafft.clipkit.treefile	evolutionary_rate	1.0404	ok
fungi	1459797at2759	1459797at2759.faa.mafft.clipkit.treefile	evolutionary_rate	0.8682	ok
fungi	1079130at2759	1079130at2759.faa.mafft.clipkit.treefile	evolutionary_rate	0.4901	ok
fungi	858842at2759	858842at2759.faa.mafft.clipkit.treefile	evolutionary_rate	0.928	ok
fungi	1322642at2759	1322642at2759.faa.mafft.clipkit.treefile	evolutionary_rate	0.5766	ok
fungi	761109at2759	761109at2759.faa.mafft.clipkit.treefile	evolutionary_rate	0.8488	ok
fungi	1076134at2759	1076134at2759.faa.mafft.clipkit.treefile	evolutionary_rate	0.517	ok
fungi	1407446at2759	1407446at2759.faa.mafft.clipkit.treefile	evolutionary_rate	1.275	ok
fungi	39650at2759	39650at2759.faa.mafft.clipkit.treefile	evolutionary_rate	0.7272	ok
fungi	1096688at2759	1096688at2759.faa.mafft.clipkit.treefile	evolutionary_rate	0.4772	ok
fungi	996662at2759	996662at2759.faa.mafft.clipkit.treefile	evolutionary_rate	0.6439	ok
fungi	1379600at2759	1379600at2759.faa.mafft.clipkit.treefile	evolutionary_rate	1.2473	ok
fungi	1364586at2759	1364586at2759.faa.mafft.clipkit.treefile	evolutionary_rate	0.8411	ok
fungi	1257440at2759	1257440at2759.faa.mafft.clipkit.treefile	evolutionary_rate	0.6019	ok
fungi	817008at2759	817008at2759.faa.mafft.clipkit.treefile	evolutionary_rate	0.3596	ok
fungi	674160at2759	674160at2759.faa.mafft.clipkit.treefile	evolutionary_rate	1.1287	ok
fungi	1442062at2759	1442062at2759.faa.mafft.clipkit.treefile	evolutionary_rate	0.9351	ok
fungi	1112002at2759	1112002at2759.faa.mafft.clipkit.treefile	evolutionary_rate	0.6757	ok
fungi	450058at2759	450058at2759.faa.mafft.clipkit.treefile	evolutionary_rate	1.5224	ok
fungi	1358374at2759	1358374at2759.faa.mafft.clipkit.treefile	evolutionary_rate	0.5104	ok
fungi	774318at2759	774318at2759.faa.mafft.clipkit.treefile	evolutionary_rate	1.1029	ok
fungi	1488436at2759	1488436at2759.faa.mafft.clipkit.treefile	evolutionary_rate	0.9311	ok
