index	filename	rows	dedup_rows	blacklist_excluded	kept_plus_fraction	forward_pairs	reverse_pairs	forward_reverse_total_ratio	best_shift_40_400	best_smoothed_ratio	best_delta_shift	best_smoothed_delta	top_shifts	ratio_50	ratio_75	ratio_100	ratio_125	ratio_150	ratio_175	ratio_200	ratio_225	ratio_250	ratio_300	ratio_350	ratio_400
1	1.tagAlign.gz	10000000	8989423	48546	0.49962235	42766639	25378933	1.685124	145	2.324837	66	82652.364	145:2.32484,144:2.32448,143:2.32425,146:2.32393,142:2.32360,141:2.32358,148:2.32255,149:2.32211,147:2.32119,140:2.32091	1.780739	1.987122	2.159517	2.291707	2.319843	2.241168	2.103730	1.954589	1.806644	1.597665	1.467079	1.363535
2	2.tagAlign.gz	10000000	8800460	64497	0.49976505	65791203	47006901	1.399607	116	1.788145	55	111459.273	116:1.78815,117:1.78806,118:1.78759,115:1.78677,119:1.78656,121:1.78655,120:1.78601,122:1.78503,114:1.78392,67:1.78298	1.727730	1.764974	1.760681	1.780386	1.705652	1.584168	1.463474	1.368978	1.310117	1.273023	1.240810	1.191709
3	3.tagAlign.gz	10000000	9161584	59468	0.49996737	51428535	35554570	1.446468	65	2.206575	64	111352.091	65:2.20657,68:2.20627,66:2.20611,67:2.20591,69:2.20438,70:2.20164,64:2.20087,71:2.20047,72:2.19704,73:2.19478	1.933419	2.185940	1.919407	1.782385	1.715245	1.593843	1.474264	1.385255	1.322241	1.279972	1.273046	1.235990
4	4.tagAlign.gz	10000000	9471550	109103	0.49991033	44030770	32118736	1.370875	400	1.457368	264	22198.545	400:1.45737,399:1.45605,397:1.45529,395:1.45521,398:1.45485,394:1.45413,393:1.45387,396:1.45382,392:1.45295,390:1.45202	1.231234	1.290641	1.310413	1.321064	1.306640	1.319809	1.364735	1.397642	1.426852	1.439842	1.433146	1.457368
5	5.tagAlign.gz	10000000	9189085	54411	0.50012491	47566735	31795052	1.496042	116	2.032107	68	84956.364	116:2.03211,113:2.03115,114:2.03092,118:2.03063,119:2.03057,115:2.03054,121:2.03046,120:2.03022,117:2.02993,122:2.02993	1.724569	1.953982	2.015157	2.023368	1.949387	1.795301	1.629055	1.505539	1.422778	1.343622	1.282947	1.234679
6	6.tagAlign.gz	10000000	8501396	66133	0.50015560	100565749	68784152	1.462048	146	1.668619	77	109834.545	146:1.66862,147:1.66781,158:1.66769,156:1.66722,145:1.66703,157:1.66701,149:1.66697,159:1.66691,150:1.66682,155:1.66663	1.409226	1.607510	1.626875	1.647788	1.666815	1.641623	1.570752	1.540747	1.540827	1.541720	1.497345	1.449685
7	7.tagAlign.gz	10000000	8420060	57416	0.50005178	78595963	53986874	1.455835	60	2.006049	57	162960.182	60:2.00605,59:2.00522,61:2.00517,58:2.00261,62:2.00232,57:1.99957,63:1.99882,64:1.99445,56:1.99392,65:1.98939	1.916270	1.905548	1.769807	1.783447	1.719392	1.613140	1.506037	1.436127	1.375987	1.340507	1.305043	1.260508
8	8.tagAlign.gz	10000000	9710429	35745	0.49988320	15143204	19885239	0.761530	46	0.845287	399	-6463.091	46:0.84529,47:0.84419,40:0.84318,48:0.84199,45:0.84192,41:0.83964,49:0.83958,50:0.83810,42:0.83669,44:0.83508	0.838098	0.782725	0.729074	0.706213	0.712485	0.725877	0.737982	0.739930	0.736948	0.725510	0.727175	0.738717
9	9.tagAlign.gz	10000000	7536804	25161	0.50019310	15111279	16655009	0.907311	58	1.178377	58	7252.273	58:1.17838,59:1.17812,57:1.17470,60:1.17399,61:1.16794,56:1.16594,62:1.15742,55:1.15430,63:1.14627,54:1.13755	1.041567	0.914873	0.837440	0.820084	0.819134	0.833931	0.849518	0.868906	0.884211	0.903037	0.922990	0.929781
10	10.tagAlign.gz	10000000	9112384	34742	0.49967866	45310395	59830223	0.757316	40	0.847864	398	-21326.818	40:0.84786,41:0.84288,42:0.83966,45:0.83799,43:0.83749,46:0.83687,44:0.83679,47:0.83418,48:0.83277,49:0.83090	0.829599	0.787934	0.747569	0.726426	0.725595	0.729972	0.735575	0.739515	0.738089	0.728701	0.722738	0.716959
