SECTION	SUMMARY
index	filename	kept_dedup_nonblacklist	median_log_correlation	median_top20k_jaccard	median_top50k_jaccard
1	1.tagAlign.gz	8940877	0.57220338	0.20882442	0.22476974
2	2.tagAlign.gz	8735963	0.68725492	0.36672703	0.34470054
3	3.tagAlign.gz	9102116	0.73809625	0.39547865	0.44458569
4	4.tagAlign.gz	9344338	0.67462825	0.36514112	0.32552159
5	5.tagAlign.gz	9134674	0.63969769	0.34498991	0.30778788
6	6.tagAlign.gz	8435263	0.72292579	0.42075726	0.41129317
7	7.tagAlign.gz	8362644	0.71906690	0.42500891	0.37170448
8	8.tagAlign.gz	9674684	0.71906690	0.42121158	0.40270160
9	9.tagAlign.gz	7511643	0.70776240	0.33761370	0.36817622
10	10.tagAlign.gz	9077642	0.78813950	0.41208035	0.44818398
SECTION	LOGCPM_CORRELATION_5KB
index	1	2	3	4	5	6	7	8	9	10	median_to_others
1	1.00000000	0.56725065	0.55004454	0.56441213	0.69760595	0.56499279	0.58437002	0.66693380	0.57266119	0.57220338	0.57220338
2	0.56725065	1.00000000	0.71555469	0.67462825	0.63969769	0.70912467	0.71820663	0.68725492	0.66202901	0.70831067	0.68725492
3	0.55004454	0.71555469	1.00000000	0.71459931	0.61126375	0.84775713	0.84900696	0.73809625	0.75526560	0.83642624	0.73809625
4	0.56441213	0.67462825	0.71459931	1.00000000	0.61073340	0.72292579	0.72101804	0.65767995	0.64146880	0.69747463	0.67462825
5	0.69760595	0.63969769	0.61126375	0.61073340	1.00000000	0.64673725	0.64086435	0.71837925	0.60918953	0.62699956	0.63969769
6	0.56499279	0.70912467	0.84775713	0.72292579	0.64673725	1.00000000	0.81793135	0.72098288	0.72590951	0.78813950	0.72292579
7	0.58437002	0.71820663	0.84900696	0.72101804	0.64086435	0.81793135	1.00000000	0.71906690	0.70776240	0.79325189	0.71906690
8	0.66693380	0.68725492	0.73809625	0.65767995	0.71837925	0.72098288	0.71906690	1.00000000	0.80703652	0.79443244	0.71906690
9	0.57266119	0.66202901	0.75526560	0.64146880	0.60918953	0.72590951	0.70776240	0.80703652	1.00000000	0.79604464	0.70776240
10	0.57220338	0.70831067	0.83642624	0.69747463	0.62699956	0.78813950	0.79325189	0.79443244	0.79604464	1.00000000	0.78813950
SECTION	TOP20K_JACCARD
index	1	2	3	4	5	6	7	8	9	10	median_to_others
1	1.00000000	0.20882442	0.20289899	0.20878789	0.34498991	0.22212038	0.21739660	0.23961820	0.16225012	0.19595766	0.20882442
2	0.20882442	1.00000000	0.38903358	0.36514112	0.33680904	0.40850030	0.41377726	0.36672703	0.27869062	0.36770840	0.36672703
3	0.20289899	0.38903358	1.00000000	0.39547865	0.35460056	0.54852696	0.58265411	0.51274488	0.38427464	0.57133878	0.39547865
4	0.20878789	0.36514112	0.39547865	1.00000000	0.33138064	0.42075726	0.42500891	0.36035913	0.27044624	0.37052011	0.36514112
5	0.34498991	0.33680904	0.35460056	0.33138064	1.00000000	0.39562472	0.38002415	0.39212752	0.25423304	0.32956623	0.34498991
6	0.22212038	0.40850030	0.54852696	0.42075726	0.39562472	1.00000000	0.55249369	0.50875075	0.36878486	0.48964695	0.42075726
7	0.21739660	0.41377726	0.58265411	0.42500891	0.38002415	0.55249369	1.00000000	0.48252474	0.33761370	0.49891329	0.42500891
8	0.23961820	0.36672703	0.51274488	0.36035913	0.39212752	0.50875075	0.48252474	1.00000000	0.42121158	0.52665929	0.42121158
9	0.16225012	0.27869062	0.38427464	0.27044624	0.25423304	0.36878486	0.33761370	0.42121158	1.00000000	0.41208035	0.33761370
10	0.19595766	0.36770840	0.57133878	0.37052011	0.32956623	0.48964695	0.49891329	0.52665929	0.41208035	1.00000000	0.41208035
SECTION	TOP50K_JACCARD
index	1	2	3	4	5	6	7	8	9	10	median_to_others
1	1.00000000	0.21949732	0.20945309	0.22476974	0.35508700	0.23292400	0.22693365	0.26518219	0.20496445	0.21306225	0.22476974
2	0.21949732	1.00000000	0.38634725	0.32552159	0.30778788	0.36632554	0.37170448	0.34470054	0.32984029	0.36598959	0.34470054
3	0.20945309	0.38634725	1.00000000	0.34752729	0.30777077	0.50312650	0.52040382	0.45623999	0.44458569	0.56976014	0.44458569
4	0.22476974	0.32552159	0.34752729	1.00000000	0.29107224	0.35514209	0.34827219	0.30606274	0.28869301	0.32844466	0.32552159
5	0.35508700	0.30778788	0.30777077	0.29107224	1.00000000	0.33420501	0.32798598	0.35698099	0.27578684	0.29120560	0.30778788
6	0.23292400	0.36632554	0.50312650	0.35514209	0.33420501	1.00000000	0.45429161	0.43264423	0.41129317	0.45059982	0.41129317
7	0.22693365	0.37170448	0.52040382	0.34827219	0.32798598	0.45429161	1.00000000	0.40270160	0.36817622	0.44818398	0.37170448
8	0.26518219	0.34470054	0.45623999	0.30606274	0.35698099	0.43264423	0.40270160	1.00000000	0.46077099	0.48550886	0.40270160
9	0.20496445	0.32984029	0.44458569	0.28869301	0.27578684	0.41129317	0.36817622	0.46077099	1.00000000	0.48398777	0.36817622
10	0.21306225	0.36598959	0.56976014	0.32844466	0.29120560	0.45059982	0.44818398	0.48550886	0.48398777	1.00000000	0.44818398
