index	filename	usable_chr22	DNase_local_IC_-4_4	Tn5_window_IC_-6_16	Tn5_distal_IC	Tn5_distal_over_DNase_local	palindrome_error_center_plus5	palindrome_error_center0	Tn5_score_distal_over_palerror	per_position_KL_-20_to_20
1	1.tagAlign.gz	134277	0.16666428	0.28016191	0.11349763	0.68099556	0.02831574	0.02979404	4.00828805	0.00575746,0.00528398,0.00405054,0.00417776,0.00468574,0.00401635,0.00526203,0.00514241,0.00441784,0.00583839,0.00539194,0.00496014,0.00431517,0.00347058,0.00248215,0.01225914,0.02037033,0.00094363,0.02392017,0.03669352,0.02310930,0.02334925,0.02804305,0.00243399,0.00780105,0.00577076,0.00562865,0.00606208,0.00955385,0.01103328,0.00990438,0.00967517,0.00864889,0.00784818,0.00806137,0.00802068,0.00854904,0.00896501,0.00931933,0.01019627,0.00974040
2	2.tagAlign.gz	171533	0.30869943	0.80194568	0.49324624	1.59782037	0.02723814	0.03280306	18.10866316	0.02415784,0.02457691,0.02348491,0.02389443,0.02484271,0.02438340,0.02641129,0.02583114,0.02494196,0.02633581,0.02528265,0.02201749,0.02318395,0.02046830,0.02161913,0.03845932,0.03676422,0.00623687,0.03540188,0.06590125,0.02062964,0.05844731,0.05209612,0.01691146,0.01631068,0.02302522,0.02531704,0.02802152,0.03412746,0.03717406,0.03861569,0.04053090,0.04250704,0.04147917,0.04034064,0.03969082,0.04233824,0.04228339,0.04297968,0.04319548,0.04345245
3	3.tagAlign.gz	233796	0.39983649	1.08273145	0.68289496	1.70793554	0.02479605	0.02703442	27.54047201	0.03335336,0.03207802,0.02964133,0.02999025,0.03237270,0.03315994,0.03414216,0.03395020,0.03529676,0.03750317,0.03484914,0.03321550,0.03140371,0.02956666,0.02636911,0.04691350,0.06137193,0.00992017,0.02405804,0.04429576,0.04393042,0.10844631,0.06373560,0.02646546,0.01761282,0.02617715,0.03611097,0.04278635,0.05096375,0.04974058,0.04991831,0.05671912,0.05736358,0.05884895,0.05917453,0.05920306,0.06260599,0.06479166,0.06620179,0.07177484,0.07120697
4	4.tagAlign.gz	207015	0.56768277	1.28353643	0.71585367	1.26101004	0.03276711	0.06599726	21.84671504	0.01817591,0.01987202,0.01836526,0.02085151,0.02135481,0.02126272,0.02242691,0.02125195,0.02204123,0.02303717,0.01983425,0.01958548,0.01825033,0.02327469,0.03105552,0.04499983,0.07576393,0.04311548,0.06099739,0.02179478,0.06905220,0.11340142,0.05484233,0.09907772,0.02963752,0.02880269,0.10277263,0.05906162,0.08766521,0.06143734,0.02583170,0.05053170,0.04459199,0.07485413,0.04970683,0.03103126,0.02351122,0.01929619,0.02064015,0.02017839,0.02160596
5	5.tagAlign.gz	127790	0.25276889	0.47077451	0.21800561	0.86247010	0.02946920	0.03967507	7.39774326	0.01497825,0.01342513,0.01212681,0.01183239,0.01378534,0.01188914,0.01285104,0.01306688,0.01297480,0.01372143,0.01336296,0.01143924,0.01123955,0.00972054,0.00940194,0.02582685,0.02769487,0.00308225,0.02835583,0.06732679,0.03256871,0.03698920,0.03918773,0.00927486,0.00828865,0.01019848,0.01231358,0.01110402,0.01514482,0.01675591,0.01715116,0.01780404,0.01699515,0.01656191,0.01602118,0.01590327,0.01682329,0.01811426,0.01853348,0.01850393,0.01789787
6	6.tagAlign.gz	190205	0.48968029	1.21233309	0.72265280	1.47576452	0.03006447	0.03353366	24.03676866	0.03990215,0.03775656,0.03642555,0.03863352,0.03919038,0.03892466,0.04118359,0.04111134,0.03982371,0.04116616,0.04202530,0.03850288,0.03789072,0.03560284,0.03225712,0.05935500,0.06039881,0.01082629,0.05185749,0.08570590,0.02645430,0.10891891,0.09210763,0.03126880,0.02214217,0.03107182,0.03923015,0.04612609,0.05242787,0.05386158,0.05813084,0.05976798,0.06017031,0.05769873,0.05575512,0.05622043,0.06057976,0.05960066,0.06183006,0.06417209,0.06599917
7	7.tagAlign.gz	193979	0.44954508	1.13298150	0.68343642	1.52028450	0.03037655	0.03298394	22.49881468	0.03416943,0.03569381,0.02983973,0.03294036,0.03292949,0.03511066,0.03572655,0.03624041,0.03496826,0.03839222,0.03585720,0.03268457,0.03361779,0.03090856,0.03029628,0.05284301,0.05657523,0.00805657,0.04516231,0.07363536,0.02412823,0.10791299,0.08660115,0.03251695,0.01495629,0.02363056,0.03551183,0.04343195,0.05023111,0.04736038,0.05115778,0.05614147,0.05731434,0.05798334,0.05683373,0.05956255,0.06113808,0.06598963,0.06597208,0.06965248,0.06890755
8	8.tagAlign.gz	131682	0.29562865	0.49123719	0.19560853	0.66166972	0.02160277	0.02567549	9.05478985	0.01254814,0.01291097,0.01156379,0.01213695,0.01287237,0.01454460,0.01513992,0.01553877,0.01425312,0.01454118,0.01218984,0.01158430,0.01070849,0.00817582,0.01047047,0.01978511,0.02262547,0.00377535,0.02666257,0.03798716,0.01742351,0.09772965,0.06171992,0.02118082,0.00652420,0.00696387,0.01093357,0.01555871,0.01626359,0.01522284,0.01531479,0.01827701,0.01632088,0.01496982,0.01271694,0.01151717,0.01129377,0.01244317,0.01467661,0.03045989,0.03769312
9	9.tagAlign.gz	105417	0.32594964	0.50784543	0.18189579	0.55804876	0.02493926	0.02706723	7.29355244	0.01211377,0.01170643,0.01127442,0.00970548,0.01237856,0.01423738,0.01529761,0.01456473,0.01373403,0.01434618,0.01231948,0.01084937,0.00898835,0.00750949,0.00977711,0.01929192,0.02164890,0.00419784,0.02537901,0.03853948,0.01879258,0.11578219,0.07463234,0.02002110,0.00695620,0.00565282,0.01029044,0.01350373,0.01528246,0.01162283,0.01516931,0.01605538,0.01556676,0.01400954,0.01031979,0.01164838,0.01370533,0.01123805,0.01588940,0.02831127,0.02851766
10	10.tagAlign.gz	210483	0.85561057	1.45076547	0.59515491	0.69559088	0.02676050	0.02664878	22.24005056	0.04126488,0.04018368,0.03871673,0.03971164,0.04131187,0.04569530,0.04574519,0.04605856,0.04545208,0.04659274,0.04488130,0.04212434,0.04103175,0.04061055,0.04342996,0.04972752,0.05516795,0.04994756,0.11642224,0.11473284,0.10805299,0.18981073,0.10474526,0.07234205,0.04438895,0.03013009,0.03819861,0.04419153,0.04634432,0.04225040,0.04450397,0.04629453,0.04119774,0.04481587,0.03841764,0.04030922,0.04534351,0.04311197,0.04080196,0.06997077,0.11957573
