rank	gene_set	term	overlap	p_value	adjusted_p_value	odds_ratio	combined_score	genes
1	Azimuth_Cell_Types_2021	Plasma CL0000786	2/10	0.0013581911701031	0.0230892498917528	45.18181818181818	298.27235807102574	XBP1;MANF
2	Azimuth_Cell_Types_2021	Immune CL0000738	2/10	0.0013581911701031	0.0230892498917528	45.18181818181818	298.27235807102574	SRGN;C1QC
3	Azimuth_Cell_Types_2021	CD16+ Monocyte CL0002396	2/20	0.0055288554181012	0.0599073463574226	20.07070707070707	104.3230086404988	IFITM2;IER5
4	Azimuth_Cell_Types_2021	CD8+ Effector Memory T 1 CL0001050	1/8	0.0439390017253452	0.0599073463574226	25.586872586872587	79.95777249377652	CST7
5	Azimuth_Cell_Types_2021	CD8+ Memory/Effector T CL0000625	1/10	0.0546214040317676	0.0599073463574226	19.8988988988989	57.85265494685789	CST7
6	Azimuth_Cell_Types_2021	CD8+ Naive T 2 CL0000900	1/10	0.0546214040317676	0.0599073463574226	19.8988988988989	57.85265494685789	CD38
7	Azimuth_Cell_Types_2021	NOSTRIN+ SRGN+ Layer 2-5 Endothelial Cell CL0000115	1/10	0.0546214040317676	0.0599073463574226	19.8988988988989	57.85265494685789	SRGN
8	Azimuth_Cell_Types_2021	Signaling Alveolar Epithelial Type 2 CL0002063	1/10	0.0546214040317676	0.0599073463574226	19.8988988988989	57.85265494685789	FABP5
9	Azimuth_Cell_Types_2021	Alpha Islet Cell CL0000171	1/10	0.0546214040317676	0.0599073463574226	19.8988988988989	57.85265494685789	MAFB
10	Azimuth_Cell_Types_2021	OLR1+ Classical Monocyte CL0000860	1/10	0.0546214040317676	0.0599073463574226	19.8988988988989	57.85265494685789	SRGN
11	Azimuth_Cell_Types_2021	AXL+ Dendritic Cell CL0000451	1/10	0.0546214040317676	0.0599073463574226	19.8988988988989	57.85265494685789	LGMN
12	Azimuth_Cell_Types_2021	AXL+ Myeloid Dendritic Cell CL0000782	1/10	0.0546214040317676	0.0599073463574226	19.8988988988989	57.85265494685789	LGMN
13	Azimuth_Cell_Types_2021	Other T Cell CL0002419	1/10	0.0546214040317676	0.0599073463574226	19.8988988988989	57.85265494685789	CST7
14	Azimuth_Cell_Types_2021	Differentiating Basal CL0000646	1/10	0.0546214040317676	0.0599073463574226	19.8988988988989	57.85265494685789	XBP1
15	Azimuth_Cell_Types_2021	Basophil/Mast 2 CL0000766	1/10	0.0546214040317676	0.0599073463574226	19.8988988988989	57.85265494685789	SRGN
16	Azimuth_Cell_Types_2021	Bronchial Vessel 2 CL0002328	1/10	0.0546214040317676	0.0599073463574226	19.8988988988989	57.85265494685789	SOCS3
17	Azimuth_Cell_Types_2021	FEZF2+ CFTR+ Layer 5-6 Glutamatergic Neuron CL0000679	1/10	0.0546214040317676	0.0599073463574226	19.8988988988989	57.85265494685789	NR4A2
18	Azimuth_Cell_Types_2021	Layer 6 Car3+ Glutamatergic Neuron, Intratelencephalon-Projecting CL0000679	1/10	0.0546214040317676	0.0599073463574226	19.8988988988989	57.85265494685789	NR4A2
19	Azimuth_Cell_Types_2021	Layer 6 Glutamatergic Neuron, Intratelencephalon-Projecting 3 CL0000679	1/10	0.0546214040317676	0.0599073463574226	19.8988988988989	57.85265494685789	NR4A2
20	Azimuth_Cell_Types_2021	CD4+ Memory/Effector T CL0000624	1/10	0.0546214040317676	0.0599073463574226	19.8988988988989	57.85265494685789	GPR171
21	Azimuth_Cell_Types_2021	THEMIS+ SMYD1+ Layer 5-6 Glutamatergic Neuron CL0000679	1/10	0.0546214040317676	0.0599073463574226	19.8988988988989	57.85265494685789	NR4A2
22	Azimuth_Cell_Types_2021	CD56-dim Natural Killer 1 CL0000939	1/10	0.0546214040317676	0.0599073463574226	19.8988988988989	57.85265494685789	CST7
23	Azimuth_Cell_Types_2021	CD56-dim Natural Killer 2 CL0000939	1/10	0.0546214040317676	0.0599073463574226	19.8988988988989	57.85265494685789	CST7
24	Azimuth_Cell_Types_2021	Monocyte CL0000576	1/10	0.0546214040317676	0.0599073463574226	19.8988988988989	57.85265494685789	NEAT1
25	Azimuth_Cell_Types_2021	Gamma Islet Cell CL0002275	1/10	0.0546214040317676	0.0599073463574226	19.8988988988989	57.85265494685789	ID2
26	Azimuth_Cell_Types_2021	Myeloid Dendritic Type 1 CL0000782	1/10	0.0546214040317676	0.0599073463574226	19.8988988988989	57.85265494685789	ID2
27	Azimuth_Cell_Types_2021	Gamma-Delta T 4 CL0000798	1/10	0.0546214040317676	0.0599073463574226	19.8988988988989	57.85265494685789	CST7
28	Azimuth_Cell_Types_2021	CD8+ Effector Memory T CL0001050	1/10	0.0546214040317676	0.0599073463574226	19.8988988988989	57.85265494685789	CST7
29	Azimuth_Cell_Types_2021	CD8+ Effector Memory T 2 CL0001050	1/10	0.0546214040317676	0.0599073463574226	19.8988988988989	57.85265494685789	CST7
30	Azimuth_Cell_Types_2021	IGSF21+ Dendritic CL0000451	1/10	0.0546214040317676	0.0599073463574226	19.8988988988989	57.85265494685789	LGMN
