analysis	state	n	events	probability
autocorr_contact	0_to_0	133888		
autocorr_contact	0_to_1	7536		
autocorr_contact	1_to_0	7532		
autocorr_contact	1_to_1	444		
autocorr_transcription	0_to_0	106947		
autocorr_transcription	0_to_1	19457		
autocorr_transcription	1_to_0	19455		
autocorr_transcription	1_to_1	3541		
P_contact_next	contact_now=0;transcription_now=0	119663	5500	0.045962411
P_contact_next	contact_now=0;transcription_now=1	21761	2036	0.093561877
P_contact_next	contact_now=1;transcription_now=0	6741	308	0.045690550
P_contact_next	contact_now=1;transcription_now=1	1235	136	0.110121457
P_transcription_next	transcription_now=0;contact_now=0	119663	18100	0.151258117
P_transcription_next	transcription_now=0;contact_now=1	6741	1357	0.201305444
P_transcription_next	transcription_now=1;contact_now=0	21761	3287	0.151050044
P_transcription_next	transcription_now=1;contact_now=1	1235	254	0.205668016
