lag	n_pairs	p_contact_lag_given_transcription_1	p_contact_lag_given_transcription_0	contact_given_transcription_risk_diff	contact_given_transcription_z	contact_given_transcription_p	p_transcription_given_contact_lag_1	p_transcription_given_contact_lag_0	transcription_given_contact_risk_diff	transcription_given_contact_z	transcription_given_contact_p	pearson_corr	corr_se	corr_z	corr_p
-10	144000	0.052709960	0.053594439	-0.000884479	-0.538394260	0.590304888	0.151727721	0.154003610	-0.002275888	-0.538394260	0.590304888	-0.001418793	0.002635259	-0.538388652	0.590308759
-9	144600	0.052655245	0.053570991	-0.000915745	-0.558599096	0.576435357	0.151566140	0.153922586	-0.002356445	-0.558599096	0.576435357	-0.001468981	0.002629786	-0.558593302	0.576439312
-8	145200	0.052765843	0.053534219	-0.000768376	-0.469844133	0.638466381	0.152011346	0.153989989	-0.001978643	-0.469844133	0.638466381	-0.001233021	0.002624347	-0.469839280	0.638469849
-7	145800	0.053911959	0.053325335	0.000586624	0.359498722	0.719222034	0.155367232	0.153856186	0.001511045	0.359498722	0.719222034	0.000941496	0.002618941	0.359495023	0.7192248
-6	146400	0.052258007	0.053593631	-0.001335624	-0.820472882	0.411946582	0.150716479	0.154159210	-0.003442731	-0.820472882	0.411946582	-0.002144340	0.002613569	-0.820464475	0.411951373
-5	147000	0.052410809	0.053533518	-0.001122709	-0.691428648	0.489296206	0.151325854	0.154222599	-0.002896745	-0.691428648	0.489296206	-0.001803386	0.002608229	-0.691421593	0.489300638
-4	147600	0.053131597	0.053322014	-0.000190417	-0.117569933	0.90640843	0.153572337	0.154064150	-0.000491814	-0.117569933	0.90640843	-0.000306022	0.002602922	-0.117568738	0.906409376
-3	148200	0.053247436	0.053293136	-0.000045700	-0.028270376	0.977446508	0.153855895	0.153973899	-0.000118005	-0.028270376	0.977446508	-0.000073436	0.002597648	-0.028270090	0.977446736
-2	148800	0.050685410	0.053831001	-0.003145591	-1.948625387	0.0513401781	0.146258503	0.154370945	-0.008112441	-1.948625387	0.0513401781	-0.005051576	0.002592405	-1.948605743	0.0513425258
-1	149400	0.070049570	0.050355216	0.019694354	12.220385529	0	0.201980943	0.151226100	0.050754843	12.220385529	0	0.031616196	0.002587194	12.220262833	0
0	150000	0.053712207	0.053295933	0.000416274	0.258858410	0.795744489	0.154922539	0.153849404	0.001073135	0.258858410	0.795744489	0.000668370	0.002582015	0.258855821	0.795746486
1	149400	0.094451209	0.045947913	0.048503296	30.088202666	0	0.272180451	0.147249328	0.124931123	30.088202666	0	0.077843248	0.002587194	30.087900574	0
2	148800	0.052100620	0.053676669	-0.001576049	-0.975435404	0.329344329	0.150044020	0.154101201	-0.004057181	-0.975435404	0.329344329	-0.002528698	0.002592405	-0.975425571	0.329349205
3	148200	0.055623740	0.053028249	0.002595491	1.603467476	0.108831484	0.160267744	0.153583496	0.006684248	1.603467476	0.108831484	0.004165202	0.002597648	1.603451247	0.108835065
4	147600	0.053217223	0.053466599	-0.000249376	-0.153791942	0.877773787	0.153436470	0.154079047	-0.000642578	-0.153791942	0.877773787	-0.000400304	0.002602922	-0.153790379	0.87777502
5	147000	0.054674734	0.053113214	0.001561520	0.961644507	0.336228206	0.157847762	0.153819068	0.004028695	0.961644507	0.336228206	0.002508164	0.002608229	0.961634695	0.336233137
6	146400	0.052580245	0.053470495	-0.000890250	-0.547283391	0.584184053	0.151895492	0.154193604	-0.002298112	-0.547283391	0.584184053	-0.001430348	0.002613569	-0.547277783	0.584187905
7	145800	0.052903226	0.053476586	-0.000573360	-0.351654172	0.725097633	0.152749229	0.154228495	-0.001479266	-0.351654172	0.725097633	-0.000920952	0.002618941	-0.351650554	0.725100347
8	145200	0.055342148	0.052934567	0.002407581	1.474801609	0.140265888	0.160077519	0.153855667	0.006221852	1.474801609	0.140265888	0.003870350	0.002624347	1.474786374	0.140269986
9	144600	0.049831952	0.053923212	-0.004091261	-2.502186155	0.0123429006	0.144303140	0.154886262	-0.010583122	-2.502186155	0.0123429006	-0.006580145	0.002629786	-2.502160199	0.0123438056
10	144000	0.052041597	0.053601780	-0.001560183	-0.951467016	0.341367354	0.150442478	0.154471962	-0.004029484	-0.951467016	0.341367354	-0.002507336	0.002635259	-0.951457105	0.341372383
