selected_ratio	reference_strain	reference_mean_area	reference_mean_circularity	ratio	n	mean_area	mean_circularity	scaled_distance
5:1	1	111959.666667	0.0613333333333	5:1	3	118086.333333	0.0666666666667	0.0358110194957
5:1	1	111959.666667	0.0613333333333	50:1	3	93919	0.095	0.112209773078
5:1	1	111959.666667	0.0613333333333	3:1	3	89125.3333333	0.0856666666667	0.134688010182
5:1	1	111959.666667	0.0613333333333	2:1	3	87056.6666667	0.0963333333333	0.149802221941
5:1	1	111959.666667	0.0613333333333	100:1	3	74453.6666667	0.111333333333	0.224587697825
5:1	1	111959.666667	0.0613333333333	4:1	3	152298	0.055	0.231546363029
5:1	1	111959.666667	0.0613333333333	10:1	3	184367.333333	0.0423333333333	0.416090122734
5:1	1	111959.666667	0.0613333333333	1:1	3	43223.6666667	0.197	0.431296537768
5:1	1	111959.666667	0.0613333333333	1000:1	3	45435.3333333	0.302333333333	0.491937677773
5:1	1	111959.666667	0.0613333333333	1:2	3	26811.3333333	0.389	0.64554865663
5:1	1	111959.666667	0.0613333333333	1:3	3	18760.6666667	0.607	0.883105775732
5:1	1	111959.666667	0.0613333333333	500:1	3	10046.3333333	0.818666666667	1.13729656831
