SAMPLE_020	SAMPLE_175	259
SAMPLE_123	SAMPLE_097	262
SAMPLE_048	SAMPLE_178	280
SAMPLE_155	SAMPLE_109	287
SAMPLE_149	SAMPLE_097	290
SAMPLE_112	SAMPLE_014	291
SAMPLE_052	SAMPLE_167	292
SAMPLE_142	SAMPLE_176	294
SAMPLE_167	SAMPLE_071	301
SAMPLE_081	SAMPLE_137	304
SAMPLE_050	SAMPLE_182	308
SAMPLE_149	SAMPLE_178	314
SAMPLE_049	SAMPLE_149	316
SAMPLE_149	SAMPLE_048	318
SAMPLE_178	SAMPLE_146	322
SAMPLE_034	SAMPLE_097	323
SAMPLE_167	SAMPLE_061	324
SAMPLE_043	SAMPLE_071	325
SAMPLE_149	SAMPLE_052	325
SAMPLE_178	SAMPLE_176	327
SAMPLE_052	SAMPLE_097	329
SAMPLE_034	SAMPLE_205	330
SAMPLE_052	SAMPLE_061	330
SAMPLE_049	SAMPLE_178	330
SAMPLE_170	SAMPLE_127	331
SAMPLE_117	SAMPLE_087	332
SAMPLE_050	SAMPLE_174	333
SAMPLE_050	SAMPLE_186	333
SAMPLE_178	SAMPLE_097	334
SAMPLE_124	SAMPLE_097	334
SAMPLE_204	SAMPLE_034	334
SAMPLE_170	SAMPLE_071	335
SAMPLE_049	SAMPLE_048	336
SAMPLE_170	SAMPLE_178	337
SAMPLE_187	SAMPLE_071	338
SAMPLE_139	SAMPLE_009	338
SAMPLE_116	SAMPLE_178	338
SAMPLE_182	SAMPLE_097	339
SAMPLE_032	SAMPLE_127	339
SAMPLE_034	SAMPLE_176	340
SAMPLE_126	SAMPLE_071	341
SAMPLE_050	SAMPLE_183	341
SAMPLE_149	SAMPLE_075	342
SAMPLE_061	SAMPLE_071	343
SAMPLE_066	SAMPLE_071	343
SAMPLE_142	SAMPLE_174	343
SAMPLE_182	SAMPLE_139	343
SAMPLE_009	SAMPLE_071	344
SAMPLE_087	SAMPLE_183	344
SAMPLE_170	SAMPLE_066	344
SAMPLE_048	SAMPLE_009	344
SAMPLE_097	SAMPLE_176	345
SAMPLE_116	SAMPLE_176	345
SAMPLE_142	SAMPLE_097	345
SAMPLE_142	SAMPLE_178	345
SAMPLE_149	SAMPLE_142	345
SAMPLE_083	SAMPLE_099	347
