rowname	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
PA14_61270	983.987307457099	2.43075911827617	0.0953541287873448	25.4919126123752	2.42341670810358e-143	1.28397023407524e-140
PA14_61370	994.079834413883	1.58611875771091	0.0823877957705413	19.2518654356092	1.36170394995641e-82	2.93926319272072e-80
PA14_43710	2172.90299479843	1.98761826978308	0.155055247389767	12.8187746190024	1.28718688913709e-37	6.14895507368109e-36
PA14_37820	680.898260988877	1.77925873362613	0.13906359159842	12.7945691116922	1.75824968260043e-37	8.33095865869539e-36
PA14_41420	619.549136437448	1.92032558470036	0.155979168912166	12.3114233656529	7.86242097632712e-35	3.20434891258982e-33
PA14_23570	227.518681634719	1.95089712013495	0.164721378427034	11.8436182283353	2.32214154251242e-32	8.56546893022937e-31
PA14_57650	1131.33954760867	1.54119243163599	0.133002655968633	11.5876816174218	4.75838190770013e-31	1.63128527988684e-29
PA14_07330	1362.94171990151	1.84454294268444	0.159355039812841	11.5750524417102	5.51375336517313e-31	1.86826480303657e-29
PA14_00570	1002.02957724427	2.45503031551835	0.221699078744635	11.0737055355389	1.68294593957498e-28	4.78449216382584e-27
PA14_39610	4676.01430340772	1.58209407677113	0.144312789119798	10.9629512839489	5.75900805665963e-28	1.56838780159871e-26
PA14_57590	15077.0474192033	1.98466265111489	0.190044493641762	10.44314735504	1.57500518210024e-25	3.50348480964892e-24
PA14_27610	209.259932020041	1.82170177433711	0.177163202953281	10.2826193248352	8.44020712212955e-25	1.74430947190677e-23
PA14_64190	1675.86900546349	1.5882440333915	0.155343349947303	10.2240876994752	1.54677479223581e-24	3.1409768254879e-23
PA14_61080	1135.11941445572	2.04886188955034	0.203420167727826	10.0720686273924	7.34174107332247e-24	1.41213422360803e-22
PA14_08650	3091.71874403633	1.62168141280216	0.161850180575278	10.0196453722701	1.24950468178035e-23	2.36004769051436e-22
PA14_00580	269.89575698811	2.12688544250718	0.214826572937715	9.90047652588973	4.14296245966532e-23	7.59282553928601e-22
PA14_30240	1462.46622938999	1.62233248403213	0.165261856051216	9.81673885793318	9.53791979263352e-23	1.68957436326651e-21
PA14_17060	18906.2867062537	1.86337077599843	0.190213814266579	9.79619058259868	1.16911863879772e-22	2.04613316123516e-21
PA14_27620	187.565082297447	2.31499551900787	0.236737746202191	9.77873430048918	1.38937079030597e-22	2.40274568721163e-21
PA14_32890	1013.13358009295	1.72705062101886	0.178102052410729	9.69697203172048	3.10578936300735e-22	5.17158297360195e-21
PA14_00590	594.551192285195	2.09564364411468	0.221365687527893	9.46688562043121	2.88311502742054e-21	4.28642713770585e-20
PA14_27210	6098.4185181612	1.57625432289283	0.167673841273453	9.40071695692933	5.41925270209415e-21	7.76005030658593e-20
PA14_39630	1910.47312734901	2.51363752013541	0.267465735485877	9.39797957883897	5.56208190085203e-21	7.92397816763142e-20
PA14_64950	362.055548564627	2.32868647962407	0.250927246862052	9.28032530841209	1.68961902486333e-20	2.25850910020722e-19
PA14_27600	429.709544205481	1.51830120938197	0.168636000665967	9.00342277678543	2.18787904601092e-19	2.56043355023125e-18
PA14_64960	2237.76905199146	1.68757419121556	0.190113911406926	8.8766475779009	6.89056902917181e-19	7.63464568479341e-18
PA14_73410	9394.14193579119	1.63346859245909	0.184683244247048	8.84470380146683	9.17714131670342e-19	9.9413344969791e-18
PA14_61770	8820.13542238394	1.66601267462321	0.188441301815208	8.84101658487244	9.48515764916783e-19	1.02180219555176e-17
PA14_57570	5301.31201317229	1.70078403877305	0.193490234458849	8.79002520995324	1.49526410559225e-18	1.57016201934984e-17
