bioproject	run_accession	library_layout	forward_path	reverse_path	forward_md5	reverse_md5	forward_bytes	reverse_bytes	read_count_per_file	biological_base_count
PRJNA1339024	SRR35763863	PAIRED	reads/SRR35763863_1.fastq.gz	reads/SRR35763863_2.fastq.gz	1c721c99bc8dc6950a25052524748bee	7f4cf7850faf9fa253694bff34310de4	4069746	4317034	79346	21133174
PRJNA1339024	SRR35763864	PAIRED	reads/SRR35763864_1.fastq.gz	reads/SRR35763864_2.fastq.gz	37b86d02af1717031bc95b8337cd7259	efb52d89aee6c2294ff7c560eb52789d	3107438	3342884	63845	17520803
PRJNA1339024	SRR35763865	PAIRED	reads/SRR35763865_1.fastq.gz	reads/SRR35763865_2.fastq.gz	7609ef4a68bbd8597a664e94c6a005b4	8f10dfaa9c9015e0f99e39fe21a403b6	4385713	4624645	87173	23623090
PRJNA1339024	SRR35763866	PAIRED	reads/SRR35763866_1.fastq.gz	reads/SRR35763866_2.fastq.gz	77613cafdea6aa8a0be1c563502e5d51	cae2126f22e293ef512e02a6b88259cf	4348156	4689279	100257	27559454
PRJNA1339024	SRR35763867	PAIRED	reads/SRR35763867_1.fastq.gz	reads/SRR35763867_2.fastq.gz	b3726eb787b6e458c4a604f4dfcac440	cfcb29b7e4155feced4119b4ef473a72	5299841	5496323	97618	26084593
PRJNA1339024	SRR35763868	PAIRED	reads/SRR35763868_1.fastq.gz	reads/SRR35763868_2.fastq.gz	c2f84053c319202be2341ffc1f3bcd2d	435907e6a1a64306836c6f613d2543a1	3596836	3850708	75238	20867346
PRJNA1339024	SRR35763869	PAIRED	reads/SRR35763869_1.fastq.gz	reads/SRR35763869_2.fastq.gz	64d66f1a837c724700d7669edb6e7155	f7384ee77d53d1ea10cc521bcfe331bb	3428170	3626607	69223	18905752
PRJNA1339024	SRR35763870	PAIRED	reads/SRR35763870_1.fastq.gz	reads/SRR35763870_2.fastq.gz	7ecd584fdbcd3bdee5758f95e53977d8	e926e4eb3224aa4fc0458745921b25f7	3646111	3782000	71826	20140533
PRJNA1339024	SRR35763871	PAIRED	reads/SRR35763871_1.fastq.gz	reads/SRR35763871_2.fastq.gz	e0ccad4676c291bb641ed10b06084c5a	1823790124d85db7cd72a514d3195be1	4228726	4561484	85476	23646927
PRJNA1339024	SRR35763872	PAIRED	reads/SRR35763872_1.fastq.gz	reads/SRR35763872_2.fastq.gz	6383fe20a8a6f0559cb7db0af1a5f4e9	d8db29382fa794b3810a2aba00701e4b	3981278	4219962	77527	21268792
PRJNA1339024	SRR35763873	PAIRED	reads/SRR35763873_1.fastq.gz	reads/SRR35763873_2.fastq.gz	33adcd9939d495e7aea1b7d40b741c97	8424a5abe16fc0df9ed651927e9237e3	4943441	5290334	96090	25910706
PRJNA1339024	SRR35763874	PAIRED	reads/SRR35763874_1.fastq.gz	reads/SRR35763874_2.fastq.gz	da3c2e0c2fa4eabfb8a9b5d7c617d91f	b3a016d2d16f9e96665ecf6ef832bfca	4551005	4878847	91086	25378645
PRJNA1354216	SRR35895055	SINGLE	reads/SRR35895055.fastq.gz		725100e420c03db07c23c2efad41d175		1101476		3173	1018488
PRJNA1354216	SRR35895056	SINGLE	reads/SRR35895056.fastq.gz		cde11d123329c69cf9defff7fe2abf1b		1416989		4377	1320212
PRJNA1354216	SRR35895057	SINGLE	reads/SRR35895057.fastq.gz		044ee09a8f7966f14fc6bf5d808b8d99		1670047		4633	1586062
PRJNA1354216	SRR35895058	SINGLE	reads/SRR35895058.fastq.gz		cf5f73488d6b256861e589e3ba88a485		1705553		5362	1585060
PRJNA1354216	SRR35895059	SINGLE	reads/SRR35895059.fastq.gz		72d1d99c101077642b3ad3be37289ed2		3516460		10114	3252491
PRJNA1354216	SRR35895060	SINGLE	reads/SRR35895060.fastq.gz		8978d31b633ceeaf82f8f84d516967bd		1581311		4042	1454486
PRJNA1354216	SRR35895061	SINGLE	reads/SRR35895061.fastq.gz		f63fffbb7e8eeaed203102489e339fa8		2356911		6425	2236728
PRJNA1354216	SRR35895062	SINGLE	reads/SRR35895062.fastq.gz		25995526186e8528e99c247d7177fc65		3480521		8766	3253431
