# H5AD exploratory donor-level expression scores
# Score: mean over genes of log1p(CPM-like normalized counts); zeros included
# cells=279633 genes=12984 donors=33 nnz=385695015
PANEL	IFN	present=29	missing=DDX58	genes=ISG15,IFIT1,IFIT2,IFIT3,IFIT5,IFI6,IFI27,IFI44,IFI44L,IFITM1,IFITM2,IFITM3,MX1,MX2,OAS1,OAS2,OAS3,OASL,RSAD2,USP18,IRF7,IFIH1,BST2,XAF1,EPSTI1,GBP1,GBP2,SAMD9L,HERC5
PANEL	INFLAM	present=13	missing=CCL8,IL6	genes=CCL2,CXCL10,TNF,NFKBIA,JUN,FOS,IRF1,SOCS1,SOCS3,HLA-DRA,HLA-DPA1,HLA-DPB1,B2M
DONOR	CELLS	IFN_MEAN	IFN_MEDIAN	IFN_P90	IFN_DET_FRAC	INFLAM_MEAN	INFLAM_MEDIAN	INFLAM_P90	INFLAM_DET_FRAC
donor1	11264	0.301706	0.289283	0.465194	0.990323	1.051119	0.986243	1.577570	1.000000
donor10	14101	0.323180	0.302306	0.534632	0.990639	0.949340	0.898170	1.429237	1.000000
donor11	5942	0.326330	0.314465	0.501140	0.993941	0.868005	0.812141	1.342187	1.000000
donor12	8704	0.340515	0.323212	0.526921	0.993566	0.905974	0.848674	1.383422	1.000000
donor13	5756	0.525541	0.490069	0.840234	0.998263	1.103244	1.098849	1.548000	1.000000
donor14	15886	1.018906	0.963183	1.641006	0.999811	1.022617	0.981283	1.483496	1.000000
donor15	5857	0.387211	0.332566	0.686676	0.996244	1.033733	0.963245	1.564366	1.000000
donor16	6108	0.327460	0.306270	0.530143	0.991814	0.918389	0.872130	1.351785	1.000000
donor17	8626	0.388040	0.356046	0.621723	0.997218	0.835614	0.730733	1.390391	1.000000
donor18	7557	0.833695	0.729268	1.423380	0.999735	1.051836	0.975205	1.591738	1.000000
donor19	7523	0.457187	0.401965	0.779614	0.998804	0.975590	0.912637	1.468568	1.000000
donor2	10595	0.291922	0.266624	0.495057	0.982445	1.071486	1.045704	1.520634	1.000000
donor20	5868	0.429401	0.407706	0.670813	0.998296	0.974958	0.943604	1.434921	1.000000
donor21	9332	0.343984	0.334343	0.520301	0.993678	0.930766	0.846107	1.476090	1.000000
donor22	5492	0.435885	0.414674	0.665663	0.998179	0.987204	0.959184	1.407904	1.000000
donor23	5762	0.325556	0.323415	0.500348	0.991670	0.973818	0.930806	1.426986	1.000000
donor24	7828	0.340338	0.324268	0.523332	0.996423	0.854520	0.751386	1.402346	1.000000
donor25	6916	0.345901	0.331864	0.549241	0.994072	1.054829	1.013548	1.557903	1.000000
donor26	10801	0.760379	0.674704	1.414069	0.998611	0.992355	0.974490	1.412400	1.000000
donor27	8364	0.328242	0.313108	0.493764	0.997131	1.031436	0.934980	1.621026	1.000000
donor28	6157	0.387460	0.347540	0.651755	0.997726	0.989033	0.972113	1.369007	1.000000
donor29	10745	0.344984	0.325757	0.524600	0.997301	0.832480	0.743273	1.365700	1.000000
donor3	11327	0.924121	0.932709	1.394151	1.000000	1.323023	1.319356	1.798481	1.000000
donor30	5185	0.642530	0.631376	0.931561	0.999807	1.093216	1.089903	1.427900	1.000000
donor31	5851	0.578389	0.539295	0.919479	0.999145	1.006858	0.977709	1.434564	1.000000
donor32	7848	0.335752	0.307761	0.523023	0.997834	0.976567	0.853639	1.617092	1.000000
donor33	5159	1.259738	1.219407	1.773458	1.000000	1.026785	0.978054	1.519637	1.000000
donor4	17134	0.435720	0.401281	0.692690	0.998191	0.987973	0.951046	1.398686	0.999942
donor5	11067	0.322446	0.302351	0.517257	0.990332	0.902217	0.822288	1.424569	1.000000
donor6	6663	0.312752	0.295819	0.501719	0.990845	0.893910	0.826241	1.386187	1.000000
donor7	8490	0.378557	0.354867	0.599287	0.993993	1.061988	1.046926	1.443991	1.000000
donor8	7888	0.465167	0.422756	0.770635	0.998225	1.263663	1.233071	1.729754	1.000000
donor9	7837	0.293954	0.279041	0.491297	0.982136	0.963759	0.949764	1.330097	1.000000
