	cortex	endodermis	epidermis	meristems	pericycle	phloem	provascular	root_cap	root_hair	xylem
TraesCS7A03G0992200LC	11.89	14.68	152.23	10.97	22.64	66.45	7.77	80.04	27.57	30.29
TraesCS7A03G1335600	2.16	2.07	4.34	5.06	5.75	2.42	2.23	0.95	4.24	0.5
TraesCS6B03G0242600	4.54	7.26	72.63	10.02	2.79	7.25	2.41	9.53	4.95	12.77
TraesCS5D03G0346300	24.11	22.97	12.72	69.83	37.27	20.54	338.38	102.91	38.41	32.29
TraesCS5D03G0377000	30.7	9.5	28.87	54.19	22.46	7.25	20.62	465.97	48.54	2557.75
TraesCS5D03G0492700	2.59	120.05	5.31	16.89	14.98	7.25	1.87	4.76	2.59	2.25
TraesCS5D03G1173000	26.16	35.58	485.93	25.85	54.85	132.91	30.44	288.73	124.18	122.67
TraesCS1A03G0053300	0.22	0.35	0.6	0.0	0.7	1.21	0.36	277.29	0.94	0.5
TraesCS1A03G0062800	9.41	2.42	14.29	19.18	10.45	3.62	6.16	203.92	24.74	1043.18
TraesCS1A03G0090800	23.24	13.3	75.55	610.85	32.91	259.78	23.12	19.06	23.56	31.29
TraesCS1A03G0526900	1.41	1.73	5.39	2.48	6.44	0.0	2.05	1.91	20.74	0.25
TraesCS1A03G0554700	415.99	14.68	21.24	115.05	17.94	14.5	11.96	5.72	35.58	40.81
TraesCS1A03G0676300	603.87	121.78	155.82	93.4	120.16	134.12	39.02	303.02	153.63	213.54
TraesCS1A03G0723300	56.75	26.26	125.15	851.26	43.88	206.61	20.53	65.75	43.12	65.84
TraesCS1A03G0730400	38.7	28.67	70.02	646.34	34.13	129.28	19.73	59.08	28.51	62.34
TraesCS2D03G0068900	5.19	0.52	2.47	4.2	7.84	2325.91	3.57	5.72	2.59	3.76
TraesCS2D03G0129500	4.54	3.45	7.18	6.3	11.14	12.08	11.79	0.0	14.61	1.25
TraesCS2D03G0321300	37.4	646.57	24.69	52.57	41.1	19.33	54.82	29.54	22.39	59.08
TraesCS2D03G0324400	13.95	20.21	316.5	17.55	37.09	68.87	10.98	39.07	49.01	49.57
TraesCS2D03G0324500	31.78	36.28	651.92	49.51	56.25	83.37	20.27	89.57	105.09	97.63
TraesCS2D03G0803000	8.22	8.98	25.51	21.66	31.17	54.37	31.61	1.91	82.47	3.5
TraesCS2D03G0925700	277.94	7.43	7.93	52.95	5.4	2.42	4.46	0.95	14.37	26.54
TraesCS2D03G0971100	0.22	0.0	0.07	0.0	0.0	0.0	0.09	328.75	0.24	0.0
TraesCS2D03G0971700	0.0	0.17	0.07	0.0	0.0	0.0	0.27	140.08	0.0	0.0
TraesCS2D03G0971800	0.0	0.17	0.07	0.1	0.0	1.21	0.18	153.42	0.24	0.0
TraesCS2B03G0108200	5.84	2.42	6.21	6.58	26.3	2827.34	18.93	19.06	3.06	12.77
TraesCS2B03G0426600LC	4.11	5.7	81.39	5.15	8.36	14.5	2.23	19.06	12.96	12.27
TraesCS2B03G0426800	4.32	5.87	115.12	8.3	10.27	14.5	2.86	8.58	13.67	13.02
TraesCS2B03G0426900	7.46	6.39	111.61	10.3	8.53	4.83	3.3	8.58	22.39	11.77
TraesCS2B03G0955500	7.46	5.18	20.57	20.23	28.04	15.71	21.7	0.95	63.62	2.5
TraesCS2B03G1047100	42.92	24.87	135.77	1097.59	57.64	414.43	41.34	33.35	36.05	41.31
TraesCS2B03G1153200	0.22	0.0	0.22	0.1	0.17	0.0	0.62	167.71	0.24	0.0
TraesCS2B03G1383800LC	2226.52	433.23	149.23	1084.23	164.56	45.91	135.71	42.88	255.9	198.52
TraesCS2B03G1501600	653.71	84.82	193.89	236.69	148.54	166.74	49.1	158.18	138.32	96.38
TraesCS2B03G1534500	1.73	2.59	61.41	5.53	4.18	18.12	2.5	6.67	7.07	12.27
TraesCS2B03G1540400	4.97	2.94	60.74	9.16	4.7	15.71	1.87	2.86	4.24	13.52
TraesCS3A03G0103100	14.81	12.09	208.25	11.45	25.77	67.66	11.52	47.65	35.35	58.08
TraesCS3A03G0316900	21.95	16.06	79.82	598.93	23.51	159.49	15.8	12.39	21.44	37.3
TraesCS3A03G0756500	0.22	0.35	0.15	0.29	0.17	0.0	0.18	262.05	0.24	0.0
TraesCS3A03G0796600	3.46	2.59	7.33	5.25	14.11	1.21	5.8	0.95	13.2	1.25
TraesCS3A03G0935100	1.51	1.55	6.43	2.86	11.84	3.62	5.09	0.95	9.66	0.5
TraesCS3A03G0974500	241.83	9.33	11.67	68.59	11.32	1.21	7.05	4.76	19.79	19.03
TraesCS3A03G1224300	0.11	0.0	0.22	0.19	0.35	0.0	0.27	252.52	0.94	0.0
TraesCS5B03G0387000	17.08	10.36	21.84	37.4	16.89	7.25	17.23	367.82	43.12	1962.44
TraesCS5B03G0538700	2.38	144.07	6.51	18.22	25.77	4.83	2.32	0.95	3.3	3.25
TraesCS5B03G1313300	7.57	7.08	136.29	12.31	14.98	33.83	4.46	23.82	18.62	21.78
TraesCS6D03G0279900	0.65	1.21	1.42	2.77	8.71	390.27	8.12	3.81	3.53	5.26
TraesCS6A03G0141200	24.43	19.17	77.35	582.71	30.13	120.83	15.89	20.01	17.2	45.31
TraesCS6A03G0197200	33.3	26.95	90.96	761.97	48.41	202.99	22.05	27.63	32.05	41.31
TraesCS6A03G0202900	0.43	0.0	0.37	0.48	3.83	1291.63	0.98	0.0	0.24	0.0
TraesCS6A03G0661700LC	28.76	114.18	28.65	65.45	110.41	26.58	269.36	119.11	27.8	419.07
TraesCS7B03G0820900	348.64	143.03	67.32	129.08	61.47	77.33	28.57	46.69	97.32	41.56
TraesCS7B03G0829700LC	5.73	9.85	74.88	8.01	4.18	8.46	2.86	15.25	18.62	9.01
TraesCS7B03G1269700	2.92	2.25	4.64	6.49	9.4	2.42	2.05	0.95	4.01	2.5
TraesCS7B03G1286700	4.43	5.01	104.65	8.78	2.96	8.46	2.77	2.86	8.25	21.03
TraesCS4D03G0742700	3.89	5.01	6.28	7.06	10.97	3.62	6.87	0.95	13.9	1.0
TraesCS3D03G0013700	29.51	180.51	19.45	77.85	90.73	43.5	327.3	54.32	27.8	101.64
TraesCS3D03G0382600	2.59	1.21	0.67	1.81	0.7	3.62	0.36	332.56	1.65	1.5
TraesCS3D03G0402600	40.0	730.17	32.76	66.88	59.73	22.96	45.53	23.82	45.95	63.59
TraesCS3D03G0697200	0.43	0.17	3.52	0.57	0.35	0.0	0.54	323.03	0.71	3.25
TraesCS3D03G0720200	13.51	305.58	9.72	37.02	5.92	3.62	4.91	4.76	2.36	16.77
TraesCS3D03G0735900	3.03	3.28	5.83	5.25	13.58	8.46	6.52	0.95	13.2	4.26
TraesCS3D03G0761600	61.62	35.58	90.59	681.07	44.93	204.2	34.37	56.22	35.82	89.87
TraesCS3D03G0773600	38.05	25.39	75.7	599.88	32.22	178.82	18.93	43.83	24.74	44.31
TraesCS3D03G0911000	530.79	23.32	30.0	261.3	21.77	9.67	14.73	6.67	60.09	41.56
TraesCS3D03G0969300	0.86	2.59	5.09	2.19	6.44	2.42	2.68	0.0	8.48	0.5
TraesCS3D03G1015700	2.59	5.87	39.42	6.49	2.79	6.04	2.05	11.43	4.71	11.52
TraesCS3D03G1163500	0.11	0.35	0.0	0.29	0.17	0.0	0.36	281.11	3.77	0.0
TraesCS3D03G1163600	0.32	0.17	0.22	0.1	0.0	0.0	0.45	249.66	0.0	0.0
TraesCS1B03G0050600	21.4	49.4	18.78	49.61	30.47	32.62	282.49	71.47	15.79	77.86
TraesCS1B03G0051800	204.43	214.54	65.98	379.41	361.52	419.27	1145.66	222.98	131.72	285.89
TraesCS1B03G0053600	174.7	346.17	52.21	238.88	293.6	354.02	713.71	222.98	84.36	157.22
TraesCS1B03G0058000	0.22	0.69	0.15	0.38	0.52	0.0	0.18	226.79	0.47	0.5
TraesCS1B03G0109700	83.46	40.77	141.9	968.99	74.71	374.56	56.16	68.61	75.17	118.16
TraesCS1B03G0616100	2.05	2.07	5.24	3.24	9.23	4.83	3.84	0.0	9.19	0.5
TraesCS1B03G0646400	749.27	28.33	46.45	229.92	38.83	24.17	25.0	11.43	93.08	69.34
TraesCS1B03G0768600	650.14	75.66	114.9	188.99	103.44	163.12	42.77	194.39	115.46	128.43
TraesCS1B03G0825800	110.27	44.57	189.93	1208.35	68.09	263.4	40.8	62.89	82.24	64.59
TraesCS1B03G1035400	43.57	16.76	94.33	742.12	38.31	189.7	18.93	17.15	37.23	56.83
TraesCS5A03G0363500	32.11	28.67	24.69	120.49	157.6	90.62	490.6	95.29	53.72	100.64
TraesCS5A03G0388600	19.78	5.87	28.2	50.85	21.07	15.71	22.95	311.6	38.17	2402.04
TraesCS5A03G0526900	1.62	99.67	4.26	9.54	17.07	1.21	1.96	3.81	2.12	1.75
TraesCS1D03G0043400	0.22	0.0	0.37	0.19	0.35	2.42	0.27	303.02	0.0	0.25
TraesCS1D03G0080500	25.51	17.79	99.86	658.27	31.0	250.11	20.0	19.06	28.51	60.33
TraesCS1D03G0080700	37.3	21.94	121.41	779.62	50.5	329.86	36.96	30.49	29.22	65.09
TraesCS1D03G0362900	1.84	1.73	32.39	2.29	2.96	4.83	0.54	4.76	1.18	4.51
TraesCS1D03G0508400	2.16	1.73	4.19	1.91	6.97	0.0	2.14	0.0	5.89	1.25
TraesCS1D03G0534600	203.99	9.67	10.02	57.91	7.49	6.04	4.55	2.86	21.44	12.02
TraesCS1D03G0687000	68.97	25.22	142.73	889.8	39.88	262.19	25.8	43.83	70.93	86.62
TraesCS1D03G0787300	864.51	23.15	28.72	91.58	26.99	21.75	13.84	8.58	50.9	44.56
TraesCS1D03G0787400	624.41	18.31	26.11	89.39	20.2	24.17	15.53	14.29	37.23	43.56
TraesCS1D03G0852900	29.84	16.76	78.24	716.46	40.4	169.16	17.77	16.2	25.21	33.55
TraesCS1D03G0853100	40.65	19.87	92.76	666.57	39.7	225.95	24.37	54.32	30.16	45.81
TraesCS2A03G0073400	4.22	0.69	8.0	2.86	4.53	2278.79	1.61	11.43	9.9	10.76
TraesCS2A03G0132400	1.95	1.73	4.79	3.63	3.31	1.21	4.2	0.0	8.72	0.25
TraesCS2A03G0309100LC	6.16	6.91	124.1	6.77	8.01	19.33	3.66	28.59	17.2	20.03
TraesCS2A03G0309200	8.0	10.02	215.81	16.6	14.28	24.17	4.29	24.78	21.21	25.79
TraesCS2A03G0412800	58.7	115.39	40.02	84.91	339.23	68.87	447.48	221.07	46.66	191.76
TraesCS2A03G0863000	9.19	8.12	31.12	23.18	38.66	36.25	32.14	0.95	67.16	5.26
TraesCS2A03G0948500	35.13	15.55	98.14	779.81	31.17	332.27	32.86	17.15	32.28	27.29
TraesCS2A03G1032300	0.11	0.17	0.07	0.0	0.0	1.21	0.0	283.01	0.0	0.0
TraesCS3B03G0036500	2.16	20.56	1.5	7.25	8.36	3.62	44.55	7.62	2.36	2.75
TraesCS3B03G0839200LC	8.11	10.19	26.48	34.44	21.59	42.29	23.48	1.91	60.32	4.01
TraesCS3B03G0864600	0.22	0.0	0.97	0.1	0.35	1.21	0.27	305.88	0.94	1.5
TraesCS3B03G0918400	2.38	2.76	7.33	5.34	16.54	8.46	6.07	0.95	8.01	1.5
TraesCS3B03G1120300	238.37	11.75	18.33	90.44	18.28	12.08	9.91	4.76	34.17	24.53
TraesCS3B03G1121400	136.21	5.53	7.78	47.7	5.57	0.0	2.5	3.81	10.6	9.01
TraesCS3B03G1202600	2.27	1.9	9.72	6.58	8.01	2.42	4.2	0.95	12.49	3.25
TraesCS3B03G1268400	0.11	0.0	0.37	0.1	0.17	1.21	0.27	341.14	0.94	0.0
TraesCS3B03G1464500	0.0	0.17	0.15	0.19	0.0	0.0	0.27	209.64	0.0	0.0
TraesCS3B03G1464600	0.0	0.0	0.22	0.29	0.17	1.21	0.09	226.79	0.0	0.5
TraesCS4B03G0567900	32.43	31.09	90.21	733.82	27.69	207.82	17.77	45.74	29.69	53.57
TraesCS4B03G0814900	815.97	181.55	204.36	171.44	74.71	60.41	37.32	42.88	319.52	93.13
TraesCS4B03G0833500	2.05	4.84	7.33	4.01	8.18	1.21	5.71	1.91	21.91	1.0
TraesCS7D03G0226600	0.22	0.35	0.22	0.0	0.17	1.21	0.18	642.26	0.47	0.25
TraesCS7D03G0261200	22.27	15.37	61.19	578.99	32.56	173.99	14.46	15.25	22.15	47.57
TraesCS7D03G0500500	2.92	2.42	2.17	9.54	4.88	994.4	3.57	13.34	1.89	6.01
TraesCS7D03G1262100	2.38	2.42	4.41	3.43	5.92	1.21	2.05	0.95	3.3	2.5
