	cortex	endodermis	epidermis	meristems	pericycle	phloem	provascular	root_cap	root_hair	xylem
TraesCS7A03G1335600	2.16	2.07	4.34	5.06	5.75	2.42	2.23	0.95	4.24	0.5
TraesCS1A03G0090800	23.24	13.3	75.55	610.85	32.91	259.78	23.12	19.06	23.56	31.29
TraesCS1A03G0526900	1.41	1.73	5.39	2.48	6.44	0.0	2.05	1.91	20.74	0.25
TraesCS1A03G0723300	56.75	26.26	125.15	851.26	43.88	206.61	20.53	65.75	43.12	65.84
TraesCS1A03G0730400	38.7	28.67	70.02	646.34	34.13	129.28	19.73	59.08	28.51	62.34
TraesCS2D03G0129500	4.54	3.45	7.18	6.3	11.14	12.08	11.79	0.0	14.61	1.25
TraesCS2D03G0803000	8.22	8.98	25.51	21.66	31.17	54.37	31.61	1.91	82.47	3.5
TraesCS2B03G0955500	7.46	5.18	20.57	20.23	28.04	15.71	21.7	0.95	63.62	2.5
TraesCS2B03G1047100	42.92	24.87	135.77	1097.59	57.64	414.43	41.34	33.35	36.05	41.31
TraesCS3A03G0316900	21.95	16.06	79.82	598.93	23.51	159.49	15.8	12.39	21.44	37.3
TraesCS3A03G0796600	3.46	2.59	7.33	5.25	14.11	1.21	5.8	0.95	13.2	1.25
TraesCS3A03G0935100	1.51	1.55	6.43	2.86	11.84	3.62	5.09	0.95	9.66	0.5
TraesCS6A03G0141200	24.43	19.17	77.35	582.71	30.13	120.83	15.89	20.01	17.2	45.31
TraesCS6A03G0197200	33.3	26.95	90.96	761.97	48.41	202.99	22.05	27.63	32.05	41.31
TraesCS7B03G1269700	2.92	2.25	4.64	6.49	9.4	2.42	2.05	0.95	4.01	2.5
TraesCS4D03G0742700	3.89	5.01	6.28	7.06	10.97	3.62	6.87	0.95	13.9	1.0
TraesCS3D03G0735900	3.03	3.28	5.83	5.25	13.58	8.46	6.52	0.95	13.2	4.26
TraesCS3D03G0761600	61.62	35.58	90.59	681.07	44.93	204.2	34.37	56.22	35.82	89.87
TraesCS3D03G0773600	38.05	25.39	75.7	599.88	32.22	178.82	18.93	43.83	24.74	44.31
TraesCS3D03G0969300	0.86	2.59	5.09	2.19	6.44	2.42	2.68	0.0	8.48	0.5
TraesCS1B03G0109700	83.46	40.77	141.9	968.99	74.71	374.56	56.16	68.61	75.17	118.16
TraesCS1B03G0616100	2.05	2.07	5.24	3.24	9.23	4.83	3.84	0.0	9.19	0.5
TraesCS1B03G0825800	110.27	44.57	189.93	1208.35	68.09	263.4	40.8	62.89	82.24	64.59
TraesCS1B03G1035400	43.57	16.76	94.33	742.12	38.31	189.7	18.93	17.15	37.23	56.83
TraesCS1D03G0080500	25.51	17.79	99.86	658.27	31.0	250.11	20.0	19.06	28.51	60.33
TraesCS1D03G0080700	37.3	21.94	121.41	779.62	50.5	329.86	36.96	30.49	29.22	65.09
TraesCS1D03G0508400	2.16	1.73	4.19	1.91	6.97	0.0	2.14	0.0	5.89	1.25
TraesCS1D03G0687000	68.97	25.22	142.73	889.8	39.88	262.19	25.8	43.83	70.93	86.62
TraesCS1D03G0852900	29.84	16.76	78.24	716.46	40.4	169.16	17.77	16.2	25.21	33.55
TraesCS1D03G0853100	40.65	19.87	92.76	666.57	39.7	225.95	24.37	54.32	30.16	45.81
TraesCS2A03G0132400	1.95	1.73	4.79	3.63	3.31	1.21	4.2	0.0	8.72	0.25
TraesCS2A03G0863000	9.19	8.12	31.12	23.18	38.66	36.25	32.14	0.95	67.16	5.26
TraesCS2A03G0948500	35.13	15.55	98.14	779.81	31.17	332.27	32.86	17.15	32.28	27.29
TraesCS3B03G0839200LC	8.11	10.19	26.48	34.44	21.59	42.29	23.48	1.91	60.32	4.01
TraesCS3B03G0918400	2.38	2.76	7.33	5.34	16.54	8.46	6.07	0.95	8.01	1.5
TraesCS3B03G1202600	2.27	1.9	9.72	6.58	8.01	2.42	4.2	0.95	12.49	3.25
TraesCS4B03G0567900	32.43	31.09	90.21	733.82	27.69	207.82	17.77	45.74	29.69	53.57
TraesCS4B03G0833500	2.05	4.84	7.33	4.01	8.18	1.21	5.71	1.91	21.91	1.0
TraesCS7D03G0261200	22.27	15.37	61.19	578.99	32.56	173.99	14.46	15.25	22.15	47.57
TraesCS7D03G1262100	2.38	2.42	4.41	3.43	5.92	1.21	2.05	0.95	3.3	2.5
