	cortex	endodermis	epidermis	meristems	pericycle	phloem	provascular	root_cap	root_hair	xylem
TraesCS1A03G0554700	415.99	14.68	21.24	115.05	17.94	14.5	11.96	5.72	35.58	40.81
TraesCS1A03G0676300	603.87	121.78	155.82	93.4	120.16	134.12	39.02	303.02	153.63	213.54
TraesCS2D03G0925700	277.94	7.43	7.93	52.95	5.4	2.42	4.46	0.95	14.37	26.54
TraesCS2B03G1383800LC	2226.52	433.23	149.23	1084.23	164.56	45.91	135.71	42.88	255.9	198.52
TraesCS2B03G1501600	653.71	84.82	193.89	236.69	148.54	166.74	49.1	158.18	138.32	96.38
TraesCS3A03G0974500	241.83	9.33	11.67	68.59	11.32	1.21	7.05	4.76	19.79	19.03
TraesCS7B03G0820900	348.64	143.03	67.32	129.08	61.47	77.33	28.57	46.69	97.32	41.56
TraesCS3D03G0911000	530.79	23.32	30.0	261.3	21.77	9.67	14.73	6.67	60.09	41.56
TraesCS1B03G0646400	749.27	28.33	46.45	229.92	38.83	24.17	25.0	11.43	93.08	69.34
TraesCS1B03G0768600	650.14	75.66	114.9	188.99	103.44	163.12	42.77	194.39	115.46	128.43
TraesCS1D03G0534600	203.99	9.67	10.02	57.91	7.49	6.04	4.55	2.86	21.44	12.02
TraesCS1D03G0787300	864.51	23.15	28.72	91.58	26.99	21.75	13.84	8.58	50.9	44.56
TraesCS1D03G0787400	624.41	18.31	26.11	89.39	20.2	24.17	15.53	14.29	37.23	43.56
TraesCS3B03G1120300	238.37	11.75	18.33	90.44	18.28	12.08	9.91	4.76	34.17	24.53
TraesCS3B03G1121400	136.21	5.53	7.78	47.7	5.57	0.0	2.5	3.81	10.6	9.01
TraesCS4B03G0814900	815.97	181.55	204.36	171.44	74.71	60.41	37.32	42.88	319.52	93.13
