	cortex	endodermis	epidermis	meristems	pericycle	phloem	provascular	root_cap	root_hair	xylem
TraesCS7A03G0992200LC	11.89	14.68	152.23	10.97	22.64	66.45	7.77	80.04	27.57	30.29
TraesCS6B03G0242600	4.54	7.26	72.63	10.02	2.79	7.25	2.41	9.53	4.95	12.77
TraesCS5D03G1173000	26.16	35.58	485.93	25.85	54.85	132.91	30.44	288.73	124.18	122.67
TraesCS2D03G0324400	13.95	20.21	316.5	17.55	37.09	68.87	10.98	39.07	49.01	49.57
TraesCS2D03G0324500	31.78	36.28	651.92	49.51	56.25	83.37	20.27	89.57	105.09	97.63
TraesCS2B03G0426600LC	4.11	5.7	81.39	5.15	8.36	14.5	2.23	19.06	12.96	12.27
TraesCS2B03G0426800	4.32	5.87	115.12	8.3	10.27	14.5	2.86	8.58	13.67	13.02
TraesCS2B03G0426900	7.46	6.39	111.61	10.3	8.53	4.83	3.3	8.58	22.39	11.77
TraesCS2B03G1534500	1.73	2.59	61.41	5.53	4.18	18.12	2.5	6.67	7.07	12.27
TraesCS2B03G1540400	4.97	2.94	60.74	9.16	4.7	15.71	1.87	2.86	4.24	13.52
TraesCS3A03G0103100	14.81	12.09	208.25	11.45	25.77	67.66	11.52	47.65	35.35	58.08
TraesCS5B03G1313300	7.57	7.08	136.29	12.31	14.98	33.83	4.46	23.82	18.62	21.78
TraesCS7B03G0829700LC	5.73	9.85	74.88	8.01	4.18	8.46	2.86	15.25	18.62	9.01
TraesCS7B03G1286700	4.43	5.01	104.65	8.78	2.96	8.46	2.77	2.86	8.25	21.03
TraesCS3D03G1015700	2.59	5.87	39.42	6.49	2.79	6.04	2.05	11.43	4.71	11.52
TraesCS1D03G0362900	1.84	1.73	32.39	2.29	2.96	4.83	0.54	4.76	1.18	4.51
TraesCS2A03G0309100LC	6.16	6.91	124.1	6.77	8.01	19.33	3.66	28.59	17.2	20.03
TraesCS2A03G0309200	8.0	10.02	215.81	16.6	14.28	24.17	4.29	24.78	21.21	25.79
