	cortex	endodermis	epidermis	meristems	pericycle	phloem	provascular	root_cap	root_hair	xylem
TraesCS1A03G0053300	0.22	0.35	0.6	0.0	0.7	1.21	0.36	277.29	0.94	0.5
TraesCS2D03G0971100	0.22	0.0	0.07	0.0	0.0	0.0	0.09	328.75	0.24	0.0
TraesCS2D03G0971700	0.0	0.17	0.07	0.0	0.0	0.0	0.27	140.08	0.0	0.0
TraesCS2D03G0971800	0.0	0.17	0.07	0.1	0.0	1.21	0.18	153.42	0.24	0.0
TraesCS2B03G1153200	0.22	0.0	0.22	0.1	0.17	0.0	0.62	167.71	0.24	0.0
TraesCS3A03G0756500	0.22	0.35	0.15	0.29	0.17	0.0	0.18	262.05	0.24	0.0
TraesCS3A03G1224300	0.11	0.0	0.22	0.19	0.35	0.0	0.27	252.52	0.94	0.0
TraesCS3D03G0382600	2.59	1.21	0.67	1.81	0.7	3.62	0.36	332.56	1.65	1.5
TraesCS3D03G0697200	0.43	0.17	3.52	0.57	0.35	0.0	0.54	323.03	0.71	3.25
TraesCS3D03G1163500	0.11	0.35	0.0	0.29	0.17	0.0	0.36	281.11	3.77	0.0
TraesCS3D03G1163600	0.32	0.17	0.22	0.1	0.0	0.0	0.45	249.66	0.0	0.0
TraesCS1B03G0058000	0.22	0.69	0.15	0.38	0.52	0.0	0.18	226.79	0.47	0.5
TraesCS1D03G0043400	0.22	0.0	0.37	0.19	0.35	2.42	0.27	303.02	0.0	0.25
TraesCS2A03G1032300	0.11	0.17	0.07	0.0	0.0	1.21	0.0	283.01	0.0	0.0
TraesCS3B03G0864600	0.22	0.0	0.97	0.1	0.35	1.21	0.27	305.88	0.94	1.5
TraesCS3B03G1268400	0.11	0.0	0.37	0.1	0.17	1.21	0.27	341.14	0.94	0.0
TraesCS3B03G1464500	0.0	0.17	0.15	0.19	0.0	0.0	0.27	209.64	0.0	0.0
TraesCS3B03G1464600	0.0	0.0	0.22	0.29	0.17	1.21	0.09	226.79	0.0	0.5
TraesCS7D03G0226600	0.22	0.35	0.22	0.0	0.17	1.21	0.18	642.26	0.47	0.25
