Unnamed: 0	Details	Experimental information
Biological material	Species 	Wheat (Triticum aestivum)
	Accession	(Chinese Spring)
	Genotype	(Chinese Spring)
	Tissue type	Root apical meristems 
	Detailed growth conditions	Seeds were pre-soaked in milli-Q water for 4 days in the dark at 4 °C, followed by 10-min treatment at 50 °C in a water bath. Seeds were then transferred onto a MS (Murashige and Skoog) medium plate, grown in a tissue culture room (24 °C,  06.00-22.00 light). After germination, seeds were transferred to soil (Jiffy) in a growth room (20 °C,  06.00-22.00 light). 
	Harvest conditions	Soil-grown root meristem were cleaned and cut at ~ 0.5 cm from the tip at room temperature 
Sample preparation	Isolation protocol 	Root tips were digested for 1.5 hours in enzyme buffer (0.4 M mannitol, 20 mM MeS, 20 mM KCl, 1.25% Cellulase RS (Yakult), 1.25% Cellulase R10 (Yakult), 0.3% Macerozyme R10 (Yakult), 0.12% Pectolyase Y-23 (Yakult), 10 mM CaCl2, 0.1% BSA, 0.018% beta-mercaptoethanol, pH = 5.7, the enzyme buffer were pre-heated at 60 °C for 10 minutes, cool down to room temperature before use) with gentle shaking at room temperature.
	Tissue dissection 	~0.5 cm root tips cut using a scalpel
	Fixation	
	Cell/nuclei enrichment 	LeviCell magnetic enrichment
	Total sample preparation time	2.5-3 hours
	Estimated cell number loaded	5000
	Instrument/Method/Kit	Chromium/Droplet-based microfluidics/NextGEM 3’ v3.1
	Cell viability test	Cell viability test was done prior to real experiment using Trypan blue staining, overall viability rate is >70%
Libraries	Library construction	According to manufacturer’s instructions (CG000204 Rev D). 
	Amplification method	12 cycles were used for cDNA amplification and 14 for index PCR.
	End bias	3′-end
Sequence results	Instrument/method	NovaSeq6000
	Library layout/paired-end	Single index
	N° sequenced reads	Replicate 1: 109,940,346
		Replicate 2: 254,070,158
		Replicate 3: 187,087,696
		
		
Raw data	Reference genome	IWGSC CS RefSeq v2.1
	Annotation version	IWGSC CS RefSeq v2.1.gtf
	Mapping method (incl. software, customized settings)	STAR (cellranger 6.0.0)
	Mapping efficiency	Sample 1: 89.8%
		Sample 2: 64.9%
		Sample 3: 55.1%
	Sequencing saturation	Sample 1: 42.5%
		Sample 2: 35.7%
		Sample 3: 25.7%
	Estimation of ambient RNA	Fraction Reads in Cell: 
		Sample 1: 67.3%
		Sample 2: 69.6%
		Sample 3: 46.8%
	Imputation method and settings	
Processed data	N° captured cells	Sample 1: 1,784
		Sample 2: 3,303
		Sample 3: 2,770
	N° high quality cells 	7,388 in total
	Filter criteria: % mitochondrial reads/cell 	0.1
	Filter criteria: % chloroplast reads/cell 	0.05
		
	Filter criteria: Minimum N° UMI/cell 	 800
	N° total detected transcripts	78115
	Doublet rate	Sample 1: 1.13%
		Sample 2: 2.37%
		Sample 3: 1.89%
	Replicate comparisons	See Figure S1B
	Batch correction method for merging (incl. reasoning for batch correction)	Harmony (replicates were prepared independently at different days)
	Additional processing 	
Validation	Method of automatic annotation of clusters 	Cross-species orthology-based mapping approach
		
	Method of manual annotation (markers, gene function info)	
	Verification in planta (e.g. Number of markers used for validation)	Untargeted Spatial Transcriptomics 
Data availability	Analysis scripts & codes (GitHub)	Available at GitHub repository: https://github.com/VIB-PSB/wheat_root_atlas.
	Excel Tables DEG for each cluster	See Table S4
	Objects/count matrix in repository (which one, where?)	Accessible at NCBI with GEO number GSE270342
	On-line tool/browser URL	Accessible at www.single-cell.be/plant
	Cell-level metadata table	
Additional	additional comments from the authors	 N/A
