group	file_id	file_name	metric	value	status
animals	1260807at2759	1260807at2759.faa.mafft	relative_composition_variability	0.112	ok
animals	1454155at2759	1454155at2759.faa.mafft	relative_composition_variability	0.1502	ok
animals	1065019at2759	1065019at2759.faa.mafft	relative_composition_variability	0.1178	ok
animals	1593937at2759	1593937at2759.faa.mafft	relative_composition_variability	0.0	ok
animals	160593at2759	160593at2759.faa.mafft	relative_composition_variability	0.0575	ok
animals	1287094at2759	1287094at2759.faa.mafft	relative_composition_variability	0.1215	ok
animals	1504863at2759	1504863at2759.faa.mafft	relative_composition_variability	0.1426	ok
animals	1041560at2759	1041560at2759.faa.mafft	relative_composition_variability	0.108	ok
animals	369837at2759	369837at2759.faa.mafft	relative_composition_variability	0.1123	ok
animals	290630at2759	290630at2759.faa.mafft	relative_composition_variability	0.0847	ok
animals	1430056at2759	1430056at2759.faa.mafft	relative_composition_variability	0.0	ok
animals	1161199at2759	1161199at2759.faa.mafft	relative_composition_variability	0.1485	ok
animals	891751at2759	891751at2759.faa.mafft	relative_composition_variability	0.1713	ok
animals	865202at2759	865202at2759.faa.mafft	relative_composition_variability	0.0675	ok
animals	1626636at2759	1626636at2759.faa.mafft	relative_composition_variability	0.0879	ok
animals	1248958at2759	1248958at2759.faa.mafft	relative_composition_variability	0.0749	ok
animals	1107630at2759	1107630at2759.faa.mafft	relative_composition_variability	0.0	ok
animals	855834at2759	855834at2759.faa.mafft	relative_composition_variability	0.0967	ok
animals	768809at2759	768809at2759.faa.mafft	relative_composition_variability	0.0	ok
animals	142542at2759	142542at2759.faa.mafft	relative_composition_variability	0.0	ok
animals	1314980at2759	1314980at2759.faa.mafft	relative_composition_variability	0.0	ok
animals	1111142at2759	1111142at2759.faa.mafft	relative_composition_variability	0.1152	ok
animals	1079130at2759	1079130at2759.faa.mafft	relative_composition_variability	0.0943	ok
animals	1563319at2759	1563319at2759.faa.mafft	relative_composition_variability	0.0	ok
animals	736068at2759	736068at2759.faa.mafft	relative_composition_variability	0.0	ok
animals	1355894at2759	1355894at2759.faa.mafft	relative_composition_variability	0.1317	ok
animals	166920at2759	166920at2759.faa.mafft	relative_composition_variability	0.0	ok
animals	878143at2759	878143at2759.faa.mafft	relative_composition_variability	0.0	ok
animals	1434266at2759	1434266at2759.faa.mafft	relative_composition_variability	0.1444	ok
animals	1490022at2759	1490022at2759.faa.mafft	relative_composition_variability	0.0	ok
animals	296129at2759	296129at2759.faa.mafft	relative_composition_variability	0.0513	ok
animals	1405073at2759	1405073at2759.faa.mafft	relative_composition_variability	0.0993	ok
animals	944899at2759	944899at2759.faa.mafft	relative_composition_variability	0.0827	ok
animals	1382842at2759	1382842at2759.faa.mafft	relative_composition_variability	0.1534	ok
animals	543764at2759	543764at2759.faa.mafft	relative_composition_variability	0.1358	ok
animals	621827at2759	621827at2759.faa.mafft	relative_composition_variability	0.0791	ok
animals	1049599at2759	1049599at2759.faa.mafft	relative_composition_variability	0.0723	ok
animals	1223488at2759	1223488at2759.faa.mafft	relative_composition_variability	0.0	ok
animals	1405146at2759	1405146at2759.faa.mafft	relative_composition_variability	0.1174	ok
animals	976469at2759	976469at2759.faa.mafft	relative_composition_variability	0.1221	ok
animals	844748at2759	844748at2759.faa.mafft	relative_composition_variability	0.1453	ok
animals	777920at2759	777920at2759.faa.mafft	relative_composition_variability	0.0811	ok
animals	981902at2759	981902at2759.faa.mafft	relative_composition_variability	0.089	ok
animals	1001705at2759	1001705at2759.faa.mafft	relative_composition_variability	0.0	ok
animals	1432328at2759	1432328at2759.faa.mafft	relative_composition_variability	0.0962	ok
animals	1236198at2759	1236198at2759.faa.mafft	relative_composition_variability	0.0	ok
animals	513979at2759	513979at2759.faa.mafft	relative_composition_variability	0.0	ok
animals	905026at2759	905026at2759.faa.mafft	relative_composition_variability	0.0957	ok
animals	1645187at2759	1645187at2759.faa.mafft	relative_composition_variability	0.1485	ok
animals	1440961at2759	1440961at2759.faa.mafft	relative_composition_variability	0.0	ok
animals	1112002at2759	1112002at2759.faa.mafft	relative_composition_variability	0.1319	ok
animals	1194797at2759	1194797at2759.faa.mafft	relative_composition_variability	0.0853	ok
animals	834694at2759	834694at2759.faa.mafft	relative_composition_variability	0.0	ok
animals	1157302at2759	1157302at2759.faa.mafft	relative_composition_variability	0.058	ok
animals	306227at2759	306227at2759.faa.mafft	relative_composition_variability	0.0725	ok
animals	1128607at2759	1128607at2759.faa.mafft	relative_composition_variability	0.0496	ok
animals	156083at2759	156083at2759.faa.mafft	relative_composition_variability	0.0158	ok
animals	1258856at2759	1258856at2759.faa.mafft	relative_composition_variability	0.1078	ok
animals	1338131at2759	1338131at2759.faa.mafft	relative_composition_variability	0.1138	ok
animals	1194691at2759	1194691at2759.faa.mafft	relative_composition_variability	0.0814	ok
