sample	population	log_likelihood
Sample1	AFR	-64009.707793
Sample1	MID	-86337.267792
Sample1	SAS	-92555.739986
Sample1	EUR	-98849.874983
Sample1	EAS	-113117.623709
Sample1	OCE	-162514.502327
Sample2	AFR	-64481.046332
Sample2	MID	-83114.300235
Sample2	SAS	-89807.435823
Sample2	EUR	-96255.818790
Sample2	EAS	-109279.711705
Sample2	OCE	-155715.970270
Sample3	SAS	-61864.679081
Sample3	MID	-65723.922447
Sample3	EUR	-66404.005532
Sample3	AFR	-71661.203103
Sample3	EAS	-73854.725133
Sample3	OCE	-123510.430700
Sample4	EUR	-62243.152351
Sample4	SAS	-63223.746362
Sample4	MID	-64363.964808
Sample4	AFR	-72296.607489
Sample4	EAS	-76149.933287
Sample4	OCE	-126138.686470
summary	used_variants	92958
summary	AFR_af_records	101985
summary	EAS_af_records	101985
summary	EUR_af_records	101985
summary	MID_af_records	101985
summary	OCE_af_records	101985
summary	SAS_af_records	101985
summary	AFR_missing_variants	21292
summary	EAS_missing_variants	0
summary	EUR_missing_variants	0
summary	MID_missing_variants	0
summary	OCE_missing_variants	0
summary	SAS_missing_variants	0
