X_pca1	X_pca2	X_pca3	X_pca4	X_pca5	X_pca6	X_pca7	X_pca8	X_pca9	X_pca10	X_pca11	X_pca12	X_pca13	X_pca14	X_pca15	X_pca16	X_pca17	X_pca18	X_pca19	X_pca20	X_pca21	X_pca22	X_pca23	X_pca24	X_pca25	X_pca26	X_pca27	X_pca28	X_pca29	X_pca30	X_pca31	X_pca32	X_pca33	X_pca34	X_pca35	X_pca36	X_pca37	X_pca38	X_pca39	X_pca40	X_pca41	X_pca42	X_pca43	X_pca44	X_pca45	X_pca46	X_pca47	X_pca48	X_pca49	X_pca50	X_umap1	X_umap2
4.8255277	-3.464718	9.149809	6.924611	-6.4423895	-0.24317445	0.54992944	-0.80575955	0.72392493	-1.0702981	-0.5499727	-0.51450884	1.4341177	0.38306397	-0.8557217	-0.9202786	-0.90563524	-0.42171943	0.91796356	-2.1361012	-0.46749616	-1.7209775	1.7823645	0.846902	-0.7113298	0.6821233	0.48239893	-1.266852	-0.10669009	1.632929	-0.11045569	-0.037885718	0.32964382	0.093838245	1.7431593	-0.68393046	1.455449	0.09517212	-1.211516	2.4356148	0.77848786	-2.221531	-0.26939926	-0.36679584	0.80034494	-1.6972328	-1.5075375	0.98431575	-0.22263756	0.85990554	-10.034500539163094	-1.4544064521666311
3.099332	-5.9531145	3.50292	-0.7439162	7.3927574	-0.52521175	1.33294	0.28947797	0.57701975	0.059238415	1.1005234	-1.4291997	0.1772842	-0.47311303	-0.10933511	-0.3600691	1.6238792	0.14024809	1.0869695	0.58116627	1.7343537	1.5170375	1.1179725	0.7277454	-0.5251388	1.728087	-1.6272279	-0.011734848	0.6867501	0.08832952	1.6415417	-0.6060076	-0.5653932	0.7755793	0.27256235	-0.7253247	0.66348577	0.44385028	-1.6086917	-1.0111514	-0.5727578	0.4571348	-0.40240228	0.42848992	-1.6613581	-0.40287387	2.671187	0.929492	-1.1102965	1.9942671	-11.648347445690321	-6.321624540011493
4.150294	-2.2191858	2.1063209	-3.179855	2.8622408	-1.6518176	2.0839193	-0.0036313587	-0.9924509	-1.153434	-2.18408	0.30687225	-3.4197805	1.1827447	0.19601467	4.325222	5.2850738	-1.3658129	-1.4458617	0.124105	2.3663125	-0.40981102	-2.1873538	-1.2934526	1.2813939	-0.63322145	0.5250201	-0.808997	6.82985	2.5271103	-0.9711935	-2.1507988	-0.3353221	1.7316083	4.053925	4.9388022	-3.1393406	1.0847329	-2.0295951	3.7781732	3.05806	-0.73092914	2.5756836	-1.8530546	-0.22988197	0.3761086	0.5012288	0.11134639	0.2443823	0.46723056	-8.560664347288409	-5.948147603893263
2.7869527	-6.4537287	4.8353024	-0.44074357	9.76142	-0.2249846	1.6205878	-0.2883866	-0.73456967	0.9487974	1.3849705	-2.6319718	-0.58293486	-1.1394354	0.6087619	-2.5893438	0.53720164	-0.69299424	-0.02805795	1.7957621	-0.06828146	-2.4908354	2.1264644	-0.36957812	2.5180728	2.3237224	-1.7955021	0.55335873	-0.46044368	-0.66958	-0.040817365	-2.1230004	0.12389615	-0.77193886	-2.2483742	-1.4974403	0.31470516	-1.0789505	1.499178	-0.8210727	1.0447227	0.469961	-0.49380034	-0.9217861	0.08806213	-2.1189547	-0.64492005	0.46119043	2.676042	1.079538	-12.49310537163748	-5.941935886365315
6.206444	-4.6861696	13.477102	11.644012	-10.876034	0.25759184	-3.5563188	-0.22187342	0.47549033	-1.7598927	-1.3216004	-1.5838852	-1.9816723	-2.5245302	1.5354812	0.030176735	1.003784	-0.8851227	-1.065149	0.34366244	0.06460594	-0.44257852	0.6176735	0.2841101	3.3841045	-0.52354807	-0.2771693	1.0054008	2.3627808	-0.70701617	-1.6017296	0.20804106	1.1658639	-0.4507042	-0.57561356	-0.020586448	-0.72767663	-0.84434897	1.1185924	-0.23965643	-0.94295484	-0.35077044	0.1152239	-1.0367227	1.459595	-1.1105925	-0.71133065	-1.1436846	-0.25340706	2.392212	-10.424513570202432	-0.45153841955712953
4.0660887	-2.7400556	4.755658	3.5190861	-3.1124978	0.85147345	4.4617367	-0.94462365	1.3001171	0.6548945	-1.9866741	-1.8516735	1.7432752	-0.5069027	-1.8928847	-0.39381278	-0.44091004	-0.4162882	1.1446085	-0.6097156	0.75912285	-0.88216144	0.24001229	0.6088754	1.4887422	-0.04506417	1.2222391	0.5099952	1.0245304	1.7165748	-0.5059182	0.3172592	-0.2917535	-0.4983675	-0.50144875	-1.3144118	0.28807735	-1.4940833	-0.51486677	1.5095311	-0.08299851	-0.859937	0.6513386	0.15409948	-2.1672132	-0.40065765	-1.226617	1.4879626	-0.23900653	1.0541133	-9.51443429777997	-2.447760538184214
2.6003127	-5.766784	4.7768335	0.3549027	6.695732	-0.98397493	1.55835	0.6618882	0.42424628	0.16491477	0.5316921	-0.4317313	0.8270117	-0.27673507	1.0850135	-1.1520691	0.222077	0.42709613	1.1716331	1.237656	1.1930151	0.31271023	0.0037942482	-0.06750703	-1.3916738	1.315068	-1.3244934	0.89226407	-0.19125476	0.49026832	-0.48111978	-0.75680494	0.38359872	0.97321093	-0.07596965	-0.47969037	-0.5134292	0.5028059	-1.5195936	-0.99990696	-0.768392	-0.045232106	0.84381354	-0.94379735	-0.24600582	0.07660643	-0.1869195	1.7123021	-1.3156909	-0.6433108	-11.52668188231339	-6.087179199133794
1.7715884	-5.055208	2.4865096	-0.9909373	5.8404975	0.5523678	-0.44214645	0.11764122	0.95182157	0.111379914	0.7899613	-0.9852326	-0.16298164	-1.2453406	-1.4731976	1.5701536	0.9783109	0.335904	-0.996581	-0.3680035	1.2981042	0.8774509	0.32503772	-1.4377772	-1.1252884	0.0461987	2.060648	0.11882689	1.5492373	-1.5024998	-2.8167543	2.9366744	-0.37342966	0.5195342	1.3236746	0.95555097	-1.7132989	1.7280499	-1.3628676	1.7858403	0.94355005	0.49353647	0.74862397	0.16062321	0.13331142	-0.22946164	-0.14402246	-0.9361474	-2.1179109	0.3285084	-11.07246228822172	-5.829075980131555
1.960136	-6.7000365	3.4091008	-0.18676434	9.328906	-0.98304933	0.47121486	-1.0255523	0.21390699	0.83225524	1.773164	-3.288877	-1.726376	-3.2852674	0.24707115	0.8675809	0.6070339	0.3286339	0.7607957	0.8877734	1.5773653	0.56071675	0.44736305	0.8929129	-1.1186452	-0.16488947	0.20682223	0.28247717	-0.8971906	-2.0183582	0.8409964	0.13883129	0.7003785	-1.4295754	0.7512895	-1.8171543	-0.49176678	-1.3720282	-0.36451507	-2.184276	0.8126342	-3.1741786	1.3150011	-1.8068855	1.4217896	0.05520859	-0.14509751	-0.40293407	-0.50144404	-0.47976702	-11.657945497684057	-6.349223922004766
3.544569	-7.487261	3.218146	-1.4923619	10.190578	-0.05727124	-0.7844122	2.4977078	2.340802	-0.14615467	2.5980163	-0.5167679	-0.067298286	-0.31397748	-0.6663922	-3.927628	2.4443607	-1.3890083	5.339759	4.258379	-3.9485295	-3.0595176	-0.792705	-0.28761324	6.434962	1.108213	3.343929	0.796257	-2.1189234	1.2565856	1.2023935	-1.7351005	-0.6974466	-1.5188832	0.6663305	-0.39544827	3.0379596	-1.8490279	1.2849826	2.5827885	0.7440242	2.0329528	1.6224179	-4.335041	-0.6416657	3.3445222	-1.4046276	-3.1327136	1.4853085	-2.4206722	-12.379183648691601	-6.0047848208903725
