component	detail	trainable_parameters
conv_dna	4->512, k=15, bias	31232
res_tower	repeat 1: 512->608, k=5, BN+bias	1558112
res_tower	repeat 2: 608->736, k=5, BN+bias	2239392
res_tower	repeat 3: 736->896, k=5, BN+bias	3299648
res_tower	repeat 4: 896->1056, k=5, BN+bias	4733728
res_tower	repeat 5: 1056->1280, k=5, BN+bias	6761792
res_tower	repeat 6: 1280->1536, k=5, BN+bias	9834496
transformer_tower	repeat 1: channels=1536, heads=8, key=64, MHA+LN+FFN	15758336
transformer_tower	repeat 2: channels=1536, heads=8, key=64, MHA+LN+FFN	15758336
transformer_tower	repeat 3: channels=1536, heads=8, key=64, MHA+LN+FFN	15758336
transformer_tower	repeat 4: channels=1536, heads=8, key=64, MHA+LN+FFN	15758336
transformer_tower	repeat 5: channels=1536, heads=8, key=64, MHA+LN+FFN	15758336
transformer_tower	repeat 6: channels=1536, heads=8, key=64, MHA+LN+FFN	15758336
transformer_tower	repeat 7: channels=1536, heads=8, key=64, MHA+LN+FFN	15758336
transformer_tower	repeat 8: channels=1536, heads=8, key=64, MHA+LN+FFN	15758336
unet_conv	block 1: current 4096x1536; skip res_tower repeat 6 output 8192x1536	7093248
unet_conv	block 2: current 8192x1536; skip res_tower repeat 5 output 16384x1280	6699520
Cropping1D	no trainable weights	0
conv_nac	1536->1920, k=1, BN+bias	2954112
head_human	1920->7611, dense+bias	14620731
head_mouse	1920->2608, dense+bias	5009968
SUMMARY	trunk (shared)	171271968
SUMMARY	human head	14620731
SUMMARY	mouse head	5009968
SUMMARY	all trainable parameters (shared trunk + both heads)	190902667
CHECK	res_tower filter progression	608,736,896,1056,1280,1536
CHECK	output heads	7611,2608
