group	file_id	file_name	metric	value	status
fungi	1108845at2759	1108845at2759.faa.mafft.clipkit.treefile	treeness	0.0	ok
fungi	160593at2759	160593at2759.faa.mafft.clipkit.treefile	treeness	0.0444	ok
fungi	751335at2759	751335at2759.faa.mafft.clipkit.treefile	treeness	0.0479	ok
fungi	1428854at2759	1428854at2759.faa.mafft.clipkit.treefile	treeness	0.0693	ok
fungi	345441at2759	345441at2759.faa.mafft.clipkit.treefile	treeness	0.0	ok
fungi	1128607at2759	1128607at2759.faa.mafft.clipkit.treefile	treeness	0.0518	ok
fungi	956854at2759	956854at2759.faa.mafft.clipkit.treefile	treeness	0.0	ok
fungi	543764at2759	543764at2759.faa.mafft.clipkit.treefile	treeness	0.0548	ok
fungi	911863at2759	911863at2759.faa.mafft.clipkit.treefile	treeness	0.0589	ok
fungi	777920at2759	777920at2759.faa.mafft.clipkit.treefile	treeness	0.039	ok
fungi	261328at2759	261328at2759.faa.mafft.clipkit.treefile	treeness	0.0	ok
fungi	1038775at2759	1038775at2759.faa.mafft.clipkit.treefile	treeness	0.0	ok
fungi	1233814at2759	1233814at2759.faa.mafft.clipkit.treefile	treeness	0.0202	ok
fungi	1454155at2759	1454155at2759.faa.mafft.clipkit.treefile	treeness	0.0566	ok
fungi	1459797at2759	1459797at2759.faa.mafft.clipkit.treefile	treeness	0.0647	ok
fungi	1079130at2759	1079130at2759.faa.mafft.clipkit.treefile	treeness	0.0707	ok
fungi	858842at2759	858842at2759.faa.mafft.clipkit.treefile	treeness	0.0	ok
fungi	1322642at2759	1322642at2759.faa.mafft.clipkit.treefile	treeness	0.0	ok
fungi	761109at2759	761109at2759.faa.mafft.clipkit.treefile	treeness	0.0382	ok
fungi	1076134at2759	1076134at2759.faa.mafft.clipkit.treefile	treeness	0.053	ok
fungi	1407446at2759	1407446at2759.faa.mafft.clipkit.treefile	treeness	0.0055	ok
fungi	39650at2759	39650at2759.faa.mafft.clipkit.treefile	treeness	0.0462	ok
fungi	1096688at2759	1096688at2759.faa.mafft.clipkit.treefile	treeness	0.0842	ok
fungi	996662at2759	996662at2759.faa.mafft.clipkit.treefile	treeness	0.0539	ok
fungi	1379600at2759	1379600at2759.faa.mafft.clipkit.treefile	treeness	0.0332	ok
fungi	1364586at2759	1364586at2759.faa.mafft.clipkit.treefile	treeness	0.0	ok
fungi	1257440at2759	1257440at2759.faa.mafft.clipkit.treefile	treeness	0.0523	ok
fungi	817008at2759	817008at2759.faa.mafft.clipkit.treefile	treeness	0.0381	ok
fungi	674160at2759	674160at2759.faa.mafft.clipkit.treefile	treeness	0.0233	ok
fungi	1442062at2759	1442062at2759.faa.mafft.clipkit.treefile	treeness	0.1227	ok
fungi	1112002at2759	1112002at2759.faa.mafft.clipkit.treefile	treeness	0.0322	ok
fungi	450058at2759	450058at2759.faa.mafft.clipkit.treefile	treeness	0.076	ok
fungi	1358374at2759	1358374at2759.faa.mafft.clipkit.treefile	treeness	0.0309	ok
