# rows	295420
# flank_bp	50000
# panel_type	holdout marker panels, within-marker z scores

[panel_assignment_scores]
observed_column	AIIamacrine	Astrocyte	Cone	GABAamacrine	Horizontal	Microglia	Mullerglia	Retinalganglioncell	Rod
AIIamacrine	0.053653	-0.112974	-0.158176	0.587887	-0.113543	-0.228119	-0.577512	1.137301	-0.588517
Astrocyte	-0.236566	0.359310	-0.209039	-0.429530	0.217055	-0.276829	0.200398	-0.032664	0.407865
Cone	-0.644571	-0.149168	0.448845	-0.467678	0.025141	-0.073787	-0.049201	-0.367323	1.277741
GABAamacrine	-0.390550	0.621573	0.326513	0.747687	-0.414033	-0.034011	-0.584289	0.987659	-1.260548
Horizontal	0.245747	0.390802	0.134501	-0.468804	0.265160	-0.037275	0.488880	-0.596340	-0.422671
Microglia	-0.514345	-0.057913	0.223442	-0.541120	-0.260087	1.568531	-0.074777	-0.772173	0.428441
Mullerglia	-0.503362	1.504284	-0.385788	0.023102	-0.373517	-0.283743	0.095098	0.527592	-0.603665
Retinalganglioncell	-0.282917	0.030654	0.079736	-0.046368	-0.272539	-0.314713	-0.182434	1.305507	-0.316926
Rod	-0.938680	0.043268	1.033248	-0.862737	-0.350922	0.212850	0.160491	-1.262732	1.965213

[assignment_summary]
identity_total	6.809004
best_assignment_total	8.299655
best_assignment	AIIamacrine->AIIamacrine,Astrocyte->Horizontal,Cone->Cone,GABAamacrine->GABAamacrine,Horizontal->Mullerglia,Microglia->Microglia,Mullerglia->Astrocyte,Retinalganglioncell->Retinalganglioncell,Rod->Rod
best_single_swap_total	8.059278
best_single_swap	Astrocyte<->Mullerglia, observed columns
identity_minus_best	-1.490652

[expected_column_ranks]
expected_type	identity_score	best_observed_column	best_score	identity_rank
AIIamacrine	0.053653	Retinalganglioncell	1.137301	3
Astrocyte	0.359310	Rod	0.407865	2
Cone	0.448845	Rod	1.277741	2
GABAamacrine	0.747687	Retinalganglioncell	0.987659	2
Horizontal	0.265160	Mullerglia	0.488880	3
Microglia	1.568531	Microglia	1.568531	1
Mullerglia	0.095098	Astrocyte	1.504284	3
Retinalganglioncell	1.305507	Retinalganglioncell	1.305507	1
Rod	1.965213	Rod	1.965213	1

[holdout_marker_values]
expected_type	marker	bins_hit	AIIamacrine	Astrocyte	Cone	GABAamacrine	Horizontal	Microglia	Mullerglia	Retinalganglioncell	Rod
AIIamacrine	GPR149	21	0.837891	0.831275	0.835295	0.891282	0.906803	0.808128	0.736752	1.659282	0.705082
AIIamacrine	SLC12A5	15	2.969342	2.915440	3.536407	2.995147	2.834477	3.143892	2.860956	2.663930	3.516731
AIIamacrine	KCNQ5	66	0.703824	0.762097	0.330225	1.053386	0.795192	0.554624	0.550071	0.975513	0.226874
AIIamacrine	PDE1A	50	0.731403	0.563540	0.384564	0.855434	0.533069	0.468990	0.439775	1.062282	0.192887
Astrocyte	PTPRZ1	30	1.248926	1.258037	0.496229	1.205024	1.644040	0.877977	1.221648	0.838019	0.382407
Astrocyte	AGT	16	1.947920	1.990014	2.229877	1.793091	1.901033	1.820181	2.006739	1.854127	2.455148
Astrocyte	HES5	12	3.462808	3.515153	3.552114	3.266655	3.585555	3.718649	3.723434	3.302778	4.054773
Astrocyte	SPARCL1	17	1.222398	1.714478	1.298523	1.472712	1.341777	1.301817	1.318431	2.008117	1.151814
Cone	KCNV2	13	1.964061	1.920175	3.010977	1.714365	1.840529	2.057824	1.947442	1.624145	3.073352
Cone	CABP5	13	1.700660	2.072634	2.210213	1.689740	1.806379	2.250131	2.171721	1.593378	3.196110
Cone	PITPNC1	43	1.790477	2.448182	1.692082	1.947518	2.537398	2.128219	2.385093	1.861368	2.292955
Cone	UNC119	12	2.755447	2.847473	3.474941	2.788108	2.983129	3.077880	2.920725	2.652202	3.743151
Cone	GUCA1A	12	2.134824	2.337020	3.491122	1.955787	2.150953	2.492111	2.365148	2.537078	3.463946
Cone	SLC17A8	18	0.911410	0.752031	0.669770	1.225944	1.101494	0.730597	0.819553	1.367756	0.648939
GABAamacrine	SLC6A1	15	1.777807	2.059609	1.161722	2.588385	1.552452	1.695059	2.257340	1.784809	0.957178
GABAamacrine	GABRA1	16	0.818561	0.499157	0.498114	1.327729	0.655660	0.648137	0.283481	1.343219	0.263640
GABAamacrine	DLX5	11	0.884114	1.227970	1.279189	1.017341	0.948994	1.070662	0.906411	1.179835	0.932297
GABAamacrine	DLX6	12	0.921732	1.170674	1.214608	0.996480	0.968090	1.018035	0.852835	1.189099	0.835332
Horizontal	FOXN4	14	1.721375	1.632444	1.709453	1.640637	2.089605	1.649440	1.933488	1.430659	2.038602
Horizontal	EYA2	40	1.849427	1.545034	2.025935	1.222082	1.124284	1.402528	1.129675	1.541935	1.071412
Horizontal	LHX2	14	1.508088	2.723075	0.957077	1.656595	1.855576	2.111518	2.800754	1.421677	0.761597
Microglia	FCER1G	12	2.653267	2.741283	2.675766	2.635922	2.725860	2.948968	2.570035	2.552948	2.858301
Microglia	CTSS	14	1.334997	1.454353	1.707047	1.407930	1.358300	1.754771	1.520196	1.517792	1.882401
Microglia	COTL1	16	2.285276	2.819987	3.303561	2.385458	2.399236	2.687505	2.583574	2.099084	2.579196
Microglia	LILRB1	13	0.650400	0.385166	0.377943	0.404630	0.855143	1.627980	0.427724	0.598804	0.436591
Microglia	CD68	12	3.119786	3.332198	3.255308	3.061025	3.075298	3.430708	3.411195	2.822941	3.599719
Microglia	ITGAX	14	1.115703	1.111599	1.419691	0.993269	1.196086	2.017075	1.085903	1.011775	1.480907
Microglia	P2RY13	11	1.071601	1.050473	0.592003	1.324550	1.122181	1.862499	1.624466	1.237942	0.257159
Mullerglia	SLC4A4	62	0.694589	1.536293	0.466956	1.213217	0.544856	0.646973	0.779798	1.899747	0.330999
Mullerglia	CLDN11	15	1.465245	2.207295	1.398560	1.546651	1.473101	1.129042	0.968067	1.384977	0.840371
Mullerglia	LIFR	24	1.477690	2.150063	1.990628	1.644713	1.550443	1.734239	1.905313	2.025609	2.306568
Mullerglia	LHX2	14	1.508088	2.723075	0.957077	1.656595	1.855576	2.111518	2.800754	1.421677	0.761597
Retinalganglioncell	GPM6A	48	1.602137	1.575715	1.216012	1.698341	1.659015	1.238321	1.729465	1.449648	0.491092
Retinalganglioncell	GDF10	12	2.269392	2.516599	3.209451	2.435474	2.240039	2.632292	2.468576	1.831996	3.597387
Retinalganglioncell	SLC17A6	15	0.618471	0.414385	0.445930	0.671080	0.570442	0.488238	0.346825	1.984442	0.351073
Retinalganglioncell	EBF3	25	1.153575	1.297745	1.516794	1.167239	1.135008	1.286235	1.401158	2.445595	1.577466
Retinalganglioncell	ADCYAP1	12	0.668048	1.153365	0.826831	0.848982	0.710523	0.678404	0.536882	1.904825	0.519090
