group	file_id	file_name	metric	value	status
archive	1108845at2759	1108845at2759.faa.mafft.clipkit.treefile	treeness	0.0	ok
archive	160593at2759	160593at2759.faa.mafft.clipkit.treefile	treeness	0.0444	ok
archive	751335at2759	751335at2759.faa.mafft.clipkit.treefile	treeness	0.0479	ok
archive	1428854at2759	1428854at2759.faa.mafft.clipkit.treefile	treeness	0.0693	ok
archive	345441at2759	345441at2759.faa.mafft.clipkit.treefile	treeness	0.0	ok
archive	1128607at2759	1128607at2759.faa.mafft.clipkit.treefile	treeness	0.0518	ok
archive	956854at2759	956854at2759.faa.mafft.clipkit.treefile	treeness	0.0	ok
archive	543764at2759	543764at2759.faa.mafft.clipkit.treefile	treeness	0.0548	ok
archive	911863at2759	911863at2759.faa.mafft.clipkit.treefile	treeness	0.0589	ok
archive	777920at2759	777920at2759.faa.mafft.clipkit.treefile	treeness	0.039	ok
archive	261328at2759	261328at2759.faa.mafft.clipkit.treefile	treeness	0.0	ok
archive	1038775at2759	1038775at2759.faa.mafft.clipkit.treefile	treeness	0.0	ok
archive	1233814at2759	1233814at2759.faa.mafft.clipkit.treefile	treeness	0.0202	ok
archive	1454155at2759	1454155at2759.faa.mafft.clipkit.treefile	treeness	0.0566	ok
archive	1459797at2759	1459797at2759.faa.mafft.clipkit.treefile	treeness	0.0647	ok
archive	1079130at2759	1079130at2759.faa.mafft.clipkit.treefile	treeness	0.0707	ok
archive	858842at2759	858842at2759.faa.mafft.clipkit.treefile	treeness	0.0	ok
archive	1322642at2759	1322642at2759.faa.mafft.clipkit.treefile	treeness	0.0	ok
archive	761109at2759	761109at2759.faa.mafft.clipkit.treefile	treeness	0.0382	ok
archive	1076134at2759	1076134at2759.faa.mafft.clipkit.treefile	treeness	0.053	ok
archive	1407446at2759	1407446at2759.faa.mafft.clipkit.treefile	treeness	0.0055	ok
archive	39650at2759	39650at2759.faa.mafft.clipkit.treefile	treeness	0.0462	ok
archive	1096688at2759	1096688at2759.faa.mafft.clipkit.treefile	treeness	0.0842	ok
archive	996662at2759	996662at2759.faa.mafft.clipkit.treefile	treeness	0.0539	ok
archive	1379600at2759	1379600at2759.faa.mafft.clipkit.treefile	treeness	0.0332	ok
archive	1364586at2759	1364586at2759.faa.mafft.clipkit.treefile	treeness	0.0	ok
archive	1257440at2759	1257440at2759.faa.mafft.clipkit.treefile	treeness	0.0523	ok
archive	817008at2759	817008at2759.faa.mafft.clipkit.treefile	treeness	0.0381	ok
archive	674160at2759	674160at2759.faa.mafft.clipkit.treefile	treeness	0.0233	ok
archive	1442062at2759	1442062at2759.faa.mafft.clipkit.treefile	treeness	0.1227	ok
archive	1112002at2759	1112002at2759.faa.mafft.clipkit.treefile	treeness	0.0322	ok
archive	450058at2759	450058at2759.faa.mafft.clipkit.treefile	treeness	0.076	ok
archive	1358374at2759	1358374at2759.faa.mafft.clipkit.treefile	treeness	0.0309	ok
archive	774318at2759	774318at2759.faa.mafft.clipkit.treefile	treeness	0.0386	ok
archive	1488436at2759	1488436at2759.faa.mafft.clipkit.treefile	treeness	0.0811	ok
archive	919955at2759	919955at2759.faa.mafft.clipkit.treefile	treeness	0.0392	ok
archive	604979at2759	604979at2759.faa.mafft.clipkit.treefile	treeness	0.0	ok
archive	1014314at2759	1014314at2759.faa.mafft.clipkit.treefile	treeness	0.056	ok
archive	779909at2759	779909at2759.faa.mafft.clipkit.treefile	treeness	0.123	ok
archive	1001705at2759	1001705at2759.faa.mafft.clipkit.treefile	treeness	0.0688	ok
archive	834694at2759	834694at2759.faa.mafft.clipkit.treefile	treeness	0.0782	ok
archive	1287401at2759	1287401at2759.faa.mafft.clipkit.treefile	treeness	0.0	ok
