1_40646927	92.85714286	1
1_46196872	90.47619048	1
12_13642320	0	12
13_12308321	90.32258065	13
13_3736564	7.407407407	13
14_1386395	91.66666667	14
17_1070282	8.695652174	17
17_188768	0	17
19_9120563	100	19
19_9120620	100	19
19_9120637	100	19
2_116468742	91.66666667	2
2_117573387	100	2
2_37020408	90.47619048	2
2_49444503	92.30769231	2
2_81870264	92.30769231	2
2_8323783	91.30434783	2
21_11140665	100	21
24_2749670	100	24
26_25563411	90.90909091	26
29_1566250	4.761904762	29
3_23119241	90.47619048	3
3_23189217	5.882352941	3
3_30120006	6.666666667	3
3_56600367	93.33333333	3
3_6066150	96.2962963	3
30_3287846	94.11764706	30
4_11910560	100	4
4_1463498	92.85714286	4
4_33847442	94.44444444	4
5_27392464	7.692307692	5
5_34748676	90.90909091	5
5_53016528	90.90909091	5
5_64310051	6.666666667	5
5_66763149	91.66666667	5
6_24592292	100	6
6_47665223	91.66666667	6
8_9171564	100	8
9_21813423	8.695652174	9
9_6402177	0	9
9_6402177	0	9
W_2504052	9.375	W
W_4046418	9.090909091	W
W_6344831	100	W
Z_26974244	5	Z
Z_44462205	0	Z
Z_44465174	100	Z
Z_58406842	90.90909091	Z
Z_60983727	0	Z
Z_75974597	100	Z
Z_75975270	0	Z
Z_75975872	100	Z
