strain	ratio	n	mean_area	mean_circularity	area_diff_from_strain1	circularity_diff_from_strain1	scaled_euclidean_distance	raw_euclidean_distance
TARGET_STRAIN_1		3	111959.66666666667	0.06133333333333333	0.0	0.0	0.0	0.0
287_98	5:1	3	118086.33333333333	0.06666666666666667	6126.666666666657	0.005333333333333336	0.11117026738573131	6126.666666668979
287_98	50:1	3	93919.0	0.09500000000000001	-18040.66666666667	0.033666666666666685	0.34544999258023384	18040.666666698085
287_98	3:1	3	89125.33333333333	0.08566666666666667	-22834.333333333343	0.02433333333333334	0.41758710402569355	22834.33333334631
287_98	2:1	3	87056.66666666667	0.09633333333333334	-24903.0	0.03500000000000001	0.4632011376308615	24903.000000024596
287_98	100:1	3	74453.66666666667	0.11133333333333333	-37506.0	0.049999999999999996	0.6948722336426151	37506.00000003333
287_98	4:1	3	152298.0	0.055	40338.33333333333	-0.00633333333333333	0.7206764728669015	40338.33333333382
287_98	10:1	3	184367.33333333334	0.042333333333333334	72407.66666666667	-0.018999999999999996	1.2948499400139335	72407.66666666916
287_98	1:1	3	43223.666666666664	0.19699999999999998	-68736.0	0.13566666666666666	1.326325249890863	68736.00000013389
287_98	1000:1	3	45435.333333333336	0.30233333333333334	-66524.33333333334	0.24100000000000002	1.4860947132754962	66524.33333376989
287_98	1:2	3	26811.333333333332	0.389	-85148.33333333334	0.32766666666666666	1.9457111095369033	85148.3333339638
287_98	1:3	3	18760.666666666668	0.6070000000000001	-93199.0	0.5456666666666667	2.618682515918296	93199.00000159741
287_98	500:1	3	10046.333333333334	0.8186666666666667	-101913.33333333334	0.7573333333333333	3.3445815235283876	101913.33333614726
1	1:0	3	111959.66666666667	0.06133333333333333	0.0	0.0	0.0	0.0
98	1:0	3	14535.666666666666	0.49	-97424.0	0.42866666666666664	2.355669683613996	97424.00000094307
287	1:0	3	10271.0	0.7373333333333333	-101688.66666666667	0.6759999999999999	3.0937186143394992	101688.6666689136
