# cell-level module-score annotation diagnostic
# n_cells 164616 n_genes 17277 present_markers 129
# DC rule: PTPRC/immune-like plus >=1 FCER1A/CD1C/CLEC10A/CLEC4C/IL3RA and DC score highest among immune panels
# Basal lineage uses canonical KRT5/KRT14/KRT17/TP63/KRT13/KRT4/KRT16/KRT6A/SFN/DSG3/KRT15/KRT23 markers
# malignant basal proxy uses >=2 S4 malignant-basal core markers or core log-score >=0.8
SAMPLE	sample	cells	DC	DC_fraction_all	immune	Basal	AT2	AT1	Club	Cilia	EC	Fib	NE	OtherNonimmune	Unknown	Basal_malignant_proxy	Basal_malignant_strong
SAMPLE	Patient_001	1076	249	0.231413	989	1	19	7	18	3	2	33	0	4	0	1	0
SAMPLE	Patient_002	3838	546	0.142262	3579	1	109	6	68	55	7	7	0	5	1	1	0
SAMPLE	Patient_003	4672	444	0.095034	4534	23	50	0	43	12	2	1	1	5	0	23	8
SAMPLE	Patient_004	4060	311	0.076601	4024	1	4	1	11	2	0	0	0	9	8	1	1
SAMPLE	Patient_005	1454	715	0.491747	1438	0	2	0	13	0	0	0	0	0	1	0	0
SAMPLE	Patient_006	3055	41	0.013421	3043	0	0	0	8	0	0	0	0	1	3	0	0
SAMPLE	Patient_007	529	111	0.209830	522	0	0	0	6	0	0	0	0	1	0	0	0
SAMPLE	Patient_008	3995	159	0.039800	3966	0	3	1	17	0	1	1	0	5	1	0	0
SAMPLE	Patient_009	277	57	0.205776	245	0	3	1	28	0	0	0	0	0	0	0	0
SAMPLE	Patient_010	1653	157	0.094979	1625	11	1	0	14	1	0	0	0	1	0	11	1
SAMPLE	Patient_011	4022	630	0.156638	3998	1	3	0	16	3	0	0	0	1	0	1	0
SAMPLE	Patient_012	1889	294	0.155638	1653	2	91	4	122	4	0	7	0	6	0	2	2
SAMPLE	Patient_013	3732	151	0.040461	1978	1477	5	5	12	1	2	120	0	116	16	1475	81
SAMPLE	Patient_014	2442	225	0.092138	2105	208	15	0	57	0	10	36	0	7	4	208	51
SAMPLE	Patient_015	2219	248	0.111762	1515	23	4	2	19	1	9	632	6	7	0	23	0
SAMPLE	Patient_016	2454	98	0.039935	2433	0	0	0	5	1	0	0	0	6	9	0	0
SAMPLE	Patient_017	5154	841	0.163174	2155	0	2936	0	54	7	1	0	0	1	0	0	0
SAMPLE	Patient_018	1481	173	0.116813	1227	180	11	1	33	5	3	13	0	8	0	180	39
SAMPLE	Patient_019	2385	573	0.240252	2323	0	39	3	8	6	1	0	0	4	1	0	0
SAMPLE	Patient_020	2282	514	0.225241	1586	0	27	2	562	17	3	34	1	50	0	0	0
SAMPLE	Patient_021	4938	1199	0.242811	1787	1	2926	8	140	38	8	5	0	25	0	1	0
SAMPLE	Patient_022	2545	464	0.182318	1619	0	196	4	533	15	1	1	2	164	10	0	0
SAMPLE	Patient_023	424	63	0.148585	146	0	103	2	135	36	0	1	0	1	0	0	0
SAMPLE	Patient_024	344	28	0.081395	310	0	19	0	12	2	0	0	0	0	1	0	0
SAMPLE	Patient_025	1995	328	0.164411	1863	1	18	1	8	0	3	93	2	4	2	1	0
SAMPLE	Patient_026	2962	434	0.146523	2705	150	44	1	23	3	2	16	0	9	9	149	143
SAMPLE	Patient_027	2788	446	0.159971	2528	150	44	1	22	3	2	14	0	17	7	150	143
SAMPLE	Patient_028	4146	428	0.103232	3865	154	47	1	23	3	2	17	0	19	15	154	143
SAMPLE	Patient_029	4579	34	0.007425	63	4229	0	37	89	0	2	158	1	0	0	3827	2
SAMPLE	Patient_030	4744	47	0.009907	81	4344	0	28	65	0	2	222	0	2	0	4028	1
SAMPLE	Patient_031	4802	49	0.010204	82	4353	0	34	79	0	3	248	0	3	0	4059	3
SAMPLE	Patient_032	604	47	0.077815	587	0	6	0	5	3	0	0	0	0	3	0	0
SAMPLE	Patient_033	594	43	0.072391	574	0	5	0	8	3	0	0	0	0	4	0	0
SAMPLE	Patient_034	600	41	0.068333	584	0	4	0	6	3	0	0	0	0	3	0	0
SAMPLE	Patient_035	599	43	0.071786	581	0	4	0	6	4	0	0	0	1	3	0	0
SAMPLE	Patient_036	2635	751	0.285009	2611	0	7	1	9	0	0	0	0	3	4	0	0
SAMPLE	Patient_037	2610	743	0.284674	2584	0	7	1	5	0	0	0	0	0	12	0	0
SAMPLE	Patient_038	2539	741	0.291847	2516	0	7	1	6	0	0	0	0	0	9	0	0
SAMPLE	Patient_039	2569	742	0.288828	2547	0	7	0	7	0	0	0	0	0	7	0	0
SAMPLE	Patient_040	4567	39	0.008540	65	4218	0	38	92	0	2	152	0	0	0	3833	2
SAMPLE	Patient_041	2723	526	0.193169	1848	0	622	13	88	137	0	4	0	11	0	0	0
SAMPLE	Patient_042	1738	437	0.251438	1207	0	393	10	45	61	0	1	0	21	0	0	0
SAMPLE	Patient_043	2696	505	0.187315	1824	0	611	16	98	133	0	2	0	11	1	0	0
SAMPLE	Patient_044	2803	504	0.179807	1908	0	630	22	99	132	0	3	0	8	1	0	0
SAMPLE	Patient_045	3235	81	0.025039	2972	33	1	3	30	0	2	177	0	11	4	33	17
SAMPLE	Patient_046	3120	91	0.029167	2852	31	1	3	32	0	2	174	0	16	8	31	16
SAMPLE	Patient_047	3429	88	0.025663	3153	30	1	4	30	0	2	183	0	15	9	30	15
SAMPLE	Patient_048	3596	79	0.021969	3321	29	1	3	30	0	2	192	0	12	6	29	17
SAMPLE	Patient_049	279	28	0.100358	193	0	39	32	1	1	7	5	0	1	0	0	0
SAMPLE	Patient_050	2632	397	0.150836	1977	0	187	10	97	13	110	206	0	32	0	0	0
SAMPLE	Patient_051	3974	288	0.072471	2850	0	367	4	230	7	162	261	2	89	1	0	0
SAMPLE	Patient_052	3088	317	0.102655	2187	4	360	3	385	1	14	41	0	90	3	4	0
SAMPLE	Patient_053	3760	597	0.158777	2996	0	180	277	21	21	165	96	0	3	0	0	0
SAMPLE	Patient_054	2732	314	0.114934	2626	2	13	6	27	0	6	13	0	33	6	2	0
SAMPLE	Patient_055	4154	534	0.128551	3885	7	36	1	48	3	7	16	0	115	36	7	1
SAMPLE	Patient_056	4402	468	0.106315	4045	4	33	29	104	1	13	26	3	118	26	4	0
SAMPLE	Patient_057	1389	60	0.043197	907	0	94	3	319	46	2	5	0	11	0	0	0
SAMPLE	Patient_058	1186	50	0.042159	676	0	220	74	23	15	6	24	1	138	9	0	0
SAMPLE	Patient_059	573	28	0.048866	381	0	71	26	9	4	10	5	0	62	5	0	0
