record	group	tree	mean_patristic_distance	selected	processed	failed	median_mean_patristic_distance	ratio_fungi_to_animals
summary	animals	.	.	100	22	78	0.89970673712500004	.
tree	animals	1014314at2759.faa.mafft.clipkit.treefile	0.63988531770000001	.	.	.	.	.
tree	animals	1018517at2759.faa.mafft.clipkit.treefile	0.56677588683333335	.	.	.	.	.
tree	animals	1173229at2759.faa.mafft.clipkit.treefile	1.3465436398166666	.	.	.	.	.
tree	animals	1193442at2759.faa.mafft.clipkit.treefile	0.85468011244999997	.	.	.	.	.
tree	animals	1249159at2759.faa.mafft.clipkit.treefile	0.81738607278333331	.	.	.	.	.
tree	animals	1269649at2759.faa.mafft.clipkit.treefile	0.57398094315000003	.	.	.	.	.
tree	animals	1342242at2759.faa.mafft.clipkit.treefile	1.6978771859000001	.	.	.	.	.
tree	animals	1346432at2759.faa.mafft.clipkit.treefile	1.0664543440833334	.	.	.	.	.
tree	animals	1405073at2759.faa.mafft.clipkit.treefile	0.34475838495	.	.	.	.	.
tree	animals	1428854at2759.faa.mafft.clipkit.treefile	1.35440346165	.	.	.	.	.
tree	animals	1504863at2759.faa.mafft.clipkit.treefile	0.7117789149999999	.	.	.	.	.
tree	animals	1525971at2759.faa.mafft.clipkit.treefile	0.86140779851666671	.	.	.	.	.
tree	animals	156083at2759.faa.mafft.clipkit.treefile	0.094635419466666676	.	.	.	.	.
tree	animals	1620056at2759.faa.mafft.clipkit.treefile	0.93800567573333327	.	.	.	.	.
tree	animals	341721at2759.faa.mafft.clipkit.treefile	1.4680013384833333	.	.	.	.	.
tree	animals	453044at2759.faa.mafft.clipkit.treefile	1.0663724661	.	.	.	.	.
tree	animals	570797at2759.faa.mafft.clipkit.treefile	2.0334451293666667	.	.	.	.	.
tree	animals	664730at2759.faa.mafft.clipkit.treefile	0.54334122753333336	.	.	.	.	.
tree	animals	673132at2759.faa.mafft.clipkit.treefile	0.82855994461666671	.	.	.	.	.
tree	animals	721605at2759.faa.mafft.clipkit.treefile	1.1962454998499998	.	.	.	.	.
tree	animals	974865at2759.faa.mafft.clipkit.treefile	0.98800033105000007	.	.	.	.	.
tree	animals	996662at2759.faa.mafft.clipkit.treefile	1.4757947088333332	.	.	.	.	.
failure	animals	1003258at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	100698at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	1010730at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	1019762at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	1038775at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	1041560at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	1065019at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	1079827at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	1094121at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	1096688at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	1112002at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	1129824at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	1138059at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	1157302at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	1161199at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	1194691at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	1200489at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	1217666at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	1251252at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	1260807at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	1264469at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	1269244at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	1284731at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	1287094at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	1287401at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	1291729at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	1304061at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	1338131at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	1346165at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	1355894at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	1358374at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	1364586at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	1370285at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	1379600at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	1382842at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	1421503at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	1423847at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	1432328at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	1434266at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	1441854at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	1445102at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	1455730at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	1488235at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	1488436at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	1513531at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	1526152at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	1538526at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	1545004at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	1552706at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	1626636at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	1633672at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	176625at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	271586at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	290630at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	296129at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	animals	306227at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
