#GC Content	Count
0	0.0
1	0.0
2	0.0
3	0.0
4	0.0
5	0.0
6	0.0
7	0.0
8	0.0
9	0.0
10	0.0
11	0.0
12	0.0
13	0.0
14	0.0
15	1.0
16	2.0
17	2.0
18	2.0
19	4.5
20	7.0
21	9.5
22	12.0
23	16.0
24	20.0
25	19.5
26	19.0
27	21.5
28	24.0
29	36.5
30	49.0
31	48.5
32	48.0
33	45.5
34	43.0
35	42.5
36	42.0
37	47.0
38	52.0
39	40.0
40	28.0
41	34.5
42	41.0
43	44.0
44	47.0
45	40.0
46	33.0
47	26.0
48	19.0
49	22.0
50	25.0
51	32.0
52	39.0
53	50.0
54	61.0
55	54.5
56	48.0
57	50.5
58	53.0
59	66.5
60	80.0
61	109.0
62	138.0
63	138.5
64	139.0
65	129.0
66	119.0
67	142.0
68	165.0
69	155.0
70	145.0
71	141.0
72	137.0
73	116.5
74	96.0
75	87.0
76	78.0
77	63.0
78	48.0
79	43.5
80	39.0
81	29.0
82	19.0
83	17.5
84	16.0
85	20.0
86	24.0
87	16.0
88	8.0
89	4.0
90	0.0
91	0.0
92	0.0
93	0.0
94	0.0
95	0.0
96	0.0
97	0.0
98	0.0
99	0.0
100	0.0
>>END_MODULE
>>Per base N content	pass
#Base	N-Count
1	0.0
