#GC Content	Count
0	0.0
1	0.0
2	0.0
3	0.0
4	0.0
5	0.0
6	0.0
7	0.0
8	0.0
9	0.0
10	0.0
11	0.0
12	0.0
13	0.0
14	0.0
15	1.0
16	2.0
17	1.5
18	1.0
19	1.0
20	1.0
21	2.5
22	4.0
23	4.0
24	4.0
25	5.0
26	6.0
27	6.0
28	6.0
29	10.0
30	14.0
31	14.5
32	15.0
33	13.0
34	11.0
35	10.5
36	10.0
37	10.0
38	10.0
39	10.0
40	10.0
41	11.5
42	13.0
43	13.0
44	13.0
45	13.0
46	13.0
47	9.5
48	6.0
49	4.5
50	3.0
51	5.0
52	7.0
53	8.0
54	9.0
55	8.0
56	7.0
57	6.5
58	6.0
59	8.5
60	11.0
61	18.0
62	25.0
63	26.5
64	28.0
65	25.0
66	22.0
67	23.5
68	25.0
69	24.5
70	24.0
71	21.0
72	18.0
73	17.0
74	16.0
75	16.5
76	17.0
77	11.0
78	5.0
79	9.5
80	14.0
81	8.0
82	2.0
83	3.5
84	5.0
85	7.0
86	9.0
87	6.0
88	3.0
89	1.5
90	0.0
91	0.0
92	0.0
93	0.0
94	0.0
95	0.0
96	0.0
97	0.0
98	0.0
99	0.0
100	0.0
>>END_MODULE
>>Per base N content	pass
#Base	N-Count
1	0.0
