#GC Content	Count
0	0.0
1	0.0
2	0.0
3	0.0
4	0.0
5	0.0
6	0.0
7	0.0
8	0.0
9	0.0
10	0.0
11	0.0
12	0.0
13	0.0
14	0.0
15	0.0
16	0.0
17	0.0
18	0.0
19	0.0
20	0.0
21	0.0
22	0.0
23	0.0
24	0.0
25	0.0
26	0.0
27	0.0
28	0.0
29	0.0
30	0.0
31	0.0
32	0.0
33	0.0
34	0.0
35	0.0
36	0.0
37	0.0
38	0.0
39	0.0
40	0.0
41	0.0
42	0.0
43	0.0
44	0.0
45	0.0
46	0.0
47	3.5
48	7.0
49	9.5
50	12.0
51	18.5
52	25.0
53	29.0
54	33.0
55	27.5
56	22.0
57	27.5
58	33.0
59	40.5
60	48.0
61	64.0
62	80.0
63	79.5
64	79.0
65	73.5
66	68.0
67	85.5
68	103.0
69	89.0
70	75.0
71	76.0
72	77.0
73	60.5
74	44.0
75	40.0
76	36.0
77	29.0
78	22.0
79	15.5
80	9.0
81	4.5
82	0.0
83	0.5
84	1.0
85	2.0
86	3.0
87	1.5
88	0.0
89	0.0
90	0.0
91	0.0
92	0.0
93	0.0
94	0.0
95	0.0
96	0.0
97	0.0
98	0.0
99	0.0
100	0.0
>>END_MODULE
>>Per base N content	pass
#Base	N-Count
1	0.0
