metric	marker_cell_type	gene	column	value
raw	Microglia	C1QA	AIIamacrine	0
cpm	Microglia	C1QA	AIIamacrine	0
raw	Microglia	C1QA	Astrocyte	0
cpm	Microglia	C1QA	Astrocyte	0
raw	Microglia	C1QA	Cone	0
cpm	Microglia	C1QA	Cone	0
raw	Microglia	C1QA	GABAamacrine	0
cpm	Microglia	C1QA	GABAamacrine	0
raw	Microglia	C1QA	Horizontal	0
cpm	Microglia	C1QA	Horizontal	0
raw	Microglia	C1QA	Microglia	0
cpm	Microglia	C1QA	Microglia	0
raw	Microglia	C1QA	Mullerglia	0
cpm	Microglia	C1QA	Mullerglia	0
raw	Microglia	C1QA	Retinalganglioncell	0
cpm	Microglia	C1QA	Retinalganglioncell	0
raw	Microglia	C1QA	Rod	0
cpm	Microglia	C1QA	Rod	0
raw	AIIamacrine	SLC6A9_gene	AIIamacrine	2961
cpm	AIIamacrine	SLC6A9_gene	AIIamacrine	250.1520047
raw	AIIamacrine	SLC6A9_gene	Astrocyte	1407
cpm	AIIamacrine	SLC6A9_gene	Astrocyte	186.8298624
raw	AIIamacrine	SLC6A9_gene	Cone	11901
cpm	AIIamacrine	SLC6A9_gene	Cone	245.870533
raw	AIIamacrine	SLC6A9_gene	GABAamacrine	4688
cpm	AIIamacrine	SLC6A9_gene	GABAamacrine	126.6486374
raw	AIIamacrine	SLC6A9_gene	Horizontal	4116
cpm	AIIamacrine	SLC6A9_gene	Horizontal	130.0851324
raw	AIIamacrine	SLC6A9_gene	Microglia	1374
cpm	AIIamacrine	SLC6A9_gene	Microglia	168.477989
raw	AIIamacrine	SLC6A9_gene	Mullerglia	17565
cpm	AIIamacrine	SLC6A9_gene	Mullerglia	186.0792941
raw	AIIamacrine	SLC6A9_gene	Retinalganglioncell	2271
cpm	AIIamacrine	SLC6A9_gene	Retinalganglioncell	108.0674415
raw	AIIamacrine	SLC6A9_gene	Rod	133143
cpm	AIIamacrine	SLC6A9_gene	Rod	321.9547511
raw	AIIamacrine	SLC6A9_article	AIIamacrine	1924
cpm	AIIamacrine	SLC6A9_article	AIIamacrine	162.5438896
raw	AIIamacrine	SLC6A9_article	Astrocyte	1052
cpm	AIIamacrine	SLC6A9_article	Astrocyte	139.6908424
raw	AIIamacrine	SLC6A9_article	Cone	9057
cpm	AIIamacrine	SLC6A9_article	Cone	187.1144792
raw	AIIamacrine	SLC6A9_article	GABAamacrine	3217
cpm	AIIamacrine	SLC6A9_article	GABAamacrine	86.90884526
raw	AIIamacrine	SLC6A9_article	Horizontal	2685
cpm	AIIamacrine	SLC6A9_article	Horizontal	84.85874164
raw	AIIamacrine	SLC6A9_article	Microglia	995
