metric	cell_type	value
sum	AIIamacrine	11836803
mean	AIIamacrine	40.06771037844471
sum	Astrocyte	7530916
mean	Astrocyte	25.49223478437469
sum	Cone	48403523
mean	Cone	163.84646604833745
sum	GABAamacrine	37015795
mean	GABAamacrine	125.29887956130167
sum	Horizontal	31640818
mean	Horizontal	107.10452237492277
sum	Microglia	8155368
mean	Microglia	27.606011779838187
sum	Mullerglia	94395242
mean	Mullerglia	319.5289486155258
sum	Retinalganglioncell	21014655
mean	Retinalganglioncell	71.13484191997765
sum	Rod	413545691
mean	Rod	1399.8567835623855
rows	all	295420
pearson_raw	AIIamacrine__AIIamacrine	1
pearson_raw	AIIamacrine__Astrocyte	0.8772127871
pearson_raw	AIIamacrine__Cone	0.8415708892
pearson_raw	AIIamacrine__GABAamacrine	0.9404525511
pearson_raw	AIIamacrine__Horizontal	0.9180507354
pearson_raw	AIIamacrine__Microglia	0.8988361274
pearson_raw	AIIamacrine__Mullerglia	0.8850305
pearson_raw	AIIamacrine__Retinalganglioncell	0.8829236104
pearson_raw	AIIamacrine__Rod	0.83672025
pearson_raw	Astrocyte__Astrocyte	1
pearson_raw	Astrocyte__Cone	0.8500205788
pearson_raw	Astrocyte__GABAamacrine	0.8694408642
pearson_raw	Astrocyte__Horizontal	0.857358116
pearson_raw	Astrocyte__Microglia	0.9327295319
pearson_raw	Astrocyte__Mullerglia	0.9565796762
pearson_raw	Astrocyte__Retinalganglioncell	0.8377021245
pearson_raw	Astrocyte__Rod	0.8546799508
pearson_raw	Cone__Cone	1
pearson_raw	Cone__GABAamacrine	0.8445871295
pearson_raw	Cone__Horizontal	0.8466374381
pearson_raw	Cone__Microglia	0.8975343789
pearson_raw	Cone__Mullerglia	0.8513770984
pearson_raw	Cone__Retinalganglioncell	0.8084362818
pearson_raw	Cone__Rod	0.95216564
pearson_raw	GABAamacrine__GABAamacrine	1
pearson_raw	GABAamacrine__Horizontal	0.9197800263
pearson_raw	GABAamacrine__Microglia	0.8943042107
pearson_raw	GABAamacrine__Mullerglia	0.8710393869
pearson_raw	GABAamacrine__Retinalganglioncell	0.9137889595
pearson_raw	GABAamacrine__Rod	0.8337820729
pearson_raw	Horizontal__Horizontal	1
pearson_raw	Horizontal__Microglia	0.8889087892
pearson_raw	Horizontal__Mullerglia	0.8598951995
pearson_raw	Horizontal__Retinalganglioncell	0.8746184264
pearson_raw	Horizontal__Rod	0.8413018846
pearson_raw	Microglia__Microglia	1
pearson_raw	Microglia__Mullerglia	0.9465751865
pearson_raw	Microglia__Retinalganglioncell	0.851900208
pearson_raw	Microglia__Rod	0.9136036418
pearson_raw	Mullerglia__Mullerglia	1
pearson_raw	Mullerglia__Retinalganglioncell	0.8336760694
pearson_raw	Mullerglia__Rod	0.8629961923
pearson_raw	Retinalganglioncell__Retinalganglioncell	1
pearson_raw	Retinalganglioncell__Rod	0.7913944837
pearson_raw	Rod__Rod	1
pearson_log1p	AIIamacrine__AIIamacrine	1
pearson_log1p	AIIamacrine__Astrocyte	0.7978835803
pearson_log1p	AIIamacrine__Cone	0.8123534998
pearson_log1p	AIIamacrine__GABAamacrine	0.8783525128
pearson_log1p	AIIamacrine__Horizontal	0.8667076905
pearson_log1p	AIIamacrine__Microglia	0.8224984896
pearson_log1p	AIIamacrine__Mullerglia	0.8477207626
pearson_log1p	AIIamacrine__Retinalganglioncell	0.8398329561
pearson_log1p	AIIamacrine__Rod	0.8046738398
pearson_log1p	Astrocyte__Astrocyte	1
pearson_log1p	Astrocyte__Cone	0.7998173569
pearson_log1p	Astrocyte__GABAamacrine	0.7755457864
pearson_log1p	Astrocyte__Horizontal	0.7857657518
pearson_log1p	Astrocyte__Microglia	0.8510637065
pearson_log1p	Astrocyte__Mullerglia	0.8848479397
pearson_log1p	Astrocyte__Retinalganglioncell	0.7687291928
pearson_log1p	Astrocyte__Rod	0.7914026223
pearson_log1p	Cone__Cone	1
pearson_log1p	Cone__GABAamacrine	0.8323597072
pearson_log1p	Cone__Horizontal	0.8525075477
pearson_log1p	Cone__Microglia	0.8401557321
pearson_log1p	Cone__Mullerglia	0.8588431329
pearson_log1p	Cone__Retinalganglioncell	0.819659967
pearson_log1p	Cone__Rod	0.9446885189
pearson_log1p	GABAamacrine__GABAamacrine	1
pearson_log1p	GABAamacrine__Horizontal	0.8926466157
pearson_log1p	GABAamacrine__Microglia	0.8079481954
pearson_log1p	GABAamacrine__Mullerglia	0.8602906537
pearson_log1p	GABAamacrine__Retinalganglioncell	0.9064292505
pearson_log1p	GABAamacrine__Rod	0.8381199939
pearson_log1p	Horizontal__Horizontal	1
pearson_log1p	Horizontal__Microglia	0.8299812358
pearson_log1p	Horizontal__Mullerglia	0.8605631433
pearson_log1p	Horizontal__Retinalganglioncell	0.8633467068
pearson_log1p	Horizontal__Rod	0.862062074
pearson_log1p	Microglia__Microglia	1
pearson_log1p	Microglia__Mullerglia	0.8876537468
pearson_log1p	Microglia__Retinalganglioncell	0.7949555365
pearson_log1p	Microglia__Rod	0.842906372
pearson_log1p	Mullerglia__Mullerglia	1
pearson_log1p	Mullerglia__Retinalganglioncell	0.8450063603
pearson_log1p	Mullerglia__Rod	0.8827080771
pearson_log1p	Retinalganglioncell__Retinalganglioncell	1
pearson_log1p	Retinalganglioncell__Rod	0.8248746468
pearson_log1p	Rod__Rod	1
