reference	input_column	pearson	ref_total_lines	ref_sampled_bins	stride
AIIamacrine	AIIamacrine	0.9895856558	11649527	1658657	7
AIIamacrine	Astrocyte	0.869122476	11649527	1658657	7
AIIamacrine	Cone	0.8328636447	11649527	1658657	7
AIIamacrine	GABAamacrine	0.9312622451	11649527	1658657	7
AIIamacrine	Horizontal	0.9093089742	11649527	1658657	7
AIIamacrine	Microglia	0.8907265964	11649527	1658657	7
AIIamacrine	Mullerglia	0.8770736737	11649527	1658657	7
AIIamacrine	Retinalganglioncell	0.8740564526	11649527	1658657	7
AIIamacrine	Rod	0.8281532198	11649527	1658657	7
Astrocyte	AIIamacrine	0.8715735643	7409120	1846786	4
Astrocyte	Astrocyte	0.9937142452	7409120	1846786	4
Astrocyte	Cone	0.8426395791	7409120	1846786	4
Astrocyte	GABAamacrine	0.8637581657	7409120	1846786	4
Astrocyte	Horizontal	0.8519867411	7409120	1846786	4
Astrocyte	Microglia	0.9268544012	7409120	1846786	4
Astrocyte	Mullerglia	0.9505953397	7409120	1846786	4
Astrocyte	Retinalganglioncell	0.8320739775	7409120	1846786	4
Astrocyte	Rod	0.8474865101	7409120	1846786	4
Cone	AIIamacrine	0.8381881845	47620049	1483021	32
Cone	Astrocyte	0.8464794	47620049	1483021	32
Cone	Cone	0.992571738	47620049	1483021	32
Cone	GABAamacrine	0.8407618674	47620049	1483021	32
Cone	Horizontal	0.8431196182	47620049	1483021	32
Cone	Microglia	0.8936478281	47620049	1483021	32
Cone	Mullerglia	0.848219417	47620049	1483021	32
Cone	Retinalganglioncell	0.8045403858	47620049	1483021	32
Cone	Rod	0.9459410503	47620049	1483021	32
GABAamacrine	AIIamacrine	0.9269034635	36399143	1451388	25
GABAamacrine	Astrocyte	0.8584497967	36399143	1451388	25
GABAamacrine	Cone	0.8319685979	36399143	1451388	25
GABAamacrine	GABAamacrine	0.9846038543	36399143	1451388	25
GABAamacrine	Horizontal	0.9066437539	36399143	1451388	25
GABAamacrine	Microglia	0.882739813	36399143	1451388	25
GABAamacrine	Mullerglia	0.8600637185	36399143	1451388	25
GABAamacrine	Retinalganglioncell	0.900193004	36399143	1451388	25
GABAamacrine	Rod	0.8218194814	36399143	1451388	25
Horizontal	AIIamacrine	0.9091547374	31139251	1551332	20
Horizontal	Astrocyte	0.8500262843	31139251	1551332	20
Horizontal	Cone	0.8382096099	31139251	1551332	20
Horizontal	GABAamacrine	0.9108091073	31139251	1551332	20
Horizontal	Horizontal	0.9893167857	31139251	1551332	20
Horizontal	Microglia	0.8811750694	31139251	1551332	20
Horizontal	Mullerglia	0.8527829028	31139251	1551332	20
Horizontal	Retinalganglioncell	0.8656913597	31139251	1551332	20
Horizontal	Rod	0.8330271242	31139251	1551332	20
Microglia	AIIamacrine	0.8927339671	8029525	1600748	5
Microglia	Astrocyte	0.9262883656	8029525	1600748	5
Microglia	Cone	0.8902357283	8029525	1600748	5
Microglia	GABAamacrine	0.8882440124	8029525	1600748	5
Microglia	Horizontal	0.8831749313	8029525	1600748	5
Microglia	Microglia	0.9924252185	8029525	1600748	5
Microglia	Mullerglia	0.9402953005	8029525	1600748	5
Microglia	Retinalganglioncell	0.8456942949	8029525	1600748	5
Microglia	Rod	0.9063396791	8029525	1600748	5
Mullerglia	AIIamacrine	0.8784449358	92966728	1471122	63
Mullerglia	Astrocyte	0.9499224941	92966728	1471122	63
