metric	marker_cell_type	gene	column	value
raw	Microglia	C1QA	AIIamacrine	113
cpm	Microglia	C1QA	AIIamacrine	9.546496634
raw	Microglia	C1QA	Astrocyte	15
cpm	Microglia	C1QA	Astrocyte	1.991789578
raw	Microglia	C1QA	Cone	93
cpm	Microglia	C1QA	Cone	1.92134775
raw	Microglia	C1QA	GABAamacrine	121
cpm	Microglia	C1QA	GABAamacrine	3.268874814
raw	Microglia	C1QA	Horizontal	323
cpm	Microglia	C1QA	Horizontal	10.20833279
raw	Microglia	C1QA	Microglia	82
cpm	Microglia	C1QA	Microglia	10.05472714
raw	Microglia	C1QA	Mullerglia	150
cpm	Microglia	C1QA	Mullerglia	1.589063144
raw	Microglia	C1QA	Retinalganglioncell	68
cpm	Microglia	C1QA	Retinalganglioncell	3.235837086
raw	Microglia	C1QA	Rod	1089
cpm	Microglia	C1QA	Rod	2.6333245
raw	AIIamacrine	SLC6A9_gene	AIIamacrine	3136
cpm	AIIamacrine	SLC6A9_gene	AIIamacrine	264.9364022
raw	AIIamacrine	SLC6A9_gene	Astrocyte	1450
cpm	AIIamacrine	SLC6A9_gene	Astrocyte	192.5396592
raw	AIIamacrine	SLC6A9_gene	Cone	12320
cpm	AIIamacrine	SLC6A9_gene	Cone	254.5269277
raw	AIIamacrine	SLC6A9_gene	GABAamacrine	5059
cpm	AIIamacrine	SLC6A9_gene	GABAamacrine	136.6713858
raw	AIIamacrine	SLC6A9_gene	Horizontal	4524
cpm	AIIamacrine	SLC6A9_gene	Horizontal	142.9798686
raw	AIIamacrine	SLC6A9_gene	Microglia	1431
cpm	AIIamacrine	SLC6A9_gene	Microglia	175.4672505
raw	AIIamacrine	SLC6A9_gene	Mullerglia	18195
cpm	AIIamacrine	SLC6A9_gene	Mullerglia	192.7533593
raw	AIIamacrine	SLC6A9_gene	Retinalganglioncell	2448
cpm	AIIamacrine	SLC6A9_gene	Retinalganglioncell	116.4901351
raw	AIIamacrine	SLC6A9_gene	Rod	137224
cpm	AIIamacrine	SLC6A9_gene	Rod	331.8230681
raw	AIIamacrine	SLC6A9_article	AIIamacrine	2277
cpm	AIIamacrine	SLC6A9_article	AIIamacrine	192.3661313
raw	AIIamacrine	SLC6A9_article	Astrocyte	1158
cpm	AIIamacrine	SLC6A9_article	Astrocyte	153.7661554
raw	AIIamacrine	SLC6A9_article	Cone	9934
cpm	AIIamacrine	SLC6A9_article	Cone	205.2329951
raw	AIIamacrine	SLC6A9_article	GABAamacrine	3614
cpm	AIIamacrine	SLC6A9_article	GABAamacrine	97.63399651
raw	AIIamacrine	SLC6A9_article	Horizontal	2983
cpm	AIIamacrine	SLC6A9_article	Horizontal	94.2769558
raw	AIIamacrine	SLC6A9_article	Microglia	1092
cpm	AIIamacrine	SLC6A9_article	Microglia	133.8995371
raw	AIIamacrine	SLC6A9_article	Mullerglia	14553
cpm	AIIamacrine	SLC6A9_article	Mullerglia	154.1709062
raw	AIIamacrine	SLC6A9_article	Retinalganglioncell	1672
cpm	AIIamacrine	SLC6A9_article	Retinalganglioncell	79.56352365
raw	AIIamacrine	SLC6A9_article	Rod	112418
cpm	AIIamacrine	SLC6A9_article	Rod	271.8393697
raw	AIIamacrine	SLC6A9	AIIamacrine	1185
cpm	AIIamacrine	SLC6A9	AIIamacrine	100.1114913
raw	AIIamacrine	SLC6A9	Astrocyte	657
cpm	AIIamacrine	SLC6A9	Astrocyte	87.24038351
raw	AIIamacrine	SLC6A9	Cone	6648
cpm	AIIamacrine	SLC6A9	Cone	137.3453746
raw	AIIamacrine	SLC6A9	GABAamacrine	2251
cpm	AIIamacrine	SLC6A9	GABAamacrine	60.81187774
raw	AIIamacrine	SLC6A9	Horizontal	1877
cpm	AIIamacrine	SLC6A9	Horizontal	59.32210729
raw	AIIamacrine	SLC6A9	Microglia	713
cpm	AIIamacrine	SLC6A9	Microglia	87.4270787
raw	AIIamacrine	SLC6A9	Mullerglia	8174
cpm	AIIamacrine	SLC6A9	Mullerglia	86.59334758
raw	AIIamacrine	SLC6A9	Retinalganglioncell	1233
cpm	AIIamacrine	SLC6A9	Retinalganglioncell	58.6733401
raw	AIIamacrine	SLC6A9	Rod	75900
cpm	AIIamacrine	SLC6A9	Rod	183.5347379
raw	Cone	GNAT2	AIIamacrine	456
cpm	Cone	GNAT2	AIIamacrine	38.52391562
raw	Cone	GNAT2	Astrocyte	236
cpm	Cone	GNAT2	Astrocyte	31.33748936
raw	Cone	GNAT2	Cone	6252
cpm	Cone	GNAT2	Cone	129.164152
raw	Cone	GNAT2	GABAamacrine	1762
cpm	Cone	GNAT2	GABAamacrine	47.60130101
raw	Cone	GNAT2	Horizontal	1607
cpm	Cone	GNAT2	Horizontal	50.788826
raw	Cone	GNAT2	Microglia	413
cpm	Cone	GNAT2	Microglia	50.64149159
raw	Cone	GNAT2	Mullerglia	3518
cpm	Cone	GNAT2	Mullerglia	37.2688276
raw	Cone	GNAT2	Retinalganglioncell	730
cpm	Cone	GNAT2	Retinalganglioncell	34.73766284
raw	Cone	GNAT2	Rod	8544
cpm	Cone	GNAT2	Rod	20.6603531
raw	Mullerglia	GLUL	AIIamacrine	366
cpm	Mullerglia	GLUL	AIIamacrine	30.92051122
raw	Mullerglia	GLUL	Astrocyte	368
cpm	Mullerglia	GLUL	Astrocyte	48.86523764
raw	Mullerglia	GLUL	Cone	999
cpm	Mullerglia	GLUL	Cone	20.63899357
raw	Mullerglia	GLUL	GABAamacrine	975
cpm	Mullerglia	GLUL	GABAamacrine	26.34010697
raw	Mullerglia	GLUL	Horizontal	710
cpm	Mullerglia	GLUL	Horizontal	22.4393693
raw	Mullerglia	GLUL	Microglia	385
cpm	Mullerglia	GLUL	Microglia	47.20817013
raw	Mullerglia	GLUL	Mullerglia	5695
cpm	Mullerglia	GLUL	Mullerglia	60.33143069
raw	Mullerglia	GLUL	Retinalganglioncell	489
cpm	Mullerglia	GLUL	Retinalganglioncell	23.26947552
raw	Mullerglia	GLUL	Rod	1840
cpm	Mullerglia	GLUL	Rod	4.449326979
raw	Mullerglia	VIM	AIIamacrine	138
cpm	Mullerglia	VIM	AIIamacrine	11.65855341
raw	Mullerglia	VIM	Astrocyte	474
cpm	Mullerglia	VIM	Astrocyte	62.94055066
raw	Mullerglia	VIM	Cone	117
cpm	Mullerglia	VIM	Cone	2.417179427
raw	Mullerglia	VIM	GABAamacrine	311
cpm	Mullerglia	VIM	GABAamacrine	8.401818737
raw	Mullerglia	VIM	Horizontal	708
cpm	Mullerglia	VIM	Horizontal	22.37615981
raw	Mullerglia	VIM	Microglia	399
cpm	Mullerglia	VIM	Microglia	48.92483086
raw	Mullerglia	VIM	Mullerglia	5811
cpm	Mullerglia	VIM	Mullerglia	61.56030619
raw	Mullerglia	VIM	Retinalganglioncell	180
cpm	Mullerglia	VIM	Retinalganglioncell	8.56545111
raw	Mullerglia	VIM	Rod	710
cpm	Mullerglia	VIM	Rod	1.716859867
raw	GABAamacrine	GAD2_article	AIIamacrine	130
cpm	GABAamacrine	GAD2_article	AIIamacrine	10.98269524
raw	GABAamacrine	GAD2_article	Astrocyte	75
cpm	GABAamacrine	GAD2_article	Astrocyte	9.958947889
raw	GABAamacrine	GAD2_article	Cone	284
cpm	GABAamacrine	GAD2_article	Cone	5.867341516
raw	GABAamacrine	GAD2_article	GABAamacrine	2685
cpm	GABAamacrine	GAD2_article	GABAamacrine	72.53660228
raw	GABAamacrine	GAD2_article	Horizontal	359
cpm	GABAamacrine	GAD2_article	Horizontal	11.34610363
raw	GABAamacrine	GAD2_article	Microglia	92
cpm	GABAamacrine	GAD2_article	Microglia	11.28091338
raw	GABAamacrine	GAD2_article	Mullerglia	1917
cpm	GABAamacrine	GAD2_article	Mullerglia	20.30822698
raw	GABAamacrine	GAD2_article	Retinalganglioncell	216
cpm	GABAamacrine	GAD2_article	Retinalganglioncell	10.27854133
raw	GABAamacrine	GAD2_article	Rod	1244
cpm	GABAamacrine	GAD2_article	Rod	3.008131936
raw	GABAamacrine	GAD2	AIIamacrine	80
cpm	GABAamacrine	GAD2	AIIamacrine	6.758581688
raw	GABAamacrine	GAD2	Astrocyte	41
cpm	GABAamacrine	GAD2	Astrocyte	5.444224846
raw	GABAamacrine	GAD2	Cone	142
cpm	GABAamacrine	GAD2	Cone	2.933670758
raw	GABAamacrine	GAD2	GABAamacrine	1459
cpm	GABAamacrine	GAD2	GABAamacrine	39.41560623
raw	GABAamacrine	GAD2	Horizontal	163
cpm	GABAamacrine	GAD2	Horizontal	5.151573515
raw	GABAamacrine	GAD2	Microglia	45
cpm	GABAamacrine	GAD2	Microglia	5.517838067
raw	GABAamacrine	GAD2	Mullerglia	1377
cpm	GABAamacrine	GAD2	Mullerglia	14.58759966
raw	GABAamacrine	GAD2	Retinalganglioncell	109
cpm	GABAamacrine	GAD2	Retinalganglioncell	5.186856506
raw	GABAamacrine	GAD2	Rod	642
cpm	GABAamacrine	GAD2	Rod	1.552428218
raw	Retinalganglioncell	SLC17A6	AIIamacrine	27
cpm	Retinalganglioncell	SLC17A6	AIIamacrine	2.28102132
raw	Retinalganglioncell	SLC17A6	Astrocyte	9
cpm	Retinalganglioncell	SLC17A6	Astrocyte	1.195073747
raw	Retinalganglioncell	SLC17A6	Cone	57
cpm	Retinalganglioncell	SLC17A6	Cone	1.177600234
raw	Retinalganglioncell	SLC17A6	GABAamacrine	67
cpm	Retinalganglioncell	SLC17A6	GABAamacrine	1.81003812
raw	Retinalganglioncell	SLC17A6	Horizontal	55
cpm	Retinalganglioncell	SLC17A6	Horizontal	1.738261002
raw	Retinalganglioncell	SLC17A6	Microglia	6
cpm	Retinalganglioncell	SLC17A6	Microglia	0.7357117423
raw	Retinalganglioncell	SLC17A6	Mullerglia	95
cpm	Retinalganglioncell	SLC17A6	Mullerglia	1.006406658
raw	Retinalganglioncell	SLC17A6	Retinalganglioncell	419
