metric	value
cells_analyzed	20
rows_analyzed	5000
transitions_lag1	4980
distance_min_nm	80.13405894
distance_median_nm	536.18935419
distance_max_nm	1002.95365964
contact_fraction	0.05640000
transcription_fraction	0.14960000
joint_contact0_transcription0	4004
joint_contact0_transcription1	714
joint_contact1_transcription0	248
joint_contact1_transcription1	34
lag1_P_transcription_future_contact1	0.21863799
lag1_P_transcription_future_contact0	0.14528824
lag1_contact_to_transcription_difference	0.07334976
lag1_P_contact_future_transcription1	0.08736559
lag1_P_contact_future_transcription0	0.05122757
lag1_transcription_to_contact_difference	0.03613802
lag2_P_transcription_future_contact1	0.16546763
lag2_P_transcription_future_contact0	0.14865442
lag2_contact_to_transcription_difference	0.01681320
lag2_P_contact_future_transcription1	0.04871448
lag2_P_contact_future_transcription0	0.05756930
lag2_transcription_to_contact_difference	-0.00885482
lag3_P_transcription_future_contact1	0.16304348
lag3_P_transcription_future_contact0	0.14858491
lag3_contact_to_transcription_difference	0.01445857
lag3_P_contact_future_transcription1	0.05570652
lag3_P_contact_future_transcription0	0.05637488
lag3_transcription_to_contact_difference	-0.00066836
lag4_P_transcription_future_contact1	0.11231884
lag4_P_transcription_future_contact0	0.15180879
lag4_contact_to_transcription_difference	-0.03948994
lag4_P_contact_future_transcription1	0.05320600
lag4_P_contact_future_transcription0	0.05708144
lag4_transcription_to_contact_difference	-0.00387544
lag5_P_transcription_future_contact1	0.14909091
lag5_P_transcription_future_contact0	0.14918919
lag5_contact_to_transcription_difference	-0.00009828
lag5_P_contact_future_transcription1	0.06693989
lag5_P_contact_future_transcription0	0.05446257
lag5_transcription_to_contact_difference	0.01247732
onset_P_transcription_next_given_contact_now_and_transcription_off	0.20325203
onset_P_transcription_next_given_no_contact_now_and_transcription_off	0.14536341
onset_contact_to_transcription_difference	0.05788862
onset_P_contact_next_given_transcription_now_and_contact_off	0.08579466
onset_P_contact_next_given_no_transcription_now_and_contact_off	0.04962406
onset_transcription_to_contact_difference	0.03617060
all_adjacent_time_gaps_equal_one	True
