group	member	mean_patristic_distance
Animals	1003258at2759.faa.mafft.clipkit.treefile	1.5590999999999999
Animals	100698at2759.faa.mafft.clipkit.treefile	0.47039999999999998
Animals	1010730at2759.faa.mafft.clipkit.treefile	1.2811999999999999
Animals	1014314at2759.faa.mafft.clipkit.treefile	0.63990000000000002
Animals	1018517at2759.faa.mafft.clipkit.treefile	0.56679999999999997
Animals	1019762at2759.faa.mafft.clipkit.treefile	1.2219
Animals	1038775at2759.faa.mafft.clipkit.treefile	0.83040000000000003
Animals	1041560at2759.faa.mafft.clipkit.treefile	0.80220000000000002
Animals	1065019at2759.faa.mafft.clipkit.treefile	1.0825
Animals	1079827at2759.faa.mafft.clipkit.treefile	0.24679999999999999
Animals	1094121at2759.faa.mafft.clipkit.treefile	0.75239999999999996
Animals	1096688at2759.faa.mafft.clipkit.treefile	0.71930000000000005
Animals	1112002at2759.faa.mafft.clipkit.treefile	1.081
Animals	1129824at2759.faa.mafft.clipkit.treefile	1.2588999999999999
Animals	1138059at2759.faa.mafft.clipkit.treefile	0.61599999999999999
Animals	1157302at2759.faa.mafft.clipkit.treefile	0.33050000000000002
Animals	1161199at2759.faa.mafft.clipkit.treefile	1.0227999999999999
Animals	1173229at2759.faa.mafft.clipkit.treefile	1.3465
Animals	1193442at2759.faa.mafft.clipkit.treefile	0.85470000000000002
Animals	1194691at2759.faa.mafft.clipkit.treefile	0.58940000000000003
Animals	1200489at2759.faa.mafft.clipkit.treefile	1.2634000000000001
Animals	1217666at2759.faa.mafft.clipkit.treefile	0.47260000000000002
Animals	1249159at2759.faa.mafft.clipkit.treefile	0.81740000000000002
Animals	1251252at2759.faa.mafft.clipkit.treefile	0.82079999999999997
Animals	1260807at2759.faa.mafft.clipkit.treefile	1.0687
Animals	1264469at2759.faa.mafft.clipkit.treefile	1.4903
Animals	1269244at2759.faa.mafft.clipkit.treefile	1.161
Animals	1269649at2759.faa.mafft.clipkit.treefile	0.57399999999999995
Animals	1284731at2759.faa.mafft.clipkit.treefile	1.0719000000000001
Animals	1287094at2759.faa.mafft.clipkit.treefile	0.97960000000000003
Animals	1287401at2759.faa.mafft.clipkit.treefile	0.40560000000000002
Animals	1291729at2759.faa.mafft.clipkit.treefile	1.2974000000000001
Animals	1304061at2759.faa.mafft.clipkit.treefile	0.42109999999999997
Animals	1338131at2759.faa.mafft.clipkit.treefile	0.38390000000000002
Animals	1342242at2759.faa.mafft.clipkit.treefile	1.6979
Animals	1346165at2759.faa.mafft.clipkit.treefile	1.4446000000000001
Animals	1346432at2759.faa.mafft.clipkit.treefile	1.0665
Animals	1355894at2759.faa.mafft.clipkit.treefile	0.38690000000000002
