input	atoms	ca_atoms	directions	rolls	grid
/jetstream2/scratch/main/jobs/79144945/inputs/dataset_00372f39-6493-4a67-83a4-4cc33782599f.dat	19065	2388	246	18	72

rank	score	letter	kind	normalization	direction_index	roll	data_to_template	template_to_data	iou	view
1	0.448270	N	ca_trace	stretch	125	0	2.043953	0.193839	0.447380	-0.02666,-0.99859,-0.04583
2	0.457276	N	ca_trace	stretch	112	0	1.993690	0.206763	0.435794	0.18821,-0.98014,0.06250
3	0.502760	N	all_atom_points	stretch	154	10	2.057561	0.173746	0.432137	0.42280,-0.85941,-0.28750
4	0.506057	N	ca_trace	stretch	154	10	2.000652	0.233621	0.432054	0.42280,-0.85941,-0.28750
5	0.508319	R	all_atom_points	stretch	73	160	2.102004	0.166765	0.440113	0.68580,-0.61605,0.38750
6	0.525546	N	all_atom_points	stretch	133	0	2.059499	0.165450	0.424851	0.31583,-0.94212,-0.11250
7	0.536378	N	ca_trace	stretch	133	0	2.022457	0.210146	0.424056	0.31583,-0.94212,-0.11250
8	0.540260	N	all_atom_points	stretch	125	0	2.153297	0.149116	0.440538	-0.02666,-0.99859,-0.04583
9	0.540340	R	ca_trace	stretch	73	160	2.071996	0.233392	0.441262	0.68580,-0.61605,0.38750
10	0.543639	N	all_atom_points	stretch	112	0	2.108833	0.154496	0.429923	0.18821,-0.98014,0.06250
11	0.544567	N	ca_trace	stretch	138	0	2.086149	0.262413	0.450999	-0.23783,-0.95899,-0.15417
12	0.548522	N	ca_trace	stretch	159	0	2.116840	0.256646	0.456241	-0.10305,-0.93863,-0.32917
13	0.555759	N	ca_trace	stretch	146	0	2.139411	0.169869	0.438380	0.10421,-0.96973,-0.22083
14	0.574386	N	all_atom_points	stretch	146	0	2.187478	0.129802	0.435723	0.10421,-0.96973,-0.22083
15	0.585685	N	ca_trace	stretch	91	0	2.082161	0.261183	0.439415	0.05433,-0.96987,0.23750
16	0.601451	N	ca_trace	stretch	120	0	2.129468	0.138511	0.416632	0.51401,-0.85777,-0.00417
17	0.627680	N	ca_trace	stretch	141	10	2.058704	0.185892	0.404229	0.61371,-0.76893,-0.17917
18	0.632089	N	all_atom_points	stretch	159	0	2.204587	0.210989	0.445872	-0.10305,-0.93863,-0.32917
19	0.644702	N	all_atom_points	stretch	120	0	2.166396	0.110499	0.408048	0.51401,-0.85777,-0.00417
20	0.663967	Z	ca_trace	stretch	154	100	2.193637	0.192220	0.430473	0.42280,-0.85941,-0.28750
21	0.675045	N	ca_trace	stretch	104	0	2.064504	0.355203	0.436165	-0.15841,-0.97889,0.12917
22	0.687131	N	all_atom_points	stretch	141	10	2.151215	0.154002	0.404522	0.61371,-0.76893,-0.17917
23	0.689713	Z	ca_trace	stretch	167	100	2.183053	0.292587	0.446482	0.21900,-0.89183,-0.39583
24	0.691751	N	all_atom_points	stretch	91	0	2.177774	0.228515	0.428634	0.05433,-0.96987,0.23750
25	0.698755	N	all_atom_points	stretch	138	0	2.196816	0.238663	0.434181	-0.23783,-0.95899,-0.15417
26	0.700458	Z	ca_trace	stretch	99	90	2.266461	0.183760	0.437441	0.38924,-0.90516,0.17083
27	0.714648	N	all_atom_points	stretch	107	170	2.239823	0.146367	0.417885	0.68248,-0.72345,0.10417
28	0.732836	Z	ca_trace	stretch	159	90	2.309198	0.201416	0.444444	-0.10305,-0.93863,-0.32917
29	0.736145	Z	ca_trace	stretch	112	90	2.185604	0.220654	0.417528	0.18821,-0.98014,0.06250
30	0.770251	N	all_atom_points	stretch	86	170	2.399485	0.090095	0.429832	0.55990,-0.78011,0.27917
31	0.789143	N	ca_trace	stretch	99	0	2.118308	0.365625	0.423698	0.38924,-0.90516,0.17083
32	0.793294	N	ca_trace	stretch	107	170	2.260202	0.168301	0.408802	0.68248,-0.72345,0.10417
33	0.812009	N	all_atom_points	stretch	167	10	2.094013	0.426215	0.427054	0.21900,-0.89183,-0.39583
34	0.813115	N	ca_trace	stretch	167	10	2.003506	0.531591	0.430495	0.21900,-0.89183,-0.39583
